"period","date_start","date_end","n_days","omega_E_median","omega_E_lo95","omega_E_hi95","omega_C_median","omega_C_lo95","omega_C_hi95"
1,"2024-12-01","2024-12-01",1,0.0796200696331466,-0.415780814620425,0.595871644985887,0.537452995339075,0.131693366067477,0.966939572308484
2,"2024-12-02","2024-12-02",1,0.0280885714974414,-0.795501331009435,0.844160697903356,0.508731762210595,-0.0352171420512149,1.03277432439035
3,"2024-12-03","2024-12-03",1,-0.0154202586462649,-0.534612849906248,0.524894113022766,0.540931347264676,0.0981591092274682,1.01090457236072
4,"2024-12-04","2024-12-04",1,-0.00441879994778686,-0.492697441576605,0.515092347938392,0.540669825251974,0.117519939428888,0.990958719392365
5,"2024-12-05","2024-12-05",1,-0.254262830014786,-0.770547394916502,0.290449557623457,0.421138071410987,-0.0434522712726967,0.901821589150347
6,"2024-12-06","2024-12-06",1,-0.321378950272291,-0.774372085800038,0.16325220946385,0.468599070826343,0.0184993907137556,0.945217281931566
7,"2024-12-07","2024-12-07",1,-0.619916285639466,-1.15925677758733,-0.0911506230617003,0.414061856513484,-0.13050594036848,0.964532735672515
8,"2024-12-08","2024-12-08",1,-0.408196296575159,-1.32443998017227,0.500397678297979,0.372771731686782,-0.268481961906085,0.995682714374321
9,"2024-12-09","2024-12-09",1,-0.287420253870211,-1.1955202432544,0.654760597425471,0.335630916866198,-0.316126713525692,0.946322725966182
10,"2024-12-10","2024-12-10",1,-0.206483371850578,-0.747967307053256,0.336182792329347,0.311459701082487,-0.224141296817022,0.841128814987861
11,"2024-12-11","2024-12-11",1,-0.205343941745583,-0.73898794058665,0.326453287795452,0.44016593802195,-0.0399370373281922,0.941218001625319
12,"2024-12-12","2024-12-12",1,0.152427302471073,-0.334280551813511,0.651153082578791,0.550011535615003,0.124423690797596,1.00818997275426
13,"2024-12-13","2024-12-13",1,-0.207597058211481,-0.730029406295799,0.310226658836356,0.592289074963839,0.142112251671812,1.07728273800709
14,"2024-12-14","2024-12-14",1,-0.531034251460876,-1.03234778869105,-0.0176281547446116,0.674062542218577,0.203518945919416,1.1978303543638
15,"2024-12-15","2024-12-15",1,-0.606052359104645,-1.1422844610737,-0.0650226460355076,0.486479022517211,-0.104717466210473,1.06272625897573
16,"2024-12-16","2024-12-16",1,-0.334900030516903,-1.23553705966933,0.591086954879876,0.492404287629656,-0.1634928457983,1.11961303858176
17,"2024-12-17","2024-12-17",1,-0.137520688024281,-1.05288618827265,0.800547561949201,0.520295712214086,-0.110156598729437,1.14218616372356
18,"2024-12-18","2024-12-18",1,0.0413474615510751,-0.501635745571992,0.578008773035542,0.564833121564112,0.045985485938099,1.13214026079175
19,"2024-12-19","2024-12-19",1,-0.143536151231404,-0.968332142284192,0.683339956280865,0.462944581355377,-0.118682804360806,1.07246125608554
20,"2024-12-20","2024-12-20",1,-0.351004010549088,-0.892924475817085,0.205997792004867,0.387723861158827,-0.12020604087427,0.910749947818087
21,"2024-12-21","2024-12-21",1,-0.968366691885566,-1.49527079830335,-0.41903613653829,0.30198976657463,-0.204486168754478,0.827967150401514
22,"2024-12-22","2024-12-22",1,-0.949865767233368,-1.49712058526893,-0.40292675755732,0.176969133853193,-0.377141691942497,0.715398693113251
23,"2024-12-23","2024-12-23",1,-0.132777712212555,-0.630472971799534,0.400901159181517,0.154118049896062,-0.33107566250977,0.654171793182105
