"period","date_start","date_end","n_days","n_days_with_effort","n_days_with_interview","frac_days_effort","frac_days_interview","n_effort_obs","n_interviews","n_ie_obs","observed","omega_E_ci95_width","omega_C_ci95_width"
1,"2024-12-01","2024-12-01",1,1,1,1,1,1,31,0,TRUE,1.01165245960631,0.835246206241006
2,"2024-12-02","2024-12-02",1,0,1,0,1,0,1,0,TRUE,1.63966202891279,1.06799146644156
3,"2024-12-03","2024-12-03",1,1,1,1,1,1,11,0,TRUE,1.05950696292901,0.912745463133256
4,"2024-12-04","2024-12-04",1,1,1,1,1,1,13,0,TRUE,1.007789789515,0.873438779963477
5,"2024-12-05","2024-12-05",1,1,1,1,1,1,10,0,TRUE,1.06099695253996,0.945273860423044
6,"2024-12-06","2024-12-06",1,1,1,1,1,1,11,1,TRUE,0.937624295263889,0.926717891217811
7,"2024-12-07","2024-12-07",1,1,1,1,1,1,4,0,TRUE,1.06810615452563,1.09503867604099
8,"2024-12-08","2024-12-08",1,0,0,0,0,0,0,0,FALSE,1.82483765847025,1.26416467628041
9,"2024-12-09","2024-12-09",1,0,0,0,0,0,0,0,FALSE,1.85028084067988,1.26244943949187
10,"2024-12-10","2024-12-10",1,1,1,1,1,1,9,0,TRUE,1.0841500993826,1.06527011180488
11,"2024-12-11","2024-12-11",1,1,1,1,1,1,6,0,TRUE,1.0654412283821,0.981155038953511
12,"2024-12-12","2024-12-12",1,1,1,1,1,1,14,0,TRUE,0.985433634392302,0.88376628195666
13,"2024-12-13","2024-12-13",1,1,1,1,1,1,11,0,TRUE,1.04025606513216,0.935170486335278
14,"2024-12-14","2024-12-14",1,1,1,1,1,1,6,0,TRUE,1.01471963394644,0.994311408444381
15,"2024-12-15","2024-12-15",1,1,1,1,1,1,6,0,TRUE,1.07726181503819,1.1674437251862
16,"2024-12-16","2024-12-16",1,0,0,0,0,0,0,0,FALSE,1.82662401454921,1.28310588438006
17,"2024-12-17","2024-12-17",1,0,0,0,0,0,0,0,FALSE,1.85343375022186,1.252342762453
18,"2024-12-18","2024-12-18",1,1,1,1,1,1,6,0,TRUE,1.07964451860753,1.08615477485365
19,"2024-12-19","2024-12-19",1,0,0,0,0,0,0,0,FALSE,1.65167209856506,1.19114406044635
20,"2024-12-20","2024-12-20",1,1,1,1,1,1,8,0,TRUE,1.09892226782195,1.03095598869236
21,"2024-12-21","2024-12-21",1,1,1,1,1,1,6,0,TRUE,1.07623466176505,1.03245331915599
22,"2024-12-22","2024-12-22",1,1,1,1,1,1,5,0,TRUE,1.09419382771161,1.09254038505575
23,"2024-12-23","2024-12-23",1,1,1,1,1,1,9,0,TRUE,1.03137413098105,0.985247455691875
24,"2024-12-24","2024-12-24",1,1,1,1,1,1,6,0,TRUE,1.03729033725326,1.04826390575641
25,"2024-12-25","2024-12-25",1,0,0,0,0,0,0,0,FALSE,1.6825583380325,1.13113737032278
26,"2024-12-26","2024-12-26",1,1,1,1,1,1,5,0,TRUE,1.03249859018696,1.01999548049393
27,"2024-12-27","2024-12-27",1,1,1,1,1,1,19,0,TRUE,0.938001081023458,0.856487387769111
28,"2024-12-28","2024-12-28",1,1,1,1,1,1,12,0,TRUE,1.00598567105979,0.958842881804607
29,"2024-12-29","2024-12-29",1,0,0,0,0,0,0,0,FALSE,1.79838410065439,1.16880904358246
30,"2024-12-30","2024-12-30",1,0,0,0,0,0,0,0,FALSE,1.85747582938991,1.16267541253082
31,"2024-12-31","2024-12-31",1,1,1,1,1,1,38,0,TRUE,1.23626224702041,0.97378385204561
32,"2025-01-01","2025-01-01",1,1,1,1,1,1,15,0,TRUE,1.25383870254009,0.998421114145474
33,"2025-01-02","2025-01-02",1,1,1,1,1,1,10,0,TRUE,1.01753445435455,0.9669028258419
34,"2025-01-03","2025-01-03",1,1,1,1,1,1,10,0,TRUE,0.943424978329013,0.971081462632035
35,"2025-01-04","2025-01-04",1,1,1,1,1,1,8,0,TRUE,1.09984679382,1.09156920554697
36,"2025-01-05","2025-01-05",1,0,0,0,0,0,0,0,FALSE,1.83877022787546,1.26520269475013
37,"2025-01-06","2025-01-06",1,0,0,0,0,0,0,0,FALSE,1.8308902070698,1.30027693962094
38,"2025-01-07","2025-01-07",1,1,1,1,1,1,4,0,TRUE,1.11501646803642,1.26210223327716
