"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.318), 0.300)",1.37912974278033,0.423224974527781,1.32425782196452,0.0308413484288345,1.32387133828801,1.26525546883135,1.38440200214268,0.927,FALSE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.0942652619144693,0.424041626413744,0.111386169281191,-0.720982164423138,0.840557332406566,0.052,TRUE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,-0.219372207608735,0.435271132566654,-0.270558228327287,-0.884310644046164,0.710359728843555,0.027,TRUE
"B1","normal(0, 1.0)",0,1,0.705407891257164,0.166924862419737,0.704598730986645,0.378012391984377,1.03337084858672,0.833,FALSE
"B2","normal(0, 1.0)",0,1,-0.0850401473595745,0.512079943368211,-0.111899199047149,-1.04005255918316,0.973674906885352,0.488,TRUE
"mu_mu_E[1]","normal(3.219, 2.0)",3.2188758248682,2,3.14938644368819,0.942494362623991,3.09813226853919,1.16514958477351,5.33819655296177,0.529,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.0925198899948998,0.924802176998289,0.245812096892412,-2.2411148805073,1.75534653763587,0.538,FALSE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.188769723506038,0.153943558691358,0.155558376884293,0.00921909058905663,0.583398908839806,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.15748363617657,0.106386651233199,0.133018047920191,0.0268062241136384,0.426542071736203,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.509315489538515,0.0620091547526351,0.505438671297845,0.398292263514651,0.640400455645349,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,0.77439985011296,0.0381872410576279,0.773631246143083,0.702697006381258,0.850765430898408,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.2216908243995,1.78767455305145,0.709321966125423,0.0346076502316635,5.84248525113767,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.15164379978471,1.35051097767644,0.721164342182231,0.0360274371894604,4.98367816270831,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.166924907109752,0.0840893973072959,-0.167064544805843,-0.331269294851828,0.00119640861782354,0.916,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,4.50554313667323,2.41473165687597,3.96544542660942,1.49506793079298,10.4724794339207,0,TRUE
