"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",1.65180320408647,-0.4887934460936,1.57976466371546,4.14213669827409,4232,0.9997,FALSE,NA
"mu_mu_C[1]",0.266848006723794,-2.51391932138273,0.415501258666829,2.10136965430204,2969,1.0002,FALSE,NA
"sigma_eps_E",0.594964699787625,0.307516578706338,0.582640564492788,0.956367037401973,1464,1.0023,FALSE,NA
"sigma_eps_C",0.997626430966022,0.0473960015641738,0.978136715210679,2.25362458603335,635,1.0027,FALSE,NA
"phi_E",0.89094004149783,0.72873002790156,0.902845503290378,0.981393519009117,3100,1.0009,FALSE,NA
"phi_C",-0.115240267320511,-0.740259369124098,-0.136868136532802,0.632489174835566,2240,1.0011,FALSE,NA
"sigma_r_E",0.426634646412964,0.025228727822483,0.419724266887627,0.92531797482924,2747,1.0012,FALSE,NA
"sigma_r_C",0.559171489475157,0.0198855133494083,0.457983355132831,1.47937070891067,597,1.0047,FALSE,NA
"r_E",48734.8688638965,1.16793319862159,5.6763850090738,1571.12196130444,3637,1.0005,FALSE,NA
"r_C",14333.4503095771,0.456926110947072,4.76760884100544,2528.87380620247,5844,1,FALSE,NA
"sigma_mu_E",1.10566309168726,0.032121165905653,0.719561224370504,4.57208575287409,4954,1.001,FALSE,NA
"sigma_mu_C",1.26098187413598,0.0299320699659931,0.726756309231972,5.79883767870528,3930,1.0003,FALSE,NA
"sigma_IE",0.197516828836318,0.00429636275524403,0.134940224338067,0.726306796612452,9017,1.0002,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior"
"R_G",1.32137065628865,0.697182615306115,1.25825689844398,2.28394128834874,9550,0.9998,FALSE,NA
"R_G_boat",2.90335345035483,2.19288083794571,2.87264026984287,3.73154313123754,9963,0.9995,FALSE,NA
"B1",0.942958665396673,0.363745751181594,0.950962524250892,1.49984805094699,4955,0.9998,FALSE,NA
"B2",-0.00815136124273218,-1.94958985951434,-0.0190594604677134,2.00892492299038,10779,0.9995,FALSE,NA
"B1_C",-0.100269110589776,-1.30731278088537,-0.107530542098953,1.21013367649593,5636,1,FALSE,NA
"B2_C",0.008458065067001,-1.97101807698813,0.00799618500461477,2.07012743197424,11514,0.9998,FALSE,NA
"gamma_C",-0.00810396717053808,-1.9670955535724,-0.00574442897800494,1.99623911740915,12915,0.9996,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.1304959901984,1.62379591632139,3.00463878929655,5.36621265469574,9990,0.9997,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior"
"sigma_r_OSP",0.245282336323586,0.00906583773113458,0.20919729256243,0.684195954239681,2615,1.0004,FALSE,NA
"r_OSP",341255.695194671,2.13618847550375,22.8500998621818,12167.0260398582,3898,1.0005,FALSE,NA
"f_crab[1]",0.300492654854819,0.124063355418876,0.294507971400744,0.513870325267807,12645,0.9995,FALSE,NA
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"osp_crab_lower = 0: the OSP lower bound is off and f_lower is pinned at 0"
