"parameter","mean","lo95","median","hi95","n_eff","Rhat","decoupled","decoupled_reason"
"mu_mu_E[1]",3.12198098379859,1.1924082690781,3.10887514539044,5.10986199570458,4808,1.0002,FALSE,NA
"mu_mu_C[1]",-0.217151759636715,-2.45433673129649,-0.130989843828806,1.68606576327646,4586,1.0002,FALSE,NA
"sigma_eps_E",0.452625013212365,0.377113082148155,0.45091627409174,0.53832984467998,2535,1.0014,FALSE,NA
"sigma_eps_C",0.239919810794486,0.140319678990762,0.235648957284419,0.363880387965124,1972,1.0018,FALSE,NA
"phi_E",0.643260729970116,0.474290248718036,0.648335030303973,0.77933871301175,1480,1.0027,FALSE,NA
"phi_C",0.825757758082905,0.614862015620739,0.841313294581722,0.947765009152207,1913,1.0012,FALSE,NA
"sigma_r_E",0.23447995951132,0.195453596576872,0.233881306894128,0.278114482694901,5112,1.0005,FALSE,NA
"sigma_r_C",1.02928107095783,0.965076881357647,1.02850124373918,1.09611981701729,10696,0.9998,FALSE,NA
"r_E",18.6349214175878,12.9286384247126,18.2813800324324,26.1765657052519,5021,1.0006,FALSE,NA
"r_C",0.946963165864498,0.832307754548658,0.945345056717865,1.073683244625,10575,0.9998,FALSE,NA
"sigma_mu_E",1.01736205317088,0.0271706014958561,0.672215320934493,4.19180588582003,6063,1.0022,FALSE,NA
"sigma_mu_C",1.17017132971775,0.0285288229742457,0.703421988166316,5.43780073258081,6145,1.0005,FALSE,NA
"sigma_IE",0.300358980590959,0.0202022228858669,0.271674967195237,0.774517852136467,2763,1.0006,FALSE,NA
"R_G",1.27898562572644,1.24249922292684,1.27912722928173,1.31507121826448,14659,0.9998,FALSE,NA
"R_G_boat",4.5175523904195,1.5079384565894,4.02123909215968,10.5360650481679,11791,1.0007,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior"
"B1",0.906761759785127,0.712138599285357,0.907226473584287,1.096652576635,2883,1.0017,FALSE,NA
"B2",0.0782961195154992,-0.429828092619393,0.0776683756103875,0.588780657868664,4597,1.0014,FALSE,NA
"B1_C",-0.376999543364295,-0.551649172895627,-0.379285955426502,-0.198214912937935,7779,1.0001,FALSE,NA
"B2_C",-0.0413076711488757,-0.457533999557049,-0.0382199106208997,0.360809701829921,7299,1.0006,FALSE,NA
"gamma_C",-0.0116544836349556,-1.93165349231476,-0.0238494155384275,1.94378351505684,15908,0.9999,TRUE,"estimate_cpue_density = 0: the density term is inert"
"kappa_OSP",3.13702002365806,1.65815440516173,2.99922603432001,5.44199759803312,11624,0.9997,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"sigma_r_OSP",5.93079144622256,0.0381282703896019,0.989607159396926,24.4703947181033,5885,1.0013,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"r_OSP",302867.851499918,0.00167001778320186,1.02111428049834,687.869240534736,5890,1.0003,TRUE,"no OSP observations in this fit (OSP_n = 0)"
"f_crab[1]",1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
"f_lower[1]",0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1"
