"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-09-17",5,5.725,0.5796,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.725,0.798,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.725,0.4013,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.725,0.178,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.725,0.0593,FALSE,TRUE
"trailer",9,"2024-09-24",3,5.725,0.4013,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.725,0.5796,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.395,0.5127,TRUE,TRUE
"trailer",16,"2024-10-01",7,2.261,0.9441,FALSE,TRUE
"trailer",18,"2024-10-03",4,2.261,0.8134,FALSE,TRUE
"trailer",19,"2024-10-04",5,2.261,0.8761,FALSE,TRUE
"trailer",20,"2024-10-05",12,6.46,0.8505,FALSE,TRUE
"trailer",23,"2024-10-08",0,2.261,0.1368,FALSE,TRUE
"trailer",24,"2024-10-09",3,2.261,0.7189,TRUE,TRUE
"trailer",26,"2024-10-11",3,2.261,0.7189,TRUE,TRUE
"trailer",27,"2024-10-12",9,6.46,0.7557,FALSE,TRUE
"trailer",28,"2024-10-13",7,6.46,0.66,TRUE,TRUE
"trailer",30,"2024-10-15",2,2.261,0.58,TRUE,TRUE
"trailer",31,"2024-10-16",2,2.261,0.58,TRUE,TRUE
"trailer",32,"2024-10-17",2,2.261,0.58,TRUE,TRUE
"trailer",33,"2024-10-18",1,2.261,0.3857,TRUE,TRUE
"trailer",34,"2024-10-19",0,6.46,0.0526,FALSE,TRUE
"trailer",36,"2024-10-21",1,2.261,0.3857,TRUE,TRUE
"trailer",37,"2024-10-22",0,2.261,0.1368,FALSE,TRUE
"trailer",38,"2024-10-23",0,2.261,0.1368,FALSE,TRUE
"trailer",39,"2024-10-24",2,2.261,0.58,TRUE,TRUE
"trailer",40,"2024-10-25",0,2.261,0.1368,FALSE,TRUE
"trailer",41,"2024-10-26",1,6.46,0.1578,FALSE,TRUE
"trailer",45,"2024-10-30",1,2.261,0.3857,TRUE,TRUE
"trailer",47,"2024-11-01",2,0.782,0.8668,FALSE,TRUE
"trailer",51,"2024-11-05",0,0.782,0.2794,TRUE,TRUE
"trailer",52,"2024-11-06",1,0.782,0.6863,TRUE,TRUE
"trailer",53,"2024-11-07",4,0.782,0.9731,FALSE,TRUE
"trailer",54,"2024-11-08",1,0.782,0.6863,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.258,0.1486,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.782,0.2794,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.782,0.2794,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.782,0.2794,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.782,0.2794,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.782,0.2794,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.782,0.2794,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.782,0.2794,TRUE,TRUE
"trailer",72,"2024-11-26",1,0.782,0.6863,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.258,0.6016,TRUE,TRUE
"catch",2,"2024-09-17",0,6.881,0.1067,FALSE,TRUE
"catch",6,"2024-09-21",6,4.948,0.7686,FALSE,TRUE
"catch",12,"2024-09-27",0,4.588,0.1371,FALSE,TRUE
"catch",18,"2024-10-03",6,7.508,0.5985,TRUE,TRUE
"catch",20,"2024-10-05",15,8.465,0.8369,FALSE,TRUE
"catch",26,"2024-10-11",6,2.503,0.8851,FALSE,TRUE
"catch",27,"2024-10-12",0,11.286,0.0681,FALSE,TRUE
"catch",27,"2024-10-12",0,8.465,0.0824,FALSE,TRUE
"catch",28,"2024-10-13",8,8.465,0.667,TRUE,TRUE
"catch",32,"2024-10-17",1,5.005,0.2892,TRUE,TRUE
"catch",32,"2024-10-17",4,10.01,0.4041,TRUE,TRUE
"catch",32,"2024-10-17",4,5.005,0.5991,TRUE,TRUE
"catch",39,"2024-10-24",12,7.508,0.8043,FALSE,TRUE
"catch",45,"2024-10-30",12,10.01,0.7237,TRUE,TRUE
"catch",53,"2024-11-07",24,16.866,0.7886,FALSE,TRUE
"catch",54,"2024-11-08",6,6.747,0.6514,TRUE,TRUE
"catch",54,"2024-11-08",6,6.747,0.6514,TRUE,TRUE
