"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",1,"2024-12-01",76,76.959,0.5429,TRUE,TRUE
"gear",3,"2024-12-03",27,28.447,0.5051,TRUE,TRUE
"gear",4,"2024-12-04",30,28.761,0.601,TRUE,TRUE
"gear",5,"2024-12-05",20,22.74,0.4332,TRUE,TRUE
"gear",6,"2024-12-06",25,22.251,0.67,TRUE,TRUE
"gear",7,"2024-12-07",31,39.407,0.3252,TRUE,TRUE
"gear",10,"2024-12-10",23,23.676,0.5319,TRUE,TRUE
"gear",11,"2024-12-11",20,23.489,0.4121,TRUE,TRUE
"gear",12,"2024-12-12",39,33.531,0.7102,TRUE,TRUE
"gear",13,"2024-12-13",22,23.328,0.5008,TRUE,TRUE
"gear",14,"2024-12-14",37,42.043,0.4207,TRUE,TRUE
"gear",15,"2024-12-15",33,39.696,0.3692,TRUE,TRUE
"gear",18,"2024-12-18",32,30.196,0.6178,TRUE,TRUE
"gear",20,"2024-12-20",22,20.601,0.6209,TRUE,TRUE
"gear",21,"2024-12-21",20,27.373,0.2759,TRUE,TRUE
"gear",22,"2024-12-22",19,27.837,0.2297,FALSE,TRUE
"gear",23,"2024-12-23",29,25.462,0.6823,TRUE,TRUE
"gear",24,"2024-12-24",31,30.987,0.5596,TRUE,TRUE
"gear",26,"2024-12-26",33,35.541,0.4798,TRUE,TRUE
"gear",27,"2024-12-27",50,43.486,0.7039,TRUE,TRUE
"gear",28,"2024-12-28",58,68.681,0.3799,TRUE,TRUE
"gear",31,"2024-12-31",96,91.646,0.6095,TRUE,TRUE
"gear",32,"2025-01-01",55,65.199,0.3762,TRUE,TRUE
"gear",33,"2025-01-02",28,30.44,0.4753,TRUE,TRUE
"gear",34,"2025-01-03",55,44.264,0.776,FALSE,TRUE
"gear",35,"2025-01-04",39,51.9,0.2803,TRUE,TRUE
"gear",38,"2025-01-07",19,22.184,0.4161,TRUE,TRUE
"gear",39,"2025-01-08",29,29.397,0.5456,TRUE,TRUE
"gear",40,"2025-01-09",35,35.367,0.5483,TRUE,TRUE
"gear",41,"2025-01-10",34,37.314,0.4576,TRUE,TRUE
"gear",42,"2025-01-11",149,136.847,0.6572,TRUE,TRUE
"gear",45,"2025-01-14",50,46.183,0.645,TRUE,TRUE
"gear",47,"2025-01-16",16,23.039,0.254,TRUE,TRUE
"gear",48,"2025-01-17",47,38.977,0.747,TRUE,TRUE
"gear",49,"2025-01-18",62,68.455,0.4481,TRUE,TRUE
"gear",52,"2025-01-21",16,16.188,0.554,TRUE,TRUE
"gear",53,"2025-01-22",8,10.511,0.3393,TRUE,TRUE
"gear",54,"2025-01-23",16,14.954,0.6181,TRUE,TRUE
"gear",55,"2025-01-24",9,14.087,0.2302,FALSE,TRUE
"gear",56,"2025-01-25",68,63.699,0.6324,TRUE,TRUE
"gear",60,"2025-01-29",32,30.6,0.605,TRUE,TRUE
"gear",61,"2025-01-30",24,24.613,0.5363,TRUE,TRUE
"gear",62,"2025-01-31",14,18.041,0.337,TRUE,TRUE
"gear",63,"2025-02-01",48,48.208,0.5536,TRUE,TRUE
"gear",67,"2025-02-05",2,6.499,0.0884,FALSE,TRUE
"gear",68,"2025-02-06",4,7.61,0.1961,FALSE,TRUE
"gear",69,"2025-02-07",13,13.774,0.5137,TRUE,TRUE
"gear",70,"2025-02-08",65,60.619,0.6351,TRUE,TRUE
"gear",73,"2025-02-11",20,20.288,0.5476,TRUE,TRUE
"gear",74,"2025-02-12",11,15.511,0.2891,TRUE,TRUE
"gear",76,"2025-02-14",23,23.739,0.527,TRUE,TRUE
"gear",77,"2025-02-15",65,65.907,0.5483,TRUE,TRUE
"gear",81,"2025-02-19",12,16.825,0.2863,TRUE,TRUE
"gear",82,"2025-02-20",30,25.65,0.7095,TRUE,TRUE
"gear",83,"2025-02-21",18,19.174,0.5015,TRUE,TRUE
"gear",84,"2025-02-22",28,34.842,0.3464,TRUE,TRUE
"gear",87,"2025-02-25",11,16.303,0.2587,TRUE,TRUE
"gear",88,"2025-02-26",32,28.974,0.657,TRUE,TRUE
"gear",89,"2025-02-27",32,31.494,0.5735,TRUE,TRUE
"gear",90,"2025-02-28",16,29.428,0.1017,FALSE,TRUE
"gear",91,"2025-03-01",105,92.058,0.7058,TRUE,TRUE
"gear",94,"2025-03-04",1,5.782,0.032,FALSE,TRUE
"gear",94,"2025-03-04",3,5.782,0.1915,FALSE,TRUE
"gear",94,"2025-03-04",9,5.782,0.8502,FALSE,TRUE
"gear",95,"2025-03-05",0,5.194,0.0083,FALSE,FALSE
"gear",95,"2025-03-05",7,5.194,0.7594,FALSE,TRUE
"gear",95,"2025-03-05",1,5.194,0.0444,FALSE,TRUE
"gear",96,"2025-03-06",17,20.255,0.3634,TRUE,TRUE
"gear",96,"2025-03-06",35,20.255,0.9609,FALSE,TRUE
"gear",96,"2025-03-06",20,20.255,0.5309,TRUE,TRUE
"gear",97,"2025-03-07",13,12.741,0.5677,TRUE,TRUE
"gear",97,"2025-03-07",9,12.741,0.256,TRUE,TRUE
"gear",97,"2025-03-07",9,12.741,0.256,TRUE,TRUE
"gear",98,"2025-03-08",58,58.625,0.5305,TRUE,TRUE
"gear",98,"2025-03-08",54,58.625,0.4389,TRUE,TRUE
"gear",98,"2025-03-08",69,58.625,0.7437,TRUE,TRUE
"gear",101,"2025-03-11",18,15.511,0.694,TRUE,TRUE
"gear",101,"2025-03-11",13,15.511,0.3763,TRUE,TRUE
"gear",101,"2025-03-11",12,15.511,0.3083,TRUE,TRUE
"gear",102,"2025-03-12",13,17.71,0.2563,TRUE,TRUE
"gear",102,"2025-03-12",17,17.71,0.5026,TRUE,TRUE
"gear",102,"2025-03-12",22,17.71,0.7623,FALSE,TRUE
"gear",104,"2025-03-14",13,19.85,0.1743,FALSE,TRUE
"gear",104,"2025-03-14",18,19.85,0.441,TRUE,TRUE
"gear",104,"2025-03-14",33,19.85,0.9479,FALSE,TRUE
"gear",105,"2025-03-15",6,20.078,0.0079,FALSE,FALSE
"gear",105,"2025-03-15",14,20.078,0.2145,FALSE,TRUE
"gear",105,"2025-03-15",29,20.078,0.8804,FALSE,TRUE
"gear",108,"2025-03-18",10,15.189,0.199,FALSE,TRUE
"gear",108,"2025-03-18",15,15.189,0.5342,TRUE,TRUE
"gear",108,"2025-03-18",20,15.189,0.8024,FALSE,TRUE
"gear",109,"2025-03-19",15,13.795,0.6276,TRUE,TRUE
"gear",109,"2025-03-19",13,13.795,0.4871,TRUE,TRUE
"gear",109,"2025-03-19",16,13.795,0.6894,TRUE,TRUE
"gear",110,"2025-03-20",4,5.719,0.3224,TRUE,TRUE
"gear",110,"2025-03-20",4,5.719,0.3224,TRUE,TRUE
"gear",110,"2025-03-20",1,5.719,0.0331,FALSE,TRUE
"gear",111,"2025-03-21",14,11.063,0.7555,FALSE,TRUE
"gear",111,"2025-03-21",8,11.063,0.2827,TRUE,TRUE
"gear",111,"2025-03-21",9,11.063,0.3688,TRUE,TRUE
"gear",112,"2025-03-22",56,59.187,0.4708,TRUE,TRUE
"gear",112,"2025-03-22",63,59.187,0.6244,TRUE,TRUE
"gear",112,"2025-03-22",65,59.187,0.6638,TRUE,TRUE
"gear",115,"2025-03-25",40,25.072,0.9385,FALSE,TRUE
"gear",115,"2025-03-25",22,25.072,0.4023,TRUE,TRUE
"gear",115,"2025-03-25",13,25.072,0.0645,FALSE,TRUE
"gear",117,"2025-03-27",18,17.864,0.5537,TRUE,TRUE
"gear",117,"2025-03-27",13,17.864,0.2525,TRUE,TRUE
"gear",117,"2025-03-27",17,17.864,0.4944,TRUE,TRUE
"gear",118,"2025-03-28",17,27.929,0.1121,FALSE,TRUE
