"event_date","L_unit","L_prior_center","L_prior_sigma_log","L_effective_hours_regression","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-12-01,"turnover (trips per present group per day)",1.2,0.3,5.41911553958231,1.19901957671825,0.666513499198707,2.17511125021762
2024-12-02,"turnover (trips per present group per day)",1.2,0.3,5.6700920745626,1.19632691367385,0.660413892510952,2.15734497597307
2024-12-03,"turnover (trips per present group per day)",1.2,0.3,5.67009516020066,1.19923449121133,0.667189638244734,2.14363864062343
2024-12-04,"turnover (trips per present group per day)",1.2,0.3,5.67007500458186,1.20218781061647,0.668203828292161,2.18856175980431
2024-12-05,"turnover (trips per present group per day)",1.2,0.3,5.67003160795405,1.19191612747046,0.661624043557142,2.15113716323634
2024-12-06,"turnover (trips per present group per day)",1.2,0.3,5.66996497085087,1.20179438188226,0.668959523050381,2.14692758776394
2024-12-07,"turnover (trips per present group per day)",1.2,0.3,5.41893332406528,1.19582695573657,0.666830693229433,2.14196370530075
2024-12-08,"turnover (trips per present group per day)",1.2,0.3,5.41882521510126,1.19903042764886,0.666821512879367,2.17764866870754
2024-12-09,"turnover (trips per present group per day)",1.2,0.3,5.66962562631192,1.19983565726522,0.675288706367467,2.1401811303647
2024-12-10,"turnover (trips per present group per day)",1.2,0.3,5.6694660383588,1.19753627966439,0.674232957384315,2.10589585125433
2024-12-11,"turnover (trips per present group per day)",1.2,0.3,5.66928321688469,1.19765182192715,0.666331271832311,2.15973415172874
2024-12-12,"turnover (trips per present group per day)",1.2,0.3,5.6690771641375,1.19799039515545,0.657068915252757,2.17688549503236
2024-12-13,"turnover (trips per present group per day)",1.2,0.3,5.66884788265075,1.20076319215272,0.664055917840051,2.17234626963899
2024-12-14,"turnover (trips per present group per day)",1.2,0.3,5.41771024401554,1.19929341750659,0.665060368657631,2.15735444468103
2024-12-15,"turnover (trips per present group per day)",1.2,0.3,5.41744671727631,1.19910871868759,0.662891360200502,2.18443799749535
2024-12-16,"turnover (trips per present group per day)",1.2,0.3,5.66802069537085,1.20338698047043,0.668766874986134,2.15331168494616
