"draw","C_sum","C_expected_sum","E_sum"
1,5625,5726.94754233015,4477.17509982497
6,6283,6204.1208415782,4769.16456921571
9,6030,5995.38759537654,4431.98532045289
11,6220,6179.51228223003,4949.1064238507
12,7355,7333.95070774804,5186.43576068707
14,7273,7219.86044442251,5132.06869754605
17,6475,6574.15550585142,4807.6238366124
18,6224,6179.88999443442,4766.26616526567
21,6314,6278.61067256777,4977.88171585863
28,5895,5876.43208797628,4549.30326177705
32,7360,7354.35839134636,5568.66375530535
34,6445,6452.52267052485,5442.41790377976
41,5959,5884.27597321925,4477.86219567986
46,7273,7222.04250277869,5065.40017007219
47,6605,6543.85503388976,5150.10024525546
48,6006,5822.88713220302,4518.96441912596
51,6140,6138.91002595319,5043.38088776648
53,6310,6299.05168302526,4745.16773629549
54,5526,5419.5153305975,4516.87195708249
55,6274,6351.18609681616,5026.29480312595
56,5615,5665.93765877615,4451.51500226735
57,7018,6947.14953524066,5123.55133333106
58,5969,6045.36538040767,5033.24717915844
60,5424,5599.60627366197,4418.34565261504
61,6899,6814.10987078241,5125.0010225503
64,7371,7369.45290850897,5573.68402124836
66,6603,6484.69484623176,5200.92716993308
67,6281,6232.59623616896,4829.34839465735
70,5785,5686.92533754787,4799.44877004109
71,5579,5583.97790348362,4466.02063395157
74,5766,5834.07527131651,4090.4348673762
77,6952,7141.92726481947,5553.72681101007
78,6003,6051.98705485336,4569.34443200965
82,5851,5859.67566991727,4410.30336377374
83,6067,6069.24540117662,4911.69058126537
84,5859,5985.06748124103,4816.00685327106
89,6042,6021.69424626963,4682.4699531589
90,6890,6837.40053931622,5144.10511561216
93,5748,5753.2914348341,4391.07417852108
97,7129,7093.14262312664,5130.02223325584
102,6533,6406.11256108196,4969.06594951834
103,5991,5815.38891945796,4494.46318152491
106,6486,6374.49312776192,5061.51062491207
107,6602,6580.37854089137,5436.34751711717
108,7124,7167.58722426044,5426.97722256123
109,5715,5814.24579924171,4742.18351953963
110,5342,5391.39645066935,4190.83358324743
112,6908,6943.99930651505,5477.55403569552
113,5893,5922.15775950896,4653.41034245643
121,6780,6872.42152127951,5314.46846872028
