"draw","C_sum","C_expected_sum","E_sum"
1,6091,6191.33556151755,4815.31772490596
6,5795,5853.8090899832,4826.34610888698
9,6699,6648.0697881295,5113.54820022978
11,5982,5975.18571808372,4807.60803575296
12,6858,6932.49192785211,5224.06061616445
14,7968,7909.32449074285,6060.23886995544
17,6708,6670.31705692614,4707.17499887936
18,6298,6230.79420964704,4501.22177052233
21,6364,6382.86186660954,5060.4431990024
28,7474,7452.7961722646,5538.92525627333
32,5662,5712.77377479977,4828.11523712075
34,6324,6407.92466688382,4781.98027764879
41,5830,5896.80791365811,4508.13075290645
46,6073,6130.28549422749,4863.73323991661
47,6716,6719.63623204318,5057.07187631589
48,6307,6438.17331908609,4814.05595207616
51,6993,6955.24429720306,5520.80301685011
53,6643,6699.11722285017,5135.55796492379
54,6435,6358.18834084737,4756.6419105097
55,6602,6580.37854089137,5436.34751711717
56,6523,6555.71589992144,5196.61614591106
57,5533,5606.8560909909,4447.19774152676
58,6196,6010.35843191841,4664.51825226986
60,6219,6253.03319903842,5030.90786186994
61,6373,6391.90331916296,4996.42671450897
64,5177,5230.37905152912,3909.81949852043
66,7571,7411.22355053267,5621.219377366
67,6798,6642.41722228876,5036.97594955355
70,5992,5988.10425171374,4809.06281076987
71,7094,7192.92605055794,5147.67564324296
74,7273,7222.04250277869,5065.40017007219
77,7033,7008.94150295235,5254.65243859043
78,6355,6491.69037860398,4902.47104239259
82,6167,6024.68796675652,4656.13784355486
83,5835,5937.83032263746,4517.12424527965
84,7155,7089.35635622762,5443.80685245726
89,7117,7099.76278233918,5053.30811870433
90,6585,6616.97350778919,5011.5173190458
93,6743,6679.78390407841,5122.93732810542
97,5554,5576.33743511206,4419.21141891679
102,5453,5564.4405404691,4414.6754649824
103,6969,6971.59162011389,5146.02812470143
106,6842,6810.24548006024,5159.25406989691
107,6959,6974.98550197126,5921.79179847519
108,6127,6236.35049408201,4890.76551395441
109,6364,6443.93765345038,5003.48826583535
110,6114,6165.50344203035,4904.72733235351
112,6410,6479.81034474395,5061.68752926376
113,6542,6574.42160311551,5403.68082740515
121,5819,5862.87053407638,4654.8845230872
123,6237,6335.78872948587,5003.71772310469
126,6081,5963.71191153497,4718.57156293611
127,5539,5548.25456817646,4605.85162918876
128,7321,7208.92634376154,5505.7018410709
133,6754,6640.69320018342,4974.40788835285
137,5430,5431.83075055253,4240.20818685451
142,6378,6409.16570253283,4852.10442316208
144,6099,6281.72625186196,4979.00657198312
148,7655,7620.40043037901,5563.60992468012
149,6503,6534.05523749693,4540.32099564648
151,5227,5506.69950774238,4301.49922317983
155,8193,8018.04929613228,6288.28380679782
159,6959,6979.82954823839,5266.93205534948
162,7491,7405.74117061809,5516.63923107886
163,6188,6114.0233987634,4397.67329994003
164,6459,6427.56735474085,4843.78953992918
170,6060,6037.59620970671,4791.35414358401
178,7061,7026.13170243955,4869.58779800789
179,6367,6291.84362983973,4812.22401547974
182,5538,5538.59490497453,4494.71663200795
187,6916,6885.92122950639,4787.94708354963
189,7012,7041.83666777174,5219.20814618478
193,6271,6146.44422985351,4662.14651601669
203,6217,6281.69201716625,4904.10218564476
204,5570,5449.90485527371,4224.75859401184
210,6485,6494.39388117725,4924.53725397153
211,6891,6912.89933218978,5059.10451663334
213,6737,6738.62695690811,5235.42850820315
215,5903,5844.192840913,4567.07679184677
224,6596,6532.53841258457,4909.26362827037
235,7681,7681.29627977327,5732.10206128364
238,6788,6869.30943804623,5359.69818970253
239,6278,6267.59164104515,4839.3832277511
242,5737,5821.05616218081,4851.04024048603
243,5951,6028.61743114441,4556.47982955419
255,7773,7845.70902194162,5746.49290891203
262,6689,6653.08130701764,4901.96112741729
264,5700,5752.2564381812,4646.23700011563
269,7297,7379.0830952945,5752.4437006028
272,6884,6855.80386076263,5192.17443806589
273,7128,7087.31408317796,5188.08356394038
276,5768,5709.44926846538,4812.54180114557
277,4524,4483.72786268959,3645.79816778751
281,6837,6933.14615024714,5477.79247212491
