"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-12-02",1,1.833,0.4036,TRUE,TRUE
"trailer",3,"2024-12-03",2,2.392,0.5207,TRUE,TRUE
"trailer",4,"2024-12-04",5,3.785,0.7269,TRUE,TRUE
"trailer",5,"2024-12-05",3,2.928,0.5999,TRUE,TRUE
"trailer",6,"2024-12-06",2,2.129,0.5686,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.463,0.5117,TRUE,TRUE
"trailer",10,"2024-12-10",1,0.87,0.646,TRUE,TRUE
"trailer",11,"2024-12-11",0,0.612,0.2999,TRUE,TRUE
"trailer",12,"2024-12-12",1,0.644,0.7192,TRUE,TRUE
"trailer",13,"2024-12-13",0,0.512,0.323,TRUE,TRUE
"trailer",14,"2024-12-14",0,0.91,0.2408,FALSE,TRUE
"trailer",15,"2024-12-15",2,1.733,0.6549,TRUE,TRUE
"trailer",18,"2024-12-18",4,2.901,0.7375,TRUE,TRUE
"trailer",20,"2024-12-20",1,1.302,0.5184,TRUE,TRUE
"trailer",21,"2024-12-21",1,1.627,0.4395,TRUE,TRUE
"trailer",22,"2024-12-22",1,1.587,0.4443,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.301,0.7476,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.179,0.5493,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.07,0.2165,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.777,0.6394,TRUE,TRUE
"trailer",28,"2024-12-28",5,4.118,0.6871,TRUE,TRUE
"trailer",31,"2024-12-31",2,2.493,0.5051,TRUE,TRUE
"trailer",32,"2025-01-01",3,2.249,0.7177,TRUE,TRUE
"trailer",33,"2025-01-02",0,0.536,0.3179,TRUE,TRUE
"trailer",34,"2025-01-03",0,0.402,0.3532,TRUE,TRUE
"trailer",35,"2025-01-04",0,0.696,0.2872,TRUE,TRUE
"trailer",38,"2025-01-07",0,0.936,0.2387,FALSE,TRUE
"trailer",39,"2025-01-08",4,2.097,0.8473,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.414,0.4843,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.214,0.5347,TRUE,TRUE
"trailer",42,"2025-01-11",1,1.961,0.3788,TRUE,TRUE
"trailer",45,"2025-01-14",5,3.629,0.7447,TRUE,TRUE
"trailer",47,"2025-01-16",0,1.536,0.1563,FALSE,TRUE
"trailer",48,"2025-01-17",3,2.337,0.6987,TRUE,TRUE
"trailer",49,"2025-01-18",4,3.876,0.6086,TRUE,TRUE
"trailer",52,"2025-01-21",1,1.164,0.555,TRUE,TRUE
"trailer",53,"2025-01-22",1,0.959,0.6146,TRUE,TRUE
"trailer",54,"2025-01-23",0,0.734,0.2746,TRUE,TRUE
"trailer",55,"2025-01-24",1,0.837,0.6512,TRUE,TRUE
"trailer",56,"2025-01-25",1,1.448,0.492,TRUE,TRUE
"trailer",60,"2025-01-29",3,1.477,0.8443,FALSE,TRUE
"trailer",61,"2025-01-30",0,0.624,0.2973,TRUE,TRUE
"trailer",62,"2025-01-31",0,0.388,0.3566,TRUE,TRUE
"trailer",63,"2025-02-01",0,0.535,0.3223,TRUE,TRUE
"trailer",67,"2025-02-05",0,0.305,0.3859,TRUE,TRUE
"trailer",68,"2025-02-06",0,0.314,0.3814,TRUE,TRUE
"trailer",69,"2025-02-07",0,0.377,0.3615,TRUE,TRUE
"trailer",70,"2025-02-08",2,1.42,0.7245,TRUE,TRUE
"trailer",73,"2025-02-11",0,0.581,0.3122,TRUE,TRUE
"trailer",74,"2025-02-12",1,0.77,0.6794,TRUE,TRUE
"trailer",76,"2025-02-14",1,0.948,0.6173,TRUE,TRUE
"trailer",77,"2025-02-15",2,1.714,0.6611,TRUE,TRUE
"trailer",81,"2025-02-19",0,0.372,0.3652,TRUE,TRUE
"trailer",82,"2025-02-20",0,0.336,0.3745,TRUE,TRUE
"trailer",83,"2025-02-21",0,0.346,0.3697,TRUE,TRUE
"trailer",84,"2025-02-22",1,0.82,0.6692,TRUE,TRUE
"trailer",87,"2025-02-25",0,0.605,0.3081,TRUE,TRUE
"trailer",88,"2025-02-26",2,0.873,0.8478,FALSE,TRUE
"trailer",89,"2025-02-27",0,0.599,0.3028,TRUE,TRUE
"trailer",90,"2025-02-28",0,0.555,0.3125,TRUE,TRUE
"trailer",91,"2025-03-01",2,1.321,0.7463,TRUE,TRUE
"trailer",94,"2025-03-04",0,0.456,0.3408,TRUE,TRUE
"trailer",95,"2025-03-05",0,0.463,0.3375,TRUE,TRUE
"trailer",96,"2025-03-06",1,0.617,0.7301,TRUE,TRUE
"trailer",98,"2025-03-08",0,0.943,0.2187,FALSE,TRUE
"trailer",101,"2025-03-11",2,1.558,0.6757,TRUE,TRUE
"trailer",102,"2025-03-12",1,0.839,0.6332,TRUE,TRUE
"trailer",104,"2025-03-14",1,0.501,0.7729,FALSE,TRUE
"trailer",105,"2025-03-15",0,0.397,0.3491,TRUE,TRUE
"trailer",108,"2025-03-18",2,0.706,0.8862,FALSE,TRUE
"trailer",109,"2025-03-19",0,0.362,0.3617,TRUE,TRUE
"trailer",109,"2025-03-19",0,0.362,0.3617,TRUE,TRUE
"trailer",110,"2025-03-20",0,0.3,0.3782,TRUE,TRUE
"trailer",111,"2025-03-21",0,0.603,0.2961,TRUE,TRUE
"trailer",112,"2025-03-22",1,2.658,0.215,FALSE,TRUE
"trailer",112,"2025-03-22",6,2.658,0.9331,FALSE,TRUE
"trailer",113,"2025-03-23",0,1.117,0.1886,FALSE,TRUE
"trailer",115,"2025-03-25",8,3.724,0.917,FALSE,TRUE
"trailer",117,"2025-03-27",0,0.335,0.3658,TRUE,TRUE
"trailer",118,"2025-03-28",0,0.408,0.3427,TRUE,TRUE
"trailer",122,"2025-04-01",1,1.169,0.5237,TRUE,TRUE
"trailer",123,"2025-04-02",1,1.152,0.5287,TRUE,TRUE
"trailer",124,"2025-04-03",6,3.535,0.8509,FALSE,TRUE
"trailer",125,"2025-04-04",13,9.267,0.7999,FALSE,TRUE
"trailer",125,"2025-04-04",9,9.267,0.5432,TRUE,TRUE
"trailer",126,"2025-04-05",16,8.322,0.9436,FALSE,TRUE
"trailer",131,"2025-04-10",0,0.804,0.257,TRUE,TRUE
"trailer",132,"2025-04-11",2,1.924,0.5871,TRUE,TRUE
"trailer",136,"2025-04-15",2,2.603,0.4793,TRUE,TRUE
"trailer",140,"2025-04-19",2,2.586,0.4454,TRUE,TRUE
"trailer",144,"2025-04-23",10,4.55,0.9526,FALSE,TRUE
"trailer",145,"2025-04-24",3,3.606,0.4773,TRUE,TRUE
"trailer",145,"2025-04-24",3,3.606,0.4773,TRUE,TRUE
"trailer",146,"2025-04-25",7,4.715,0.7942,FALSE,TRUE
"trailer",150,"2025-04-29",2,3.045,0.3887,TRUE,TRUE
"trailer",150,"2025-04-29",3,3.045,0.5703,TRUE,TRUE
"trailer",151,"2025-04-30",7,6.279,0.636,TRUE,TRUE
"trailer",152,"2025-05-01",56,37.591,0.8937,FALSE,TRUE
"trailer",152,"2025-05-01",56,37.591,0.8937,FALSE,TRUE
"trailer",153,"2025-05-02",3,4.22,0.3922,TRUE,TRUE
"trailer",153,"2025-05-02",2,4.22,0.2361,FALSE,TRUE
"trailer",154,"2025-05-03",4,4.067,0.5525,TRUE,TRUE
"trailer",155,"2025-05-04",7,5.626,0.7067,TRUE,TRUE
"trailer",155,"2025-05-04",7,5.626,0.7067,TRUE,TRUE
"trailer",158,"2025-05-07",1,1.394,0.4685,TRUE,TRUE
"trailer",158,"2025-05-07",0,1.394,0.1568,FALSE,TRUE
"trailer",158,"2025-05-07",0,1.394,0.1568,FALSE,TRUE
"trailer",164,"2025-05-13",1,1.68,0.3846,TRUE,TRUE
"trailer",164,"2025-05-13",1,1.68,0.3846,TRUE,TRUE
"trailer",165,"2025-05-14",0,1.32,0.16,FALSE,TRUE
"trailer",166,"2025-05-15",11,8.687,0.7365,TRUE,TRUE
"trailer",166,"2025-05-15",9,8.687,0.5824,TRUE,TRUE
"trailer",167,"2025-05-16",1,1.849,0.3683,TRUE,TRUE
