"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-09-17",5,5.664,0.5817,TRUE,TRUE
"trailer",3,"2024-09-18",9,5.664,0.8011,FALSE,TRUE
"trailer",4,"2024-09-19",3,5.664,0.402,TRUE,TRUE
"trailer",5,"2024-09-20",1,5.664,0.1775,FALSE,TRUE
"trailer",5,"2024-09-20",0,5.664,0.0589,FALSE,TRUE
"trailer",9,"2024-09-24",3,5.664,0.402,TRUE,TRUE
"trailer",12,"2024-09-27",5,5.664,0.5817,TRUE,TRUE
"trailer",13,"2024-09-28",12,16.293,0.5143,TRUE,TRUE
"trailer",16,"2024-10-01",7,2.278,0.9434,FALSE,TRUE
"trailer",18,"2024-10-03",4,2.278,0.8112,FALSE,TRUE
"trailer",19,"2024-10-04",5,2.278,0.8745,FALSE,TRUE
"trailer",20,"2024-10-05",12,6.522,0.8483,FALSE,TRUE
"trailer",23,"2024-10-08",0,2.278,0.1353,FALSE,TRUE
"trailer",24,"2024-10-09",3,2.278,0.716,TRUE,TRUE
"trailer",26,"2024-10-11",3,2.278,0.716,TRUE,TRUE
"trailer",27,"2024-10-12",9,6.522,0.7528,FALSE,TRUE
"trailer",28,"2024-10-13",7,6.522,0.6566,TRUE,TRUE
"trailer",30,"2024-10-15",2,2.278,0.5766,TRUE,TRUE
"trailer",31,"2024-10-16",2,2.278,0.5766,TRUE,TRUE
"trailer",32,"2024-10-17",2,2.278,0.5766,TRUE,TRUE
"trailer",33,"2024-10-18",1,2.278,0.3823,TRUE,TRUE
"trailer",34,"2024-10-19",0,6.522,0.0512,FALSE,TRUE
"trailer",36,"2024-10-21",1,2.278,0.3823,TRUE,TRUE
"trailer",37,"2024-10-22",0,2.278,0.1353,FALSE,TRUE
"trailer",38,"2024-10-23",0,2.278,0.1353,FALSE,TRUE
"trailer",39,"2024-10-24",2,2.278,0.5766,TRUE,TRUE
"trailer",40,"2024-10-25",0,2.278,0.1353,FALSE,TRUE
"trailer",41,"2024-10-26",1,6.522,0.1546,FALSE,TRUE
"trailer",45,"2024-10-30",1,2.278,0.3823,TRUE,TRUE
"trailer",47,"2024-11-01",2,0.777,0.868,FALSE,TRUE
"trailer",51,"2024-11-05",0,0.777,0.28,TRUE,TRUE
"trailer",52,"2024-11-06",1,0.777,0.6876,TRUE,TRUE
"trailer",53,"2024-11-07",4,0.777,0.9737,FALSE,TRUE
"trailer",54,"2024-11-08",1,0.777,0.6876,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.242,0.1488,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.777,0.28,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.777,0.28,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.777,0.28,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.777,0.28,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.777,0.28,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.777,0.28,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.777,0.28,TRUE,TRUE
"trailer",72,"2024-11-26",1,0.777,0.6876,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.242,0.6035,TRUE,TRUE
"catch",2,"2024-09-17",0,6.769,0.1063,FALSE,TRUE
"catch",6,"2024-09-21",6,5.01,0.7631,FALSE,TRUE
"catch",12,"2024-09-27",0,4.513,0.1363,FALSE,TRUE
"catch",18,"2024-10-03",6,7.726,0.591,TRUE,TRUE
"catch",20,"2024-10-05",15,9.054,0.8296,FALSE,TRUE
"catch",26,"2024-10-11",6,2.575,0.8802,FALSE,TRUE
"catch",27,"2024-10-12",0,12.072,0.0678,FALSE,TRUE
"catch",27,"2024-10-12",0,9.054,0.0818,FALSE,TRUE
"catch",28,"2024-10-13",8,9.054,0.6608,TRUE,TRUE
"catch",32,"2024-10-17",1,5.151,0.2856,TRUE,TRUE
"catch",32,"2024-10-17",4,10.302,0.3983,TRUE,TRUE
"catch",32,"2024-10-17",4,5.151,0.5919,TRUE,TRUE
"catch",39,"2024-10-24",12,7.726,0.7977,FALSE,TRUE
"catch",45,"2024-10-30",12,10.302,0.7162,TRUE,TRUE
"catch",53,"2024-11-07",24,17.052,0.7946,FALSE,TRUE
"catch",54,"2024-11-08",6,6.821,0.6575,TRUE,TRUE
"catch",54,"2024-11-08",6,6.821,0.6575,TRUE,TRUE
