"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",2,"2024-09-17",30,31.045,0.5509,TRUE,TRUE
"gear",3,"2024-09-18",29,31.045,0.5271,TRUE,TRUE
"gear",4,"2024-09-19",55,31.045,0.9056,FALSE,TRUE
"gear",5,"2024-09-20",29,31.045,0.5271,TRUE,TRUE
"gear",6,"2024-09-21",48,62.853,0.3926,TRUE,TRUE
"gear",9,"2024-09-24",50,31.045,0.8674,FALSE,TRUE
"gear",10,"2024-09-25",13,31.045,0.1242,FALSE,TRUE
"gear",12,"2024-09-27",34,31.045,0.639,TRUE,TRUE
"gear",13,"2024-09-28",79,62.853,0.7349,TRUE,TRUE
"gear",16,"2024-10-01",30,29.674,0.5818,TRUE,TRUE
"gear",18,"2024-10-03",45,29.674,0.8392,FALSE,TRUE
"gear",19,"2024-10-04",29,29.674,0.5578,TRUE,TRUE
"gear",20,"2024-10-05",72,60.009,0.7044,TRUE,TRUE
"gear",23,"2024-10-08",30,29.674,0.5818,TRUE,TRUE
"gear",24,"2024-10-09",29,29.674,0.5578,TRUE,TRUE
"gear",26,"2024-10-11",14,29.674,0.1587,FALSE,TRUE
"gear",27,"2024-10-12",62,60.009,0.6003,TRUE,TRUE
"gear",28,"2024-10-13",64,60.009,0.623,TRUE,TRUE
"gear",30,"2024-10-15",27,27.595,0.5573,TRUE,TRUE
"gear",31,"2024-10-16",37,27.595,0.7709,FALSE,TRUE
"gear",32,"2024-10-17",43,27.595,0.8527,FALSE,TRUE
"gear",33,"2024-10-18",39,27.595,0.8017,FALSE,TRUE
"gear",34,"2024-10-19",62,55.962,0.6501,TRUE,TRUE
"gear",36,"2024-10-21",29,27.595,0.6081,TRUE,TRUE
"gear",37,"2024-10-22",25,27.595,0.5031,TRUE,TRUE
"gear",38,"2024-10-23",35,27.595,0.7363,TRUE,TRUE
"gear",39,"2024-10-24",24,27.595,0.4748,TRUE,TRUE
"gear",40,"2024-10-25",10,27.595,0.0901,FALSE,TRUE
"gear",41,"2024-10-26",36,55.962,0.2891,TRUE,TRUE
"gear",42,"2024-10-27",18,55.962,0.0639,FALSE,TRUE
"gear",45,"2024-10-30",18,25.825,0.3389,TRUE,TRUE
"gear",46,"2024-10-31",12,25.825,0.1579,FALSE,TRUE
"gear",47,"2024-11-01",33,25.825,0.7403,TRUE,TRUE
"gear",48,"2024-11-02",79,52.346,0.8377,FALSE,TRUE
"gear",51,"2024-11-05",8,25.825,0.0667,FALSE,TRUE
"gear",52,"2024-11-06",17,25.825,0.3071,TRUE,TRUE
"gear",53,"2024-11-07",25,25.825,0.5524,TRUE,TRUE
"gear",54,"2024-11-08",36,25.825,0.7922,FALSE,TRUE
"gear",55,"2024-11-09",22,52.346,0.1223,FALSE,TRUE
"gear",59,"2024-11-13",25,25.132,0.5725,TRUE,TRUE
"gear",60,"2024-11-14",43,25.132,0.8899,FALSE,TRUE
"gear",61,"2024-11-15",46,25.132,0.9141,FALSE,TRUE
"gear",62,"2024-11-16",57,50.977,0.6581,TRUE,TRUE
"gear",65,"2024-11-19",13,25.132,0.1979,FALSE,TRUE
"gear",66,"2024-11-20",0,25.132,3e-04,FALSE,FALSE
"gear",67,"2024-11-21",15,25.132,0.2596,TRUE,TRUE
"gear",68,"2024-11-22",6,25.132,0.0386,FALSE,TRUE
"gear",69,"2024-11-23",23,50.977,0.1451,FALSE,TRUE
"gear",72,"2024-11-26",26,31.764,0.4459,TRUE,TRUE
"gear",73,"2024-11-27",33,31.764,0.608,TRUE,TRUE
"gear",75,"2024-11-29",51,64.138,0.508,TRUE,TRUE
"gear",76,"2024-11-30",123,64.118,0.9285,FALSE,TRUE
"catch",2,"2024-09-17",3,5.292,0.3854,TRUE,TRUE
"catch",2,"2024-09-17",27,14.554,0.8634,FALSE,TRUE
"catch",2,"2024-09-17",0,2.646,0.1034,FALSE,TRUE
"catch",2,"2024-09-17",1,2.646,0.3116,TRUE,TRUE
"catch",3,"2024-09-18",0,2.646,0.1034,FALSE,TRUE
"catch",3,"2024-09-18",3,2.646,0.6516,TRUE,TRUE
"catch",3,"2024-09-18",0,2.646,0.1034,FALSE,TRUE
"catch",3,"2024-09-18",12,5.292,0.9088,FALSE,TRUE
"catch",4,"2024-09-19",0,2.646,0.1034,FALSE,TRUE
"catch",4,"2024-09-19",5,2.646,0.8389,FALSE,TRUE
"catch",4,"2024-09-19",0,2.646,0.1034,FALSE,TRUE
"catch",5,"2024-09-20",11,13.231,0.5209,TRUE,TRUE
"catch",5,"2024-09-20",2,2.646,0.5021,TRUE,TRUE
"catch",5,"2024-09-20",1,2.646,0.3116,TRUE,TRUE
"catch",5,"2024-09-20",6,3.969,0.771,FALSE,TRUE
"catch",5,"2024-09-20",0,3.969,0.0664,FALSE,TRUE
"catch",5,"2024-09-20",6,3.969,0.771,FALSE,TRUE
"catch",5,"2024-09-20",0,2.646,0.1034,FALSE,TRUE
"catch",6,"2024-09-21",11,3.365,0.9681,FALSE,TRUE
"catch",6,"2024-09-21",2,2.243,0.5621,TRUE,TRUE
"catch",6,"2024-09-21",6,5.608,0.6334,TRUE,TRUE
"catch",6,"2024-09-21",3,2.243,0.7117,TRUE,TRUE
"catch",6,"2024-09-21",0,1.122,0.2128,FALSE,TRUE
"catch",6,"2024-09-21",1,2.243,0.3587,TRUE,TRUE
"catch",6,"2024-09-21",1,1.122,0.5675,TRUE,TRUE
"catch",6,"2024-09-21",0,1.122,0.2128,FALSE,TRUE
"catch",6,"2024-09-21",3,4.486,0.447,TRUE,TRUE
"catch",6,"2024-09-21",4,4.486,0.5572,TRUE,TRUE
"catch",6,"2024-09-21",3,4.486,0.447,TRUE,TRUE
"catch",6,"2024-09-21",0,1.122,0.2128,FALSE,TRUE
"catch",6,"2024-09-21",5,3.365,0.761,FALSE,TRUE
"catch",6,"2024-09-21",0,2.243,0.1216,FALSE,TRUE
"catch",6,"2024-09-21",0,4.486,0.0575,FALSE,TRUE
"catch",6,"2024-09-21",4,4.486,0.5572,TRUE,TRUE
"catch",6,"2024-09-21",6,3.365,0.8269,FALSE,TRUE
"catch",6,"2024-09-21",4,3.365,0.6732,TRUE,TRUE
"catch",6,"2024-09-21",0,4.486,0.0575,FALSE,TRUE
"catch",6,"2024-09-21",2,4.486,0.3204,TRUE,TRUE
"catch",6,"2024-09-21",4,2.243,0.8144,FALSE,TRUE
"catch",6,"2024-09-21",6,2.243,0.9261,FALSE,TRUE
"catch",9,"2024-09-24",7,23.815,0.1689,FALSE,TRUE
"catch",9,"2024-09-24",0,1.323,0.1896,FALSE,TRUE
"catch",9,"2024-09-24",0,1.323,0.1896,FALSE,TRUE
"catch",9,"2024-09-24",3,5.292,0.3854,TRUE,TRUE
"catch",9,"2024-09-24",6,7.938,0.4841,TRUE,TRUE
