"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-12-02",1,1.485,0.5411,TRUE,TRUE
"trailer",3,"2024-12-03",2,1.485,0.7241,TRUE,TRUE
"trailer",4,"2024-12-04",5,1.485,0.934,FALSE,TRUE
"trailer",5,"2024-12-05",3,1.485,0.8311,FALSE,TRUE
"trailer",6,"2024-12-06",2,1.485,0.7241,TRUE,TRUE
"trailer",7,"2024-12-07",2,2.836,0.5474,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.485,0.5411,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.485,0.2126,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.485,0.5411,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.485,0.2126,FALSE,TRUE
"trailer",14,"2024-12-14",0,2.836,0.1438,FALSE,TRUE
"trailer",15,"2024-12-15",2,2.836,0.5474,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.485,0.8951,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.485,0.5411,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.836,0.3836,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.836,0.3836,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.485,0.7241,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.485,0.5411,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.485,0.2126,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.485,0.7241,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.836,0.8111,FALSE,TRUE
"trailer",31,"2024-12-31",2,4.809,0.4149,TRUE,TRUE
"trailer",32,"2025-01-01",3,3.752,0.5928,TRUE,TRUE
"trailer",33,"2025-01-02",0,1.159,0.2422,FALSE,TRUE
"trailer",34,"2025-01-03",0,1.159,0.2422,FALSE,TRUE
"trailer",35,"2025-01-04",0,2.217,0.1694,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.159,0.2422,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.159,0.9315,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.159,0.6031,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.159,0.6031,TRUE,TRUE
"trailer",42,"2025-01-11",1,2.217,0.4438,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.159,0.9604,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.159,0.2422,FALSE,TRUE
"trailer",48,"2025-01-17",3,1.159,0.8796,FALSE,TRUE
"trailer",49,"2025-01-18",4,2.217,0.8129,FALSE,TRUE
"trailer",52,"2025-01-21",1,1.159,0.6031,TRUE,TRUE
"trailer",53,"2025-01-22",1,1.159,0.6031,TRUE,TRUE
"trailer",54,"2025-01-23",0,1.159,0.2422,FALSE,TRUE
"trailer",55,"2025-01-24",1,1.159,0.6031,TRUE,TRUE
"trailer",56,"2025-01-25",1,2.217,0.4438,TRUE,TRUE
"trailer",60,"2025-01-29",3,1.159,0.8796,FALSE,TRUE
"trailer",61,"2025-01-30",0,1.159,0.2422,FALSE,TRUE
"trailer",62,"2025-01-31",0,1.159,0.2422,FALSE,TRUE
"trailer",63,"2025-02-01",0,1.095,0.2543,TRUE,TRUE
