"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"trailer",2,"2024-09-17",5,6.889,0.4504,TRUE,TRUE
"trailer",3,"2024-09-18",9,6.889,0.7441,TRUE,TRUE
"trailer",4,"2024-09-19",3,6.889,0.2532,TRUE,TRUE
"trailer",5,"2024-09-20",1,6.889,0.0805,FALSE,TRUE
"trailer",5,"2024-09-20",0,6.889,0.0227,FALSE,FALSE
"trailer",9,"2024-09-24",3,6.889,0.2532,TRUE,TRUE
"trailer",12,"2024-09-27",5,6.889,0.4504,TRUE,TRUE
"trailer",13,"2024-09-28",12,15.85,0.4664,TRUE,TRUE
"trailer",16,"2024-10-01",7,4.764,0.7835,FALSE,TRUE
"trailer",18,"2024-10-03",4,4.764,0.518,TRUE,TRUE
"trailer",19,"2024-10-04",5,4.764,0.6261,TRUE,TRUE
"trailer",20,"2024-10-05",12,10.953,0.6608,TRUE,TRUE
"trailer",23,"2024-10-08",0,4.764,0.04,FALSE,TRUE
"trailer",24,"2024-10-09",3,4.764,0.3937,TRUE,TRUE
"trailer",26,"2024-10-11",3,4.764,0.3937,TRUE,TRUE
"trailer",27,"2024-10-12",9,10.953,0.5028,TRUE,TRUE
"trailer",28,"2024-10-13",7,10.953,0.3766,TRUE,TRUE
"trailer",30,"2024-10-15",2,1.213,0.7688,FALSE,TRUE
"trailer",31,"2024-10-16",2,1.213,0.7688,FALSE,TRUE
"trailer",32,"2024-10-17",2,1.213,0.7688,FALSE,TRUE
"trailer",33,"2024-10-18",1,1.213,0.5384,TRUE,TRUE
"trailer",34,"2024-10-19",0,2.822,0.0881,FALSE,TRUE
"trailer",36,"2024-10-21",1,1.213,0.5384,TRUE,TRUE
"trailer",37,"2024-10-22",0,1.213,0.195,FALSE,TRUE
"trailer",38,"2024-10-23",0,1.213,0.195,FALSE,TRUE
"trailer",39,"2024-10-24",2,1.213,0.7688,FALSE,TRUE
"trailer",40,"2024-10-25",0,1.213,0.195,FALSE,TRUE
"trailer",41,"2024-10-26",1,2.822,0.2798,TRUE,TRUE
"trailer",45,"2024-10-30",1,1.184,0.5543,TRUE,TRUE
"trailer",47,"2024-11-01",2,1.184,0.7781,FALSE,TRUE
"trailer",51,"2024-11-05",0,1.184,0.2043,FALSE,TRUE
"trailer",52,"2024-11-06",1,1.184,0.5543,TRUE,TRUE
"trailer",53,"2024-11-07",4,1.184,0.9481,FALSE,TRUE
"trailer",54,"2024-11-08",1,1.184,0.5543,TRUE,TRUE
"trailer",55,"2024-11-09",0,2.759,0.0972,FALSE,TRUE
"trailer",58,"2024-11-12",0,0.227,0.4114,TRUE,TRUE
"trailer",59,"2024-11-13",0,0.227,0.4114,TRUE,TRUE
"trailer",60,"2024-11-14",0,0.227,0.4114,TRUE,TRUE
"trailer",65,"2024-11-19",0,0.227,0.4114,TRUE,TRUE
"trailer",66,"2024-11-20",0,0.227,0.4114,TRUE,TRUE
"trailer",67,"2024-11-21",0,0.227,0.4114,TRUE,TRUE
"trailer",68,"2024-11-22",0,0.227,0.4114,TRUE,TRUE
"trailer",72,"2024-11-26",1,1.127,0.6124,TRUE,TRUE
"trailer",76,"2024-11-30",2,2.521,0.5802,TRUE,TRUE
"catch",2,"2024-09-17",0,6.636,0.101,FALSE,TRUE
"catch",6,"2024-09-21",6,4.725,0.7617,FALSE,TRUE
"catch",12,"2024-09-27",0,4.424,0.1305,FALSE,TRUE
"catch",18,"2024-10-03",6,8.481,0.5792,TRUE,TRUE
"catch",20,"2024-10-05",15,9.374,0.8277,FALSE,TRUE
"catch",26,"2024-10-11",6,2.827,0.8679,FALSE,TRUE
"catch",27,"2024-10-12",0,12.499,0.0665,FALSE,TRUE
"catch",27,"2024-10-12",0,9.374,0.0804,FALSE,TRUE
"catch",28,"2024-10-13",8,9.374,0.6568,TRUE,TRUE
"catch",32,"2024-10-17",1,5.106,0.2987,TRUE,TRUE
"catch",32,"2024-10-17",4,10.211,0.417,TRUE,TRUE
"catch",32,"2024-10-17",4,5.106,0.6106,TRUE,TRUE
"catch",39,"2024-10-24",12,7.658,0.8094,FALSE,TRUE
"catch",45,"2024-10-30",12,12.851,0.6623,TRUE,TRUE
"catch",53,"2024-11-07",24,16.064,0.8014,FALSE,TRUE
"catch",54,"2024-11-08",6,6.426,0.6609,TRUE,TRUE
"catch",54,"2024-11-08",6,6.426,0.6609,TRUE,TRUE
