"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.223), 0.300)",1.2795827739976,0.392676171162512,1.2786310677265,0.391370697574909,1.22250464315448,0.681559104530132,2.19530899482895,0.003,TRUE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.734460283741612,0.155211122717707,0.761295298037994,0.351570380944401,0.950203739445189,0.653,FALSE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,-0.0947867454889331,0.391057570136293,-0.123140626019565,-0.757721583283117,0.706452916679163,0.126,TRUE
"B1","normal(0, 1.0)",0,1,0.512020671130673,0.121419548948685,0.51083981737097,0.276298490249615,0.752942520863216,0.879,FALSE
"B2","normal(0, 1.0)",0,1,0.483434337201954,0.286067996404372,0.476104871997204,-0.062441269983051,1.06612663168688,0.714,FALSE
"mu_mu_E[1]","normal(2.303, 2.0)",2.30258509299405,2,2.71532750250817,1.25094669847648,2.75166899055134,0.092229502734556,5.18151049753555,0.375,TRUE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,0.673572435010078,1.08544378892992,0.910587588971288,-2.08808153279369,2.41773988190499,0.457,TRUE
"sigma_eps_E","half-cauchy(0, 1.0)",NA,NA,0.941436185842773,0.276549454445272,0.891982657151497,0.551863741408893,1.62435401354505,NA,FALSE
"sigma_eps_C","half-cauchy(0, 1.0)",NA,NA,0.418033215000882,0.183819067866816,0.393869126109701,0.121613035830654,0.841740045478445,NA,FALSE
"sigma_r_E","half-cauchy(0, 1.0)",NA,NA,0.935673635562632,0.0628377820684182,0.934208571478375,0.817732806584881,1.06227561076417,NA,FALSE
"sigma_r_C","half-cauchy(0, 1.0)",NA,NA,0.769932961225397,0.0634398217515096,0.766989115807032,0.653726014574376,0.903145013034861,NA,FALSE
"sigma_mu_E","half-cauchy(0, 1.0)",NA,NA,1.24397967746789,1.75774145226271,0.734920659998509,0.0320247536490877,5.66736120886253,NA,FALSE
"sigma_mu_C","half-cauchy(0, 1.0)",NA,NA,1.37867086273003,2.18591282095676,0.785499156419909,0.0295558638536788,6.46919428044117,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.183824723466332,0.181902218667955,-0.187536636935872,-0.536358130811655,0.178837422180081,0.818,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,3.55286376900754,0.165720820502857,3.54962917918556,3.23930610992161,3.88071461310194,0.931,FALSE
"tau_bar[1]","lognormal(log(1.200), 0.300)",1.25523343189046,0.385203886740391,2.61278565411683,0.30212170316546,2.59693923159001,2.0644171958814,3.24879416685704,0.216,TRUE
