"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"B1",1.03724945268324,0.00295274518508597,0.252222429327568,0.549382959013728,0.86907307557184,1.03515839700018,1.20502522185021,1.54377991385064,7296.51481706379,1.0000529260674
"B2",0.000964597156037747,0.0112684864716028,0.997408851005558,-1.95398734296284,-0.688742130960592,0.0032850425906597,0.675890106095367,1.93880157604513,7834.5717165996,1.00000645270831
"B1_C",0.0591425340737493,0.00744855451099038,0.572630945977046,-1.01315726764346,-0.327528170507391,0.0385806450851659,0.421557585161767,1.22907084809515,5910.24695422756,0.999829776186556
"B2_C",-0.00246977384435046,0.0106734616192829,0.998784446986691,-1.99381281603535,-0.65955906607087,0.00247862939900404,0.659977913946217,1.97881296680352,8756.5484779524,0.999884747134398
"gamma_C",0.0182981748731464,0.0122168872136168,0.996686035561033,-1.93935836932455,-0.631906810746825,0.0171017625066432,0.685029327161931,2.00663602501229,6655.72880670636,0.999607501706051
"sigma_eps_E",1.31478614048911,0.0159225010479873,0.846224745519897,0.460275477757792,0.804097553403368,1.10458168917995,1.57293269563411,3.38068168485285,2824.54741530545,1.00099101415076
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"sigma_r_E",0.856940379798471,0.00231208975714431,0.191817346531944,0.512758681650267,0.722980472093014,0.846105723671782,0.979656194977598,1.27009225180316,6882.81946870377,1.00062548498817
"phi_E_scaled",0.550707219071046,0.003209597097873,0.208670127784074,0.157761142040811,0.394048220369667,0.558216077983041,0.714680286722975,0.916844131163673,4226.87618666549,1.0005967016337
"eps_E[1,1]",-0.0745527447677648,0.0129882862744125,0.684251825866801,-1.35637016019654,-0.519760233283877,-0.111975055897538,0.347246901871875,1.35750470973316,2775.41687957386,1.00139567108744
"eps_E[2,1]",-1.01611923476117,0.0113546209726664,0.672202811044137,-2.41759835395284,-1.45768669864696,-0.976266894313787,-0.552568987851388,0.220759591969357,3504.73644917889,1.00037393201503
"omega_E_0_raw[1,1]",0.795381041882764,0.0123085717592038,0.702398659385816,-0.549668502381673,0.310244484896246,0.776958175903279,1.26220890723827,2.20834320801488,3256.50706043699,1.00234971599917
"mu_mu_E[1]",1.92683904752829,0.0202573827340979,1.15085676004813,-0.393228978218141,1.25738962881747,1.89393328835503,2.5724536622589,4.40298828319837,3227.57155306042,1.00093560601356
"sigma_mu_E",1.08811763792864,0.01787438812167,1.22219207316769,0.0293187951619007,0.30265456477032,0.702450295884265,1.39361918393514,4.55197195210352,4675.37615470885,0.999613442031719
"eps_mu_E[1,1]",-0.0571499221604434,0.0121041676565016,0.885054018031888,-1.75464358989816,-0.62446080464371,-0.0759283073500242,0.498405194034708,1.72519811308363,5346.50152536349,1.00015430076415
"R_G",1.32058975145841,0.00476239668072963,0.411341003706825,0.687232226168208,1.02104436030995,1.25647544292289,1.56180238077983,2.30070374431089,7460.24127115466,0.999713190558041
"R_G_boat",2.91236300266214,0.00442827650343015,0.401857237393126,2.18810206805263,2.63080465688502,2.89022452965746,3.17085878576789,3.75137707075887,8235.19955563566,0.999636789286922
"kappa_OSP",3.14060589384937,0.0110022536696504,0.975315879565359,1.69516269385613,2.41678637531811,2.99898587024019,3.69590860275379,5.42585427815509,7858.27608212499,0.999989958396825
