"parameter","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"theta_C[1]",0.107236780395543,0.00029095863690871,0.0229756168895124,0.0623326952963482,0.0921061460200501,0.106895101322445,0.122628506127665,0.151751163818181,6235.50820330656,0.999756809515213
"B1",0.70899668270332,0.0017109556992249,0.166907629156753,0.386421158199699,0.59687519714634,0.706890555488286,0.819257301256852,1.04097392333241,9516.44730108342,0.999760271945275
"B2",-0.0861731083483435,0.00539389967343054,0.518983117004421,-1.06370242151315,-0.4459361644427,-0.102555032709624,0.243024622159383,1.01424578825311,9257.64944507249,0.999802261182384
"B1_C",-0.170958388416491,0.000805595603511203,0.0756677768991675,-0.320246962714209,-0.221037500613649,-0.171954055077128,-0.120814439636157,-0.0210516311954631,8822.42092620962,1.0002591691178
"B2_C",-0.120178437630017,0.00195127457058627,0.173218205504936,-0.460071707062601,-0.23585866644938,-0.122199975563514,-0.00447797427435394,0.21704156094035,7880.4369864305,0.999714439361067
"gamma_C",-0.00131337824951529,0.0100329071584891,1.01484906171516,-1.93252260150183,-0.694379336059034,0.00373666741507601,0.676752327158763,1.96922570217497,10231.7359120539,0.999795041952364
"sigma_eps_E",0.18623676754744,0.00313012642009714,0.156353384461309,0.00824414725271547,0.0754275146056931,0.151256259864515,0.252028967073002,0.569577766122036,2495.11643304655,1.00050087385184
"Lcorr_E[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"sigma_r_E",0.509062366184621,0.000725805636575058,0.0620671822735184,0.400520814746709,0.466021236100608,0.503690521158948,0.548018645423675,0.642701350883701,7312.79478588677,1.00008925655662
"phi_E_scaled",0.546224976511481,0.00245089691713321,0.208057883439884,0.139436250364598,0.395840395488099,0.554651675789946,0.70714374826421,0.908583048636916,7206.39828537733,0.999857853214059
"eps_E[1,1]",0.123963742891185,0.00984762635541868,0.830271726774914,-1.51086238240063,-0.415122755729824,0.132540727445529,0.661955979612888,1.75605204741194,7108.49028742228,0.99996151911724
"eps_E[2,1]",-0.13893661700171,0.00943427011805864,0.81433891408737,-1.71381950697376,-0.660447132303382,-0.14711628017436,0.376899450547334,1.49515181795939,7450.64315920659,0.999957587924656
"eps_E[3,1]",-0.455514738992461,0.0101673897089343,0.843914145964998,-2.11090508705504,-1.01112072838547,-0.467912130585076,0.0797483135774646,1.2682802600469,6889.33960172126,0.999872144150317
"eps_E[4,1]",-0.512342519131923,0.0102875269516169,0.848665365985136,-2.17960453716329,-1.07927621989039,-0.51969656565328,0.0419941457042864,1.19089276785231,6805.35814904264,1.00002925946727
"eps_E[5,1]",0.464131688237141,0.0105168483998073,0.906902084145873,-1.41045032643264,-0.103904581911123,0.484723957040532,1.05662097432877,2.23597331721054,7436.17450222049,0.999816694056272
"omega_E_0_raw[1,1]",0.371581856597563,0.00922691689339839,0.815849606264832,-1.27151285271115,-0.141690557529815,0.379430176422968,0.907612117681881,1.99083016963808,7818.20400696629,1.0002855946414
"mu_mu_E[1]",3.13585892140063,0.0162033303601197,0.911473564275707,1.32003808647663,2.72213197897622,3.07741692930417,3.49085944174635,5.30296164772313,3164.31406105626,0.999924947670565
"sigma_mu_E",1.13342242637846,0.0239815539745244,1.5142913481085,0.0287104588814044,0.310646903341566,0.693320891170909,1.36806687045386,5.2484737495138,3987.16528335896,1.00013636873749
"eps_mu_E[1,1]",-0.0298562176860864,0.0115256827104127,0.876690587537778,-1.79233027121073,-0.598859098631741,-0.0402248708328437,0.54692374993044,1.71368110767865,5785.74605865661,1.00012974094455
"R_G",1.32427067311971,0.000273516290299244,0.0302291908458185,1.26485092348701,1.30393612894293,1.32419688676085,1.34422060388765,1.38358596085871,12214.8081416823,0.999584544374332
"R_G_boat",4.55548971411583,0.0290043542243192,2.49114086914378,1.50771682587241,2.8368046212227,3.9880107182753,5.65749860141391,10.7230404962159,7376.83674999338,0.99965600575313
"kappa_OSP",3.16097126485198,0.0104269329447668,0.982832262583076,1.65495432639014,2.46456441641213,3.01477349069931,3.70596027667373,5.52395555996339,8884.75890277377,0.999722345266751
"sigma_r_OSP",7.16370792802448,2.88522932748594,223.154048265849,0.0434532528636251,0.41547372312834,1.00210268674262,2.36042747625191,25.0975309649192,5982.03381483503,1.00003013301071
"sigma_IE",0.200679880778626,0.00192136652142927,0.197211776664691,0.00654831020465787,0.0574081218136728,0.14240102336414,0.277577441713665,0.730033675538559,10535.2598778481,0.999531884738335
"sigma_eps_C",0.124017365304216,0.00205303029659294,0.0935814568346717,0.0117268212511734,0.0627395328473814,0.103349506407568,0.160368186729714,0.36012609514167,2077.72893064962,1.00024596694329
"Lcorr_C[1,1]",1,NA,0,1,1,1,1,1,NA,NA
"phi_C_scaled",0.422548356672713,0.00291085421266883,0.223071437494122,0.0667465495414271,0.246913848145482,0.398900042037868,0.579682706178342,0.883966005150247,5872.82449301593,1.00027505362848
"sigma_r_C",0.596153896941898,0.000569985573673945,0.0457244662149836,0.511924261705318,0.564922379887928,0.594447520810157,0.625720207474896,0.691626788313522,6435.31130966753,1.00078902745993
"eps_C[1,1]",0.402681505348818,0.00909520509728159,0.753130721770184,-1.08798155014393,-0.080527350288253,0.394183956767576,0.893934863853888,1.88597394973842,6856.70924344688,0.9997773624681
"eps_C[2,1]",-0.442100463336786,0.00925963815689912,0.743826223478502,-1.89877417957465,-0.919063075958128,-0.44567250827639,0.0313209574464359,1.03335196040816,6452.90005702124,0.999544110130534
"eps_C[3,1]",0.25157965417848,0.0105944480892,0.767498704960721,-1.24941201752971,-0.236358676222332,0.230047974995488,0.721509184497176,1.85969473388015,5248.05802289156,0.99973142618616
"eps_C[4,1]",-0.779283450494162,0.0101526652363202,0.787652911789257,-2.39086396154653,-1.27043039071675,-0.758182532931196,-0.270276041719623,0.767503821303348,6018.79612667761,0.999464743308534
"eps_C[5,1]",0.732969986841985,0.0106189175119927,0.804108255013588,-0.909107023467488,0.226195276887442,0.741385844285179,1.26479709586823,2.28760610180832,5734.14336331681,1.00006139500422
"omega_C_0_raw[1,1]",-0.221388249735488,0.00944950987419265,0.730902230091985,-1.6883077971322,-0.665439718094581,-0.210011446629648,0.233241539394275,1.24535075129713,5982.73832066673,0.999900727617775
"mu_mu_C[1]",0.20330323654707,0.0169562750220683,0.961221584736205,-2.13641341666333,-0.166820852916356,0.360691513065557,0.655405587007363,2.01970397437412,3213.55787004261,1.00058973756803
"sigma_mu_C",1.09036644205774,0.0204477141547493,1.20923072022275,0.0352000533369314,0.327250009778784,0.718085154543476,1.43479708272982,4.43203208580724,3497.26718446373,1.00225519530849
"eps_mu_C[1,1]",0.153729543818923,0.011545450179356,0.906296696669352,-1.63951341301548,-0.44139115137114,0.161578560986218,0.755379705616911,1.94883400729183,6161.96249976257,1.00008866344222
"L_raw[1]",0.000598453698423773,0.0095510922752172,0.960818516734461,-1.8242088516633,-0.645974100743223,-0.00834653548355269,0.659509293221688,1.88310727119165,10119.9099130424,1.00010896759737
"L_raw[2]",0.00261524515192351,0.00978734974482625,0.993954815609003,-1.93915212295575,-0.687221030869821,0.00430194092829545,0.688839200564701,1.94470391989915,10313.4286558484,0.999559987490902
"L_raw[3]",-0.0051411377175385,0.00916584227842321,1.00750033570621,-1.99379860282973,-0.681416987266076,0.0115258286860039,0.686881912196369,1.96788920853413,12082.1893984656,0.999656068304852
"L_raw[4]",0.00828955899867634,0.0111557125040697,0.985284803342247,-1.91105331960565,-0.649712379047392,-0.000166544100286869,0.65576579585443,1.9036545543715,7800.61676378167,1.0002799409983
"L_raw[5]",0.0046566461852661,0.00960106569295806,0.999796870565996,-1.9618875214639,-0.656835535172428,0.000661561896384655,0.672565611695237,2.00045790369507,10843.8790165412,0.999990461665758
"L_raw[6]",-0.00513661507894748,0.00992954601902367,1.01255768805612,-1.96416419527076,-0.690380813291642,-0.00264181219201406,0.668504233999308,2.00130762617751,10398.7410888783,0.999868699188811
"L_raw[7]",0.00517283930293058,0.00971090444250064,1.02044797356331,-2.00887336344881,-0.68798633545275,0.00348893830040466,0.689340931528484,2.01533894265223,11042.3720062676,0.999728290010066
"L_raw[8]",0.0167659036522778,0.0114950660406825,1.0270014123143,-2.00042035535509,-0.65446302085598,0.0240081220914507,0.687492052985729,2.00619838148623,7982.13631685029,0.999870374193747
"L_raw[9]",-0.000888078984448059,0.0093785081814248,0.985180620715854,-1.90772597924497,-0.6787225001565,0.0038316728308354,0.664014871202628,1.96823195580475,11034.7931712523,0.999866529372111
"L_raw[10]",0.00186263840761171,0.00991196132554021,1.00326245388933,-1.99173520272458,-0.65807559845949,0.00171566574733084,0.671620034838359,1.97302943644364,10244.9518433106,0.999605797807767
"L_raw[11]",0.0210015082762968,0.0090098765976642,0.990578811419591,-1.92227860897428,-0.646136398217016,0.0178365836113822,0.698046806977127,1.94667586583061,12087.6084260331,0.999678058121369
"L_raw[12]",-0.0241028439351711,0.0103406042226773,1.01641215248422,-2.02855687463436,-0.699956663712666,-0.0267303280219199,0.650057083282434,1.99806092064054,9661.57357475236,0.999698799798589
"L_raw[13]",0.0020887723533018,0.00962619906063687,0.995019368708077,-1.94498517700841,-0.667788407907924,0.00227833402906933,0.68276240363863,1.89321199480958,10684.4800589154,0.999504626616398
"L_raw[14]",0.0088723063924072,0.0102672552270663,0.996779327525851,-1.9162092334171,-0.669156765044308,0.014036149468726,0.682521560383959,1.92779024624533,9425.17296620268,0.999866684175948
"L_raw[15]",-0.00519192637116102,0.00964659703313057,0.993794800455249,-1.95573586088201,-0.689831317750386,-0.00127280691683769,0.666809548266173,1.97220289772235,10613.1711080981,0.999943688479872
"L_raw[16]",-0.00522760929669492,0.00942315718356462,0.983122451539285,-1.8897904898066,-0.681951693723428,-0.00750342274996914,0.673305166838098,1.95250760930654,10884.8477165238,0.99962318099693
"L_raw[17]",0.00306605778353675,0.0092952025345424,0.992018439919959,-1.97586425703142,-0.688570543575873,0.00247355313680071,0.686399449911975,1.98304814495533,11389.9489037051,0.999735852850165
"L_raw[18]",-0.0106212383945447,0.00911491015565362,1.00500086059881,-1.98702780962196,-0.693798625021479,-0.00280131705019377,0.655486468588561,1.99422045536242,12157.0466393934,1.0004581465772
"L_raw[19]",0.0204906492104352,0.0103741576897183,1.01109993675239,-1.95878997836008,-0.67024573974377,0.027389099161627,0.705786838093878,1.96783031557012,9499.10036337758,0.999542094856868
"L_raw[20]",0.00393006947285602,0.00929937088391409,1.01171918728465,-1.99284629848336,-0.710508391554443,0.024190182828251,0.6904319207439,2.00027968548142,11836.2147231189,0.999444822559464
"L_raw[21]",-0.0276764830399698,0.00970026461566928,1.00380100678565,-2.02062329150359,-0.705700222988041,-0.0355270792093337,0.644783876809678,1.92432606616927,10708.4864277605,0.999731918321822
"L_raw[22]",0.0120468846737253,0.0102834932456377,1.00085320289969,-1.99441382404176,-0.643605237758653,0.0160567057421652,0.676414920052652,2.0133223521982,9472.38698376715,0.999800096896518
"L_raw[23]",-0.00492488610729771,0.0096287640634266,1.01911923830483,-1.99928049996738,-0.717833535995692,0.00265224361431081,0.70931909258214,1.94639153916807,11202.3441253806,0.999713325087528
"L_raw[24]",0.0026845059968164,0.00930061884904479,0.969827221489089,-1.93571341350919,-0.655860056708292,0.00978849340602109,0.671774286458842,1.88406968664304,10873.3920244564,0.999612198285665
"L_raw[25]",-0.00133363101578506,0.00981591265681622,1.00583671646845,-1.93108146335236,-0.703284641322745,0.00353589774566184,0.68448667452601,1.94559972105412,10500.103959189,0.999407207601124
"L_raw[26]",-0.0188781419490253,0.0098597649023658,1.00728204182141,-1.97382970919869,-0.68539688585991,-0.0230761005764654,0.658958330168633,1.96670775789079,10436.8409014407,0.999793767625381
"L_raw[27]",-0.00770107243657284,0.0101142834402525,0.996682066589966,-1.94248190524483,-0.684904039179405,-0.0303290224275472,0.666714145745087,1.94600088679328,9710.5325415328,0.999587748665682
"L_raw[28]",-0.00476342729976539,0.009454478808838,0.98124523749958,-1.92087299377748,-0.661566487495048,-0.00735220226843059,0.656826923422209,1.89896168171261,10771.5930708809,0.999493991464033
"L_raw[29]",-0.00439758089605123,0.0100794031754926,1.02062749547295,-2.00709458304882,-0.701341131426067,0.0116112637040783,0.669504318216432,1.98629453405608,10253.3290101209,0.999719804125812
"L_raw[30]",0.0119899590826627,0.00980023283800469,0.980898651087655,-1.94291127641924,-0.658889099907285,0.0308726026164564,0.670801492219035,1.93484083994416,10017.8721923321,0.999755670772293
