"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1724,1166,2998,1239,934,1718
"2024-10",3004,2334,4065,2142,1728,2674
"2024-11",2661,2031,3795,1975,1548,2519
"2024-12",9028,8294,10070,2293,1839,2890
"2025-01",6902,6425,7644,2331,1861,2946
"2025-02",1522,1301,1862,1501,1181,1922
"2025-03",1324,979,1906,1776,1492,2128
"2025-04",2733,2039,3825,3079,2524,3763
"2025-05",5627,3433,9967,3393,2680,4342
"2025-06",5047,3137,8488,3833,2847,5131
"2025-07",11891,6397,23486,7584,5290,10907
"2025-08",14987,7904,28263,7931,5560,11260
"2025-09",4146,2372,8279,2862,1964,4218
