"draw","C_sum","C_expected_sum","E_sum"
1,1958,2015.25773148426,657.637104550476
6,1427,1401.38786056715,494.615641037046
9,1474,1489.67531034421,432.335208716089
12,670,660.329424363744,197.33921742336
14,1129,1072.49232894858,375.952049950376
18,861,848.091508253339,535.243001242808
21,1724,1701.51868119683,449.842580380184
28,1242,1256.10776756048,276.461438672781
32,1423,1491.09764423223,349.003411747111
41,1334,1337.87733918609,526.482972452998
44,2232,2326.9114330677,567.674379588324
47,612,594.180065034975,329.039270071593
48,828,839.38594434107,373.367346866858
51,835,835.44853517733,463.777212974647
53,352,387.177064085499,286.270006689716
55,1165,1113.60004914133,534.449369737392
56,990,981.636859345184,450.011521194366
57,608,605.493516170671,298.66347469609
64,1639,1639.68954149096,788.004334285775
68,1242,1271.05533522629,411.5697130694
70,5107,4978.52188725225,831.62364223432
71,1179,1204.93232689366,250.942234075761
73,1092,1115.63954343585,461.932491543447
74,463,450.889306091519,222.900110880609
77,7080,7133.70947972961,898.087562775959
78,825,854.185835131498,356.734811429964
82,968,932.709963863119,274.37626548834
87,1407,1357.71667067329,450.333711985539
90,754,729.640907185444,344.122983929126
93,1800,1777.1438163572,342.532532028648
102,3409,3358.65486576375,1255.83947886331
106,542,559.319250796451,257.250849822323
108,396,373.351537022466,235.587385096022
112,1424,1337.92151528202,476.239212332913
113,706,716.430043399148,189.321919623861
115,901,914.822285592861,522.027686655637
120,820,812.051869718166,450.30434393171
121,3719,3660.09466637461,762.167134988791
126,1252,1217.72553947822,580.651347720613
127,466,469.851417107651,218.081776851867
128,436,432.142028829291,238.193663914736
133,784,801.32106407447,574.427675368196
148,1670,1641.19050675117,434.546204861379
154,317,364.581768774065,216.528124987888
155,832,860.570819023634,393.677787621502
158,953,923.447422563775,406.783693044073
160,524,503.085313518612,430.468516742859
162,1239,1218.74159316529,314.14960764393
163,909,963.933357979103,383.060967938098
164,1497,1536.49668921225,357.439413689112
170,1104,1084.00667816816,600.595493705996
182,1917,1896.24971813068,559.599515379663
187,551,551.915921436288,349.335718471879
189,921,963.969589325494,463.765354562608
193,953,936.376581925327,542.901797815606
211,752,758.786434321313,503.835355461887
213,420,410.555173667033,244.967304372286
215,1600,1655.02937500137,444.014441202549
218,736,735.327864702367,307.154298434914
222,507,501.038878981239,322.820712176386
235,720,709.551575288551,404.018527483081
239,1122,1147.59137139858,230.448465479665
243,906,928.547400463812,344.788473163418
255,391,381.4491452339,202.450948177462
261,373,401.760397640355,354.948923006303
268,1039,1015.93130413573,467.623669468143
269,548,563.299797960915,311.883821991979
272,1052,972.168264552675,485.62768361685
276,1699,1656.67521975489,612.843563435618
281,812,803.281389565479,406.561986417754
285,2276,2315.60650356705,740.750296762496
287,538,521.291267822657,222.570631794706
288,1778,1780.44062103221,590.573957136198
289,1826,1798.29224516916,786.664269237751
294,790,822.116507094882,516.446725657229
298,563,506.856257457187,270.607276002629
299,587,574.557111912651,310.48826785349
302,695,703.551071678723,354.757712341455
304,568,619.576784819255,322.37863094813
307,714,704.620699511441,411.35756587663
308,2722,2676.67597689117,481.763391404399
310,801,766.964366901,299.331232945107
319,233,236.692749959844,120.692467607832
320,808,849.680022835198,354.72228351959
322,854,885.397022389024,349.557291184106
331,500,532.188144814255,469.156168823105
340,309,305.892774922733,228.659990596285
344,1041,1025.2377093429,513.77074157419
345,1125,1135.66553530308,543.193951056786
346,578,573.181163629397,180.343927390105
348,1051,1062.80810579714,491.747219331822
349,617,577.337230459694,335.839047439476
354,1710,1774.91076405728,394.4150595532
357,1228,1197.93697006708,592.898700239222
358,1735,1788.82250124159,745.167097307409
360,229,234.172421120025,149.102633826157
363,335,319.110539691629,262.693456711537
367,459,512.925602503817,215.005617670066
371,2080,2104.03296672752,422.89985615256
377,946,966.562924155535,289.395868089702
380,366,351.497674476625,172.600287028653
382,558,521.005847204811,308.831202498055
385,502,484.915707960938,219.029017947731
390,801,821.678729193934,317.773505026325
392,3892,4008.21387821561,249.507926009995
393,473,474.534854477223,276.984779911127
394,2266,2221.09096395118,725.928437435983
396,1062,1053.06400019037,485.102675243434
401,404,387.055468074883,199.615942935655
410,657,630.735167858715,405.922764943459
413,672,656.463256540359,228.110454861569
427,479,468.67409508129,290.535132176032
434,914,938.002781046065,460.477175731886
435,505,514.036562523611,223.685755598693
436,637,650.285539808932,366.72723600477
