"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"trailer",1,2,"2024-12-02",1,-1.3992,0.0672,0.09,-1.4037
"trailer",2,3,"2024-12-03",2,-1.9109,0.0825,0.075,-1.9177
"trailer",3,4,"2024-12-04",5,-3.4883,0.4003,0.161,-3.6499
"trailer",4,5,"2024-12-05",3,-2.4367,0.1803,0.085,-2.4693
"trailer",5,6,"2024-12-06",2,-1.9109,0.0825,0.075,-1.9177
"trailer",6,7,"2024-12-07",2,-1.8874,0.067,0.001,-1.8919
"trailer",7,10,"2024-12-10",1,-1.3992,0.0672,0.09,-1.4037
"trailer",8,11,"2024-12-11",0,-0.9438,0.1692,0.082,-0.9724
"trailer",9,12,"2024-12-12",1,-1.3992,0.0672,0.09,-1.4037
"trailer",10,13,"2024-12-13",0,-0.9438,0.1692,0.082,-0.9724
"trailer",11,14,"2024-12-14",0,-1.2844,0.2175,-0.004,-1.3317
"trailer",12,15,"2024-12-15",2,-1.8874,0.067,0.001,-1.8919
"trailer",13,18,"2024-12-18",4,-2.9642,0.2884,0.093,-3.0479
"trailer",14,20,"2024-12-20",1,-1.3992,0.0672,0.09,-1.4037
"trailer",15,21,"2024-12-21",1,-1.5565,0.1239,0.007,-1.5719
"trailer",16,22,"2024-12-22",1,-1.5565,0.1239,0.007,-1.5719
"trailer",17,23,"2024-12-23",2,-1.9109,0.0825,0.075,-1.9177
"trailer",18,24,"2024-12-24",1,-1.3992,0.0672,0.09,-1.4037
"trailer",19,26,"2024-12-26",0,-0.9438,0.1692,0.082,-0.9724
"trailer",20,27,"2024-12-27",2,-1.9109,0.0825,0.075,-1.9177
"trailer",21,28,"2024-12-28",5,-2.9491,0.2403,0.061,-3.0073
"trailer",22,31,"2024-12-31",2,-2.0274,0.1638,-0.026,-2.0544
"trailer",23,32,"2025-01-01",3,-2.2361,0.0925,0,-2.2447
"trailer",24,33,"2025-01-02",0,-0.7935,0.156,0.034,-0.8178
"trailer",25,34,"2025-01-03",0,-0.7935,0.156,0.034,-0.8178
"trailer",26,35,"2025-01-04",0,-1.1006,0.2066,0.109,-1.1433
"trailer",27,38,"2025-01-07",0,-0.7935,0.156,0.034,-0.8178
"trailer",28,39,"2025-01-08",4,-3.2589,0.3855,0.189,-3.4086
"trailer",29,40,"2025-01-09",1,-1.367,0.0492,0.091,-1.3694
"trailer",30,41,"2025-01-10",1,-1.367,0.0492,0.091,-1.3694
"trailer",31,42,"2025-01-11",1,-1.4635,0.1005,0.129,-1.4736
"trailer",32,45,"2025-01-14",5,-3.8825,0.5208,0.213,-4.1565
"trailer",33,47,"2025-01-16",0,-0.7935,0.156,0.034,-0.8178
"trailer",34,48,"2025-01-17",3,-2.6272,0.2533,0.098,-2.6917
"trailer",35,49,"2025-01-18",4,-2.7528,0.2422,0.039,-2.8119
"trailer",36,52,"2025-01-21",1,-1.367,0.0492,0.091,-1.3694
"trailer",37,53,"2025-01-22",1,-1.367,0.0492,0.091,-1.3694
"trailer",38,54,"2025-01-23",0,-0.7935,0.156,0.034,-0.8178
"trailer",39,55,"2025-01-24",1,-1.367,0.0492,0.091,-1.3694
"trailer",40,56,"2025-01-25",1,-1.4635,0.1005,0.129,-1.4736
"trailer",41,60,"2025-01-29",3,-2.6272,0.2533,0.098,-2.6917
"trailer",42,61,"2025-01-30",0,-0.7935,0.156,0.034,-0.8178
"trailer",43,62,"2025-01-31",0,-0.7935,0.156,0.034,-0.8178
"trailer",44,63,"2025-02-01",0,-0.6485,0.1863,-0.017,-0.6833
"trailer",45,67,"2025-02-05",0,-0.4444,0.135,-0.037,-0.4627
"trailer",46,68,"2025-02-06",0,-0.4444,0.135,-0.037,-0.4627
"trailer",47,69,"2025-02-07",0,-0.4444,0.135,-0.037,-0.4627
"trailer",48,70,"2025-02-08",2,-1.9613,0.1665,0.217,-1.9896
"trailer",49,73,"2025-02-11",0,-0.4444,0.135,-0.037,-0.4627
"trailer",50,74,"2025-02-12",1,-1.4714,0.1293,0.117,-1.4882
"trailer",51,76,"2025-02-14",1,-1.4714,0.1293,0.117,-1.4882
"trailer",52,77,"2025-02-15",2,-2.1463,0.26,0.225,-2.2149
"trailer",53,81,"2025-02-19",0,-0.4444,0.135,-0.037,-0.4627
"trailer",54,82,"2025-02-20",0,-0.4444,0.135,-0.037,-0.4627
"trailer",55,83,"2025-02-21",0,-0.4444,0.135,-0.037,-0.4627
"trailer",56,84,"2025-02-22",1,-1.3841,0.0697,0.152,-1.389
"trailer",57,87,"2025-02-25",0,-0.4444,0.135,-0.037,-0.4627
"trailer",58,88,"2025-02-26",2,-2.5109,0.3747,0.196,-2.6531
"trailer",59,89,"2025-02-27",0,-0.4444,0.135,-0.037,-0.4627
"trailer",60,90,"2025-02-28",0,-0.4444,0.135,-0.037,-0.4627
"trailer",61,91,"2025-03-01",2,-1.8927,0.0672,0.113,-1.8972
"trailer",62,94,"2025-03-04",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",63,95,"2025-03-05",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",64,96,"2025-03-06",1,-1.3557,0.0402,-0.024,-1.3573
"trailer",65,98,"2025-03-08",0,-0.9833,0.1508,0.095,-1.006
"trailer",66,101,"2025-03-11",2,-2.071,0.125,0.001,-2.0866
"trailer",67,102,"2025-03-12",1,-1.3557,0.0402,-0.024,-1.3573
"trailer",68,104,"2025-03-14",1,-1.3557,0.0402,-0.024,-1.3573
"trailer",69,105,"2025-03-15",0,-0.9833,0.1508,0.095,-1.006
"trailer",70,108,"2025-03-18",2,-2.071,0.125,0.001,-2.0866
"trailer",71,109,"2025-03-19",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",72,109,"2025-03-19",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",73,110,"2025-03-20",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",74,111,"2025-03-21",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",75,112,"2025-03-22",1,-1.4081,0.0641,0.05,-1.4122
"trailer",76,112,"2025-03-22",6,-3.9139,0.4186,0.139,-4.0911
"trailer",77,113,"2025-03-23",0,-0.9833,0.1508,0.095,-1.006
"trailer",78,115,"2025-03-25",8,-6.3718,0.8309,0.316,-7.0686
"trailer",79,117,"2025-03-27",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",80,118,"2025-03-28",0,-0.6974,0.1115,-0.036,-0.7098
"trailer",81,122,"2025-04-01",1,-1.7004,0.0978,0.042,-1.71
"trailer",82,123,"2025-04-02",1,-1.7004,0.0978,0.042,-1.71
"trailer",83,124,"2025-04-03",6,-3.0292,0.136,0.108,-3.0477
"trailer",84,125,"2025-04-04",13,-5.0196,0.4417,0.161,-5.2161
"trailer",85,125,"2025-04-04",9,-3.8832,0.2597,0.148,-3.9509
"trailer",86,126,"2025-04-05",16,-4.6505,0.3926,0.164,-4.8063
"trailer",87,131,"2025-04-10",0,-1.525,0.1734,0.133,-1.5551
"trailer",88,132,"2025-04-11",2,-1.9375,0.0662,-0.027,-1.9419
"trailer",89,136,"2025-04-15",2,-1.9375,0.0662,-0.027,-1.9419
"trailer",90,140,"2025-04-19",2,-2.1582,0.1152,-0.155,-2.1714
"trailer",91,144,"2025-04-23",10,-4.1684,0.3039,0.138,-4.2611
"trailer",92,145,"2025-04-24",3,-2.1976,0.0568,0.052,-2.2009
"trailer",93,145,"2025-04-24",3,-2.1976,0.0568,0.052,-2.2009
"trailer",94,146,"2025-04-25",7,-3.3131,0.1753,0.128,-3.3438
"trailer",95,150,"2025-04-29",2,-1.9375,0.0662,-0.027,-1.9419
"trailer",96,150,"2025-04-29",3,-2.1976,0.0568,0.052,-2.2009
"trailer",97,151,"2025-04-30",7,-3.3131,0.1753,0.128,-3.3438
"trailer",98,152,"2025-05-01",56,-9.8189,1.1766,0.394,-11.2291
"trailer",99,152,"2025-05-01",56,-9.8189,1.1766,0.394,-11.2291
"trailer",100,153,"2025-05-02",3,-2.4357,0.0857,-0.026,-2.4431
"trailer",101,153,"2025-05-02",2,-2.3287,0.1025,-0.107,-2.3392
"trailer",102,154,"2025-05-03",4,-2.8206,0.125,-0.025,-2.8362
"trailer",103,155,"2025-05-04",7,-3.0443,0.0894,-0.042,-3.0523
"trailer",104,155,"2025-05-04",7,-3.0443,0.0894,-0.042,-3.0523
"trailer",105,158,"2025-05-07",1,-2.2445,0.1352,-0.1,-2.2628
"trailer",106,158,"2025-05-07",0,-2.2184,0.2211,0.011,-2.2673
"trailer",107,158,"2025-05-07",0,-2.2184,0.2211,0.011,-2.2673
"trailer",108,164,"2025-05-13",1,-2.2445,0.1352,-0.1,-2.2628
"trailer",109,164,"2025-05-13",1,-2.2445,0.1352,-0.1,-2.2628
"trailer",110,165,"2025-05-14",0,-2.2184,0.2211,0.011,-2.2673
"trailer",111,166,"2025-05-15",11,-3.5119,0.1062,0.032,-3.5232
"trailer",112,166,"2025-05-15",9,-3.2276,0.0802,0.023,-3.234
"trailer",113,167,"2025-05-16",1,-2.2445,0.1352,-0.1,-2.2628
"trailer",114,167,"2025-05-16",0,-2.2184,0.2211,0.011,-2.2673
"trailer",115,168,"2025-05-17",3,-2.7578,0.1423,-0.014,-2.7781
"trailer",116,168,"2025-05-17",2,-2.7067,0.1664,0.015,-2.7344
"trailer",117,172,"2025-05-21",2,-2.3287,0.1025,-0.107,-2.3392
"trailer",118,172,"2025-05-21",2,-2.3287,0.1025,-0.107,-2.3392
