"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2117,1483,3388,1588,1163,2282
"2024-10",4260,3179,5907,3035,2345,3955
"2024-11",4044,2868,6992,3010,2201,4265
"2024-12",9591,8173,11712,3454,2696,4412
"2025-01",7179,6238,8704,3436,2684,4468
"2025-02",1867,1441,2628,2096,1608,2743
"2025-03",2257,1618,3445,2542,2069,3146
"2025-04",4285,3142,6079,4500,3622,5647
"2025-05",8685,5793,14073,5016,3965,6354
"2025-06",7939,5027,13011,5722,4306,7632
"2025-07",17718,10005,32241,10718,7920,14542
"2025-08",18158,11223,30259,9752,7459,12747
"2025-09",4228,2615,7585,3053,2227,4223
