"Mode","Month","median","lo95","hi95"
"Shore","2024-09",1285,928,1882
"Shore","2024-10",2534,2005,3243
"Shore","2024-11",2474,1873,3362
"Shore","2024-12",2372,1826,3095
"Shore","2025-01",1313,982,1761
"Shore","2025-02",691,501,965
"Shore","2025-03",967,748,1248
"Shore","2025-04",2045,1578,2682
"Shore","2025-05",2254,1710,3039
"Shore","2025-06",2747,1859,4294
"Shore","2025-07",3596,2565,5177
"Shore","2025-08",3639,2862,4668
"Shore","2025-09",1616,1202,2207
"Private Boat","2024-09",213,38,997
"Private Boat","2024-10",474,176,1503
"Private Boat","2024-11",289,57,2075
"Private Boat","2024-12",1884,1014,3494
"Private Boat","2025-01",1327,708,2556
"Private Boat","2025-02",368,118,997
"Private Boat","2025-03",871,402,1906
"Private Boat","2025-04",1363,638,2856
"Private Boat","2025-05",5229,2649,10331
"Private Boat","2025-06",3988,1631,8594
"Private Boat","2025-07",12351,5156,26438
"Private Boat","2025-08",12570,6222,24216
"Private Boat","2025-09",1845,549,5063
"Commercial/Charter","2024-09",0,0,0
"Commercial/Charter","2024-10",0,0,0
"Commercial/Charter","2024-11",0,0,0
"Commercial/Charter","2024-12",3997,3643,4381
"Commercial/Charter","2025-01",3398,3098,3725
"Commercial/Charter","2025-02",479,437,526
"Commercial/Charter","2025-03",0,0,0
"Commercial/Charter","2025-04",0,0,0
"Commercial/Charter","2025-05",0,0,0
"Commercial/Charter","2025-06",0,0,0
"Commercial/Charter","2025-07",0,0,0
"Commercial/Charter","2025-08",0,0,0
"Commercial/Charter","2025-09",0,0,0
