"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",1.92615913718562,1.92615913718562,-0.282263869358937,4.50623842675979,1.97198939759268,3098,1.0007,FALSE,NA,"BSS"
"mu_mu_C[1]",0.509823998555877,0.509823998555877,-2.47706065783649,2.39487877325062,0.361896098724054,2836,1.0006,FALSE,NA,"BSS"
"sigma_eps_E",1.09596032174031,1.09596032174031,0.455647601599156,3.34393818815111,1.30289263740927,3360,1.0005,FALSE,NA,"BSS"
"sigma_eps_C",0.418537163843837,0.418537163843837,0.0175878707938017,2.17217700681472,0.592181477793245,4938,1.0001,FALSE,NA,"BSS"
"phi_E",0.12267569078802,0.12267569078802,-0.690541630206484,0.827272316743826,0.105781420651068,4313,1.0009,FALSE,NA,"BSS"
"phi_C",0.0624441181841578,0.0624441181841578,-0.75634762066381,0.821711217737617,0.0514070044642188,6774,1.0002,FALSE,NA,"BSS"
"sigma_r_E",0.845638889622176,0.845638889622176,0.499037384632277,1.26636644715002,0.856096393890655,7599,0.9999,FALSE,NA,"BSS"
"sigma_r_C",1.23932608283454,1.23932608283454,0.807627216897919,1.90521689459256,1.26976398203762,7000,0.9995,FALSE,NA,"BSS"
"r_E",1.39839578231687,1.39839578231687,0.623564257428508,4.01544656563421,1.62912410062657,2963,1.0002,FALSE,NA,"BSS"
"r_C",0.651071703672022,0.651071703672022,0.275493414749945,1.53312709555027,0.717850431879617,6200,1.0012,FALSE,NA,"BSS"
"sigma_mu_E",0.733235405297073,0.733235405297073,0.0343979652844103,5.00341315773832,1.14975463698381,1009,1.0052,FALSE,NA,"BSS"
"sigma_mu_C",0.768803808347827,0.768803808347827,0.0402207745007146,6.31077525216764,1.33703597813973,1425,1.0021,FALSE,NA,"BSS"
"sigma_IE",NA,0.138781703624258,0.00574075991937038,0.721406016002507,0.197229179254255,7827,1.0004,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.33800102972663,1.33800102972663,0.738896174320433,2.39130384683969,1.4005256789896,7370,0.9996,FALSE,NA,"BSS"
"R_G_boat",2.94600020536682,2.94600020536682,2.22601355523579,3.7959836051157,2.96309075668815,10116,1.0005,FALSE,NA,"BSS"
"B1",1.03807693928531,1.03807693928531,0.544975227038932,1.55344497483321,1.03895308239338,7289,1.0005,FALSE,NA,"BSS"
"B2",0.000948078988637975,0.000948078988637975,-1.97333578649237,1.96584233641618,0.00482497388769437,8458,0.9996,FALSE,NA,"BSS"
"B1_C",0.0847439889308817,0.0847439889308817,-1.04294253262498,1.3182699523936,0.104980813188405,8905,1.0002,FALSE,NA,"BSS"
"B2_C",-0.00701503860341071,-0.00701503860341071,-2.03441943265933,2.00610230294987,-0.00686459559017974,7669,0.9997,FALSE,NA,"BSS"
"gamma_C",NA,-0.00230306348559131,-1.99886189404106,2.03425240310204,0.0148560147140347,10341,0.9995,TRUE,"estimate_cpue_density = 0: the density term is inert","BSS"
"kappa_OSP",NA,2.97914467798355,1.59218244472105,5.49022091759173,3.12539973148624,7535,1.0003,TRUE,"osp_scale_is_tau = 1: the OSP mean uses L, not kappa_OSP; this is the prior","BSS"
"sigma_r_OSP",0.663487220568418,0.663487220568418,0.434366028963561,1.04234359832914,0.683314415723752,7744,0.9995,FALSE,NA,"BSS"
"r_OSP",2.27161577221103,2.27161577221103,0.920403357073341,5.30015249366037,2.48442047789622,7000,0.9999,FALSE,NA,"BSS"
"f_crab[1]",0.164410183977075,0.164410183977075,0.0567160133339365,0.331958144548902,0.17335984359289,5809,1.0004,FALSE,NA,"BSS"
"f_crab[2]",0.34024933196858,0.34024933196858,0.20756970423498,0.498828482647528,0.343663580757233,5984,1.0003,FALSE,NA,"BSS"
"f_crab[3]",0.466811689476472,0.466811689476472,0.215576252982019,0.777879826796224,0.475241039726862,5199,0.9998,FALSE,NA,"BSS"
"f_lower[1]",0.0548138574539331,0.0548138574539331,0.00462221761935714,0.175830222040645,0.0641126587474455,4083,1.0001,FALSE,NA,"BSS"
"f_lower[2]",0.195213912867572,0.195213912867572,0.0955676375096242,0.333391522255927,0.199695094353357,5908,1.0014,FALSE,NA,"BSS"
"f_lower[3]",0.38618232639044,0.38618232639044,0.157418779398375,0.712335000039269,0.398999071062765,4185,1.0001,FALSE,NA,"BSS"
"sigma_f_out",1.02322470010115,1.02322470010115,0.156329896736353,2.79671214844771,1.1365130239067,3888,1.0007,FALSE,NA,"BSS"
"cfi_kappa_out",19.6569615066832,19.6569615066832,5.33549891189393,86.0874211814,26.2294845551463,5047,0.9999,FALSE,NA,"BSS"
"combo_c_out[1]",0.633349183726143,0.633349183726143,0.266478218966304,0.9648239755216,0.630376721843727,3956,1.0002,FALSE,NA,"BSS"
"combo_c_out[2]",0.415963265272945,0.415963265272945,0.194108054848093,0.661058969943131,0.418854033477871,5085,1.0008,FALSE,NA,"BSS"
"combo_c_out[3]",0.121371408788946,0.121371408788946,0.000233199322842243,0.507379762786432,0.160495358427091,3909,1.0001,FALSE,NA,"BSS"
"sigma_c_out",1.41370413403331,1.41370413403331,0.142176275338798,3.58938591162682,1.52806326370582,4839,0.9999,FALSE,NA,"BSS"
"cfc_kappa_out",20.7752948358293,20.7752948358293,4.81413736106301,89.1866797789909,26.7732371127141,6090,0.9998,FALSE,NA,"BSS"
"tau_bar[1]",1.87447256388219,1.87447256388219,1.23405376158409,2.80999539300403,1.91360135513988,8034,0.9996,FALSE,NA,"BSS"
