"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",3.07077370737176,3.07077370737176,1.27135176089899,5.29527322040197,3.11640793228984,2899,1.0008,FALSE,NA,"BSS"
"mu_mu_C[1]",0.35191318692257,0.35191318692257,-2.3230913036107,1.98846846750663,0.167443954578393,2702,1.0009,FALSE,NA,"BSS"
"sigma_eps_E",0.150287689234231,0.150287689234231,0.00734309544402138,0.579375058031779,0.18841791130188,2528,1,FALSE,NA,"BSS"
"sigma_eps_C",0.107104394124187,0.107104394124187,0.0127000117802435,0.359214807966782,0.126826880425976,2322,1.0009,FALSE,NA,"BSS"
"phi_E",0.114250698763764,0.114250698763764,-0.714980929352743,0.833326956627952,0.0956573230809095,6768,1.0006,FALSE,NA,"BSS"
"phi_C",-0.199801015301147,-0.199801015301147,-0.866538684647937,0.724479504944493,-0.16214801718749,5816,0.9997,FALSE,NA,"BSS"
"sigma_r_E",0.505389825162119,0.505389825162119,0.401104339858879,0.64199754963224,0.50978411405961,7760,0.9998,FALSE,NA,"BSS"
"sigma_r_C",0.596630819912794,0.596630819912794,0.513341845450684,0.689689776002697,0.59742229060738,7139,1.0004,FALSE,NA,"BSS"
"r_E",3.91513743289269,3.91513743289269,2.42623728244484,6.2156323887305,4.01725113725004,7781,0.9996,FALSE,NA,"BSS"
"r_C",2.80923863428341,2.80923863428341,2.1022890291623,3.7947805418003,2.84994851826911,7488,1.0003,FALSE,NA,"BSS"
"sigma_mu_E",0.682783664003432,0.682783664003432,0.037354086628248,5.4518276856521,1.189755697307,3210,1.0007,FALSE,NA,"BSS"
"sigma_mu_C",0.708778771450065,0.708778771450065,0.0270199969566968,5.21759195185161,1.17176159644121,3295,1.0009,FALSE,NA,"BSS"
"sigma_IE",NA,0.142488238986646,0.00604111447554764,0.768987114094499,0.205479045989029,9562,0.9995,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.32274671579186,1.32274671579186,1.26307087788857,1.3842405678722,1.32255454442165,10424,0.9999,FALSE,NA,"BSS"
"R_G_boat",NA,4.00351963783018,1.48353217663987,10.6580249644339,4.54165011294932,6859,1,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior","BSS"
"B1",0.704911828554251,0.704911828554251,0.371746246347901,1.05200708999424,0.70669739149123,8409,0.9999,FALSE,NA,"BSS"
"B2",-0.105934209659927,-0.105934209659927,-1.03027565159817,0.994810844764157,-0.0904516238529597,7393,0.9996,FALSE,NA,"BSS"
"B1_C",-0.168377202788543,-0.168377202788543,-0.31480675775822,-0.0208477407732586,-0.168461330913087,8815,0.9997,FALSE,NA,"BSS"
"B2_C",-0.12450911497418,-0.12450911497418,-0.479434605155283,0.222961149906463,-0.123268181150954,7648,1.0002,FALSE,NA,"BSS"
"gamma_C",NA,0.0165730607660388,-1.98180027745352,2.05907622934141,0.0247563597003826,10341,0.9995,TRUE,"estimate_cpue_density = 0: the density term is inert","BSS"
"kappa_OSP",NA,2.98790418622003,1.67171382675045,5.45823611790115,3.12862396209075,7334,0.9997,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"sigma_r_OSP",NA,0.997332227864815,0.0445815083175312,32.3525047111741,9.2429666915836,3446,1.0003,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"r_OSP",NA,1.00535701146199,0.000955405682181337,503.142381636524,11815.6871692405,5999,0.9999,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"f_crab[1]",NA,1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"sigma_f_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfi_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"combo_c_out[1]",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"sigma_c_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfc_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"theta_C[1]",0.109946855763105,0.109946855763105,0.0651943045804362,0.152386519002879,0.109524046950929,6305,1.0002,FALSE,NA,"BSS"
