"draw","C_sum","C_expected_sum","E_sum"
1,966,947.823717593112,469.671857478847
6,1302,1270.36504820639,434.448647150787
9,1013,998.315378597678,555.80911664999
11,1731,1755.5043015043,624.523183351038
12,668,718.710295125677,550.472360203439
14,2759,2725.05712867892,626.328873333291
17,2456,2536.53974908319,614.02957963652
18,1058,1053.30793903931,432.360936671597
21,888,894.430478283518,430.595713320615
28,1186,1164.1366839085,425.243050653144
32,5586,5573.11070449584,1104.56122906541
34,783,800.943145169791,228.336641398711
41,907,903.771095722073,683.455294384836
46,654,675.526240129996,362.226434487306
47,2913,2911.19439889295,627.236731771935
48,1098,1060.87540192438,684.30416212728
51,6354,6311.26036441399,516.50943554177
53,1230,1267.78221871072,473.752836324193
54,808,785.780222081034,409.670422040871
55,1136,1121.5603025492,424.623661902996
56,589,590.635518711257,313.466857993601
57,1872,1867.41036165703,581.948528253027
58,959,916.808876502521,556.93335016583
60,892,886.971408198956,498.48931634538
61,1251,1278.29778681092,743.192427765357
64,2210,2290.10896365099,752.378613040539
66,2413,2336.4507848934,672.84991900825
67,1443,1456.22784415876,636.345286773122
70,828,777.039777368586,520.455034144494
71,3482,3418.05415591814,386.334493424168
74,2525,2537.91070744867,522.931895364336
77,2195,2169.83672908302,431.365288143212
78,1291,1274.0703438882,469.219693922165
82,1526,1430.5042005396,397.488075736441
83,3341,3404.69937124106,939.481571791426
84,2494,2424.43354498891,700.440262755872
89,2992,3056.90264926782,857.860125476108
90,515,518.753319841797,621.297900272709
93,1118,1082.97459821218,342.12462968569
97,1296,1323.9059326088,538.90062748552
102,654,638.589593441339,568.43655939193
103,1905,1854.99599068615,1060.32787947228
106,2452,2450.66477927747,647.950073151665
107,1471,1445.98657661377,545.602947102615
108,418,434.278664277551,338.435425295159
109,1076,1044.47640755098,547.954957714648
110,2592,2530.65775779104,568.716929274981
112,3192,3182.4078551546,625.346085120316
113,1145,1179.30668500472,752.254958065171
121,1127,1162.57774339535,447.94163293621
123,1249,1244.90462864622,477.764444615408
126,1106,1040.83381684668,579.765551142111
127,1044,1059.23339747117,526.621958164924
128,2392,2469.9925245664,790.355495665802
133,1720,1817.55886161497,633.052246554224
137,1225,1210.02664740357,511.731501761259
142,1631,1627.08953158347,403.169553076479
144,2415,2424.20745025116,626.219209122176
148,1109,1112.35952531885,481.809306366617
149,1108,1081.72115104109,503.929821682089
151,2836,2836.31572963103,766.206320221001
155,951,999.493042765045,486.858913632252
159,2005,1992.24859671528,738.40470319525
162,1126,1208.57426592022,869.432897200627
163,1882,1897.66551976824,799.701856018664
164,420,429.7878696883,364.402528638461
170,2557,2604.63379474374,807.624162220498
178,1043,1057.3125318007,671.701746331741
179,544,554.50568749988,358.1494417643
182,1552,1562.72600919535,390.051932944173
187,801,807.968813139954,387.398266563059
189,873,851.660289646377,490.259933324511
193,729,725.195364877337,575.315559231138
203,1337,1371.6275878616,780.069917020384
204,2786,2841.46199824851,892.86131017972
210,1119,1129.39436396396,533.029539957634
211,743,716.290550371232,421.511714464769
213,1454,1461.07766097282,415.057538135046
215,2141,2087.57112237057,506.902409647051
224,1453,1460.45006713526,432.162634408092
235,1126,1189.73161250219,568.55869851237
238,5337,5268.5200750092,947.060390666652
239,2593,2588.13517812765,623.012662389219
242,1873,1771.48378137091,680.463122857656
243,970,944.043975745423,630.732842021351
255,1270,1274.16470198511,576.741455122252
262,5000,4957.26790393725,1203.63644569
264,4649,4551.27087963089,703.62282611052
269,1543,1561.14382586538,429.724947640087
272,1989,2014.68531585251,766.031688157325
273,812,795.810722939877,391.844564842997
276,854,856.562152865845,478.949528210088
277,1375,1414.97983995577,662.317772439191
281,1604,1641.95443645651,527.04769381914
285,1747,1677.55011009161,417.915439356315
286,907,972.331449414856,389.387423556119
288,10939,11012.4063543421,653.824515590415
290,1651,1634.28954532252,478.987163528132
292,1178,1250.89883041156,597.313052234511
294,5633,5572.94679568354,818.393280305142
298,1886,1925.57271714967,702.0500151847
299,671,722.815356938345,479.117239958606
302,1304,1302.53900868822,387.6156159438
304,871,849.930161247866,628.980442555136
307,2873,2882.23532166678,523.874775776678
308,886,897.303510944315,408.726233526317
310,2001,2021.69939307155,513.469152261164
318,1940,1970.74551899094,443.361174457741
319,1153,1177.9813213095,446.303977608497
320,1656,1653.05641396669,599.017917734627
322,1868,1845.03318762116,567.193891425933
339,710,689.344633175653,332.494838889354
344,1171,1136.07254514625,541.762619630973
345,2808,2844.35690317998,415.089919633736
346,5278,5381.01390365036,662.675207478939
351,1832,1855.58172409586,543.168273807193
354,978,985.949215563795,448.747644789809
357,1119,1202.87074705628,402.103397683426
358,2839,2814.09157998843,833.617666230174
360,1148,1191.37730757794,568.526027086563
363,2496,2456.53079487209,564.912518105216
367,1949,1981.76943574023,306.45633685574
369,355,343.31814423625,227.226471934032
371,2091,2147.93642617744,652.660536704921
373,659,597.140996161974,374.095022336861
377,1320,1324.15548791268,557.79072268458
380,684,678.520290975197,525.748102722549
385,2430,2495.54742703873,736.72838353168
386,1915,1957.5572190398,710.025704227083
388,979,926.195122066472,604.18631994292
392,1164,1149.79807470422,399.793167315991
393,2304,2240.50732544256,935.973585007618
394,1054,1035.7152866816,380.474532146752
396,3355,3354.88063857295,596.497047056749
397,2146,2139.58615661161,715.223416960998
401,2285,2388.93242934863,330.443591792992
403,1095,1151.44782525478,740.532656436983
412,1053,1067.32054168321,601.636802803856
434,1362,1316.88767901768,432.817809161154
436,2222,2121.04663765032,700.665897414583
442,967,990.142058499689,475.690468746486
445,988,1008.371772881,512.523806871622
446,517,518.632109403575,360.858418069362
448,1997,1985.27588802938,1063.08217586749
449,1554,1590.03418948398,633.239957501846
454,759,759.965684239756,432.094506537102
455,1030,1003.33367652452,506.678377997131
458,1992,2003.5485748956,580.835880929597
461,1783,1784.10199198166,504.765873639521
467,536,519.481383984208,325.127108977034
470,1113,1118.35650316795,454.063357712702
474,1305,1304.70496945145,441.587820637383
480,583,597.368804480931,377.213948980459
491,1259,1299.5679105942,655.44824104151
495,726,727.955244589421,363.250582658203
498,4122,4202.3109512264,740.809690609197
500,1766,1757.4361772007,822.269282763275
502,1201,1226.79945043275,557.666693179378
505,2506,2471.5370897329,1307.91774418924
506,1352,1282.72750593342,498.126289927637
509,2065,2057.33853593757,522.272693232556
513,2895,2831.6281108509,690.096836136241
530,911,849.033085546044,518.025213264518
533,953,943.890357741925,565.527012402556
536,728,661.632718049366,467.3959163474
537,1926,1943.05528141714,752.48829345985
544,772,791.977740178905,399.263337985953
545,1231,1234.87291639371,438.11638500769
546,3153,3063.88785127049,893.494234206751
549,592,602.919357465439,294.003924480393
550,1455,1495.7291453354,529.484724049478
551,595,632.724814279302,388.835191648608
554,660,665.743649741006,505.216517723352
556,2054,2084.11059890128,571.253279297996
561,1898,1948.22629794432,714.252071865663
562,1116,1106.67929203223,491.801029506403
564,2009,1959.64313950319,552.456437632292
567,1746,1786.53702009488,864.636319790774
569,1491,1544.60231605361,578.820497622021
570,4399,4285.48325003994,558.196221741358
571,6739,6729.26852666747,868.878608159277
576,1425,1466.161093893,679.668393209747
577,2734,2664.77640352242,761.930752711317
578,821,828.468563848355,468.315464129832
580,1520,1570.33187835824,574.648925669934
581,951,937.43936829725,650.631888665212
582,601,553.657059841445,370.388109682274
590,2320,2301.22829567555,989.008743057522
591,988,992.123945937478,386.427777588113
592,593,598.321248356672,534.271865928658
595,796,843.573493823992,554.780570189905
596,1506,1575.06626855479,706.135155287525
597,2131,2049.07173714227,548.534301790632
600,961,922.999340787314,295.840497818407
605,2145,2229.30488023861,809.329445163937
607,1282,1293.90701139277,950.573954464297
625,3067,3057.70817987396,1123.57136058199
633,1085,1046.26726756074,727.907189663653
646,1801,1773.27065466338,539.296864376038
648,1070,1016.98203409743,670.309060991247
651,1805,1787.40341397607,625.974100080335
656,2840,2816.04198946539,741.344062187816
660,2495,2472.00922100115,472.445836271299
668,997,1035.16132209307,613.619067422117
674,1045,1028.30389898324,531.209776219636
675,1963,1936.07037298052,580.91083543884
676,1648,1718.30998232283,411.208070682103
678,1908,1891.54943593154,683.428751417169
682,1856,1814.25872791432,717.608210036602
686,1314,1370.08031380234,586.881779215006
687,946,946.584558830035,368.119437819446
689,1041,1066.16622106479,668.167232327069
690,3178,3081.22443648806,781.477878974926
692,2550,2554.7737732222,859.456170863889
695,3412,3457.65734331533,563.725778663366
696,686,699.001787747431,610.078834269792
698,2228,2256.48681109139,393.02425114211
700,801,786.602178652846,523.181896885725
701,1174,1246.16052842262,646.588249569623
702,1598,1582.67393347183,499.551192596112
703,623,655.764459563934,392.801700983359
712,1968,1996.30261671573,1017.86846490259
713,2949,2891.61671958525,1507.20260818534
717,1103,1112.94105778152,684.534808646468
720,1360,1374.95634852639,415.196100644374
722,817,771.331646463894,601.117862857396
726,1137,1092.68098683617,456.009054383023
727,1929,1930.89589351751,620.850832332644
728,1929,1916.33230258614,986.163420010122
732,822,888.574678323231,476.251648029955
737,954,948.160755237373,567.778634754634
738,354,344.8981541087,278.741535041674
739,693,659.25188107436,357.66310685606
756,3752,3637.80288409396,1044.37639386383
758,1225,1214.51064435659,352.729715760887
760,2412,2414.80830867354,705.7898659534
762,2521,2428.25413965245,770.957757934876
765,1012,1007.21479323007,382.548369612741
771,1037,1063.79530525652,516.815708988368
772,1291,1295.76288961191,545.764878501338
782,1528,1575.8123709283,327.977608075165
783,849,864.640464889083,548.490915903797
789,878,889.638169069333,588.224282009524
790,1007,1015.26780692265,592.279331690449
791,3075,3118.77635155481,523.402653077493
792,1796,1856.21679826858,969.597669410978
793,2432,2482.36195745104,664.549494893271
794,1759,1820.74157045769,847.439417267798
795,1852,1841.39300927333,624.411073805168
796,3500,3569.10264136037,844.247289047578
805,2226,2171.7247239463,938.104556586007
807,1206,1198.95729518504,480.843821922497
810,2565,2569.924354604,621.499203865334
813,462,487.542757426073,345.760117331492
815,944,1002.97467550852,478.813917814287
821,892,879.278204567203,397.13150344033
822,2276,2354.75792645708,1001.11660193099
824,4569,4722.58827456742,1317.0897278433
837,730,710.178918254156,353.623786026707
841,2580,2556.08880953663,1373.43599443141
842,1043,1045.46836071593,283.21226794119
850,2284,2260.08133339036,970.885162959452
851,1153,1103.20163328954,589.897090351124
853,1044,1075.85947902539,451.327551762225
858,2360,2380.90900157699,495.496208039164
860,1053,1013.64320978359,602.226362436907
862,1429,1462.19632015241,744.020856348431
863,2042,2032.32356507085,561.989691612023
865,1808,1810.61255272003,784.716118605271
867,1527,1511.73135414071,788.826588633792
868,2278,2217.60124519478,728.662573670031
869,3193,3236.61816548506,709.495202001552
874,1007,970.276157663508,365.461724884225
877,709,709.229772199759,484.88908867045
880,1596,1567.69077540069,389.489452251117
884,486,505.744534711254,356.186443153643
885,1473,1425.26823597191,698.941371230617
