"draw","C_sum","C_expected_sum","E_sum"
1,6698,6767.85313206742,5505.2534348504
6,5499,5427.02974336523,4393.58566260908
9,6979,6939.35883782656,5178.92681757535
11,5725,5740.26991340502,4351.41831533374
12,5741,5808.57750510818,4609.40688822386
14,6955,6955.72468390096,5697.97484256918
17,6965,6981.3664456561,5133.31284157599
18,6428,6463.22482396637,5233.64922692473
21,6016,5970.52036936567,4494.95580794009
28,7100,7038.57651093292,5567.42641112294
32,6491,6485.99653458566,5150.26393151743
34,6879,6927.84962328543,5171.15077533175
41,6708,6592.32424117962,5450.38044013109
46,7450,7493.92651293033,6081.2114558763
47,6800,6928.84481141224,5433.45088378336
48,5673,5722.47016203128,4252.30063748616
51,6322,6470.39019673327,5196.88847440773
53,6991,7031.07515891852,5424.48330321715
54,6974,6901.81181685565,5319.66781450998
55,6134,6149.40910620568,4682.20294065467
56,6205,6209.34975290562,5265.20936234173
57,5327,5353.77755253264,4332.2927042518
58,6048,6053.94148047991,4699.28971861271
60,6803,6888.62751302991,5460.47197987283
61,6197,6133.77018808089,4930.81731910786
64,8072,8115.0655895673,6435.76337534277
66,6060,5987.19083589036,4774.50105508772
67,6547,6535.64478025918,5096.10898402769
70,7039,6946.06991087139,5425.7147642995
71,6471,6555.04801891434,4802.32641999643
74,7228,7159.83436580612,5307.42435890714
77,5845,5915.8195134724,5193.86297258782
78,6164,6193.09811264328,4761.18420767211
82,6092,6002.40655284844,4516.22364003079
83,6607,6661.59654969923,5183.96900895076
84,6609,6633.72444189343,5201.59166537816
89,6353,6404.59946019923,4958.79414879011
90,6374,6366.08132091543,5115.44439137491
93,5365,5482.19044196374,4587.90591393425
97,6664,6660.09843360191,5428.30713588855
102,6782,6742.71775574939,5154.9556487381
103,5805,5868.87326590403,4638.07240932041
106,5408,5416.59816372424,4403.00877724601
107,7205,7231.31626830578,5604.56947653448
108,5726,5768.31658183894,4447.55383718333
109,5596,5602.0126856753,4485.90963912953
110,7053,7179.43031160086,5441.22937180447
112,6331,6368.24701716685,5216.2862402937
113,6277,6305.17370883512,5158.24433039023
121,6861,6875.89614713717,4858.52368377636
123,5894,5825.95350754277,4897.95047268218
126,6215,6344.09108127113,5189.26995609687
127,7376,7432.59761961948,5756.91685983487
128,6191,6266.34259994604,5030.05097796901
133,6739,6598.77089314489,5204.33088172955
137,5974,6119.26627410303,4998.07745161364
142,5972,5867.32314439105,4886.87418458876
144,5602,5628.77805085753,4523.41322203759
148,8471,8539.68841210454,6050.38241217166
149,6015,6003.29764730569,4768.46849065278
151,7353,7332.07596075412,5535.63080895812
155,7156,7081.55754344139,5428.28507839629
159,5983,5942.70620157295,4664.43227126392
162,6252,6159.65388777872,4593.48983844955
163,5513,5624.62749103312,4418.51066044956
164,6035,6064.80281831635,4817.66419565509
170,6168,6097.33431962422,5086.70175610892
178,6281,6343.41023313375,4971.9106656777
179,6772,6717.11008216903,5336.06401479655
182,6072,6144.16948215123,4799.20630843889
187,7054,7204.64191288014,5966.04861477279
189,5633,5580.75856434288,4295.60266137365
193,6103,5949.54362361614,5042.28373235821
203,5396,5494.46715396142,4545.91596996519
204,5975,6030.03599553606,4785.5385189723
210,6383,6460.20958740811,5123.99915716428
211,6511,6506.464785568,5001.69945874553
213,4928,4999.88824630921,4142.45308303916
215,7326,7354.08914968511,5813.15151427761
224,7110,7157.81973160609,5397.39413295749
235,6401,6328.14841610707,5258.14113536794
238,7491,7388.51925067253,5555.68513839261
239,6770,6776.3438360418,5044.54715950848
242,6945,6986.29434352018,5032.00926085679
243,6197,6005.34159821305,4989.69059267006
255,6336,6295.21074417818,4887.7391181891
262,6653,6762.73800967383,5216.62267153956
264,6513,6500.1693907426,5269.53119295282
269,5834,5872.04026420303,4699.64609208544
272,6860,6917.24892988837,5749.54002283714
273,6563,6575.04082960187,4974.90724183517
276,6044,6148.66679887779,5008.86045712113
277,5961,5981.99870720253,4669.59735106055
281,6764,6805.32381125358,5191.25979932163
285,5232,5276.72908692052,4198.59148453945
286,6129,6098.56178172967,4686.71800890655
288,5787,5857.62389971431,4821.08022582343
290,6713,6685.71295316653,5165.58574650984
292,6892,6880.3128816427,5421.5042942857
294,6003,5913.44287750299,4667.34383909271
298,5819,5889.09653340158,4889.35318507933
299,5134,5115.54183651132,3980.07906089851
302,7070,6995.08532994116,5546.68323461776
304,6210,6357.90905272355,5278.13815219312
307,5678,5697.37538610769,4472.13553167612
308,6287,6236.6232441617,4763.86596221663
310,6356,6275.26925969944,5120.93056428281
318,6768,6832.30166789036,5612.61637632102
319,6147,6127.94612164709,5139.68232444422
320,6112,6077.76800479991,4718.57449571771
322,6766,6795.83757803232,5470.46041242832
339,6143,6112.87826000538,4783.04292965101
344,5527,5554.37492782716,4372.92489370752
345,5227,5223.41160648812,4318.50584842544
346,5852,5896.99037642098,4942.08088638526
351,6508,6451.1577673838,5591.16937888208
354,7253,7238.46525536042,5706.4055569643
357,6177,6226.285403532,5021.98165419415
358,5930,5899.34414366634,4740.28166135754
360,6677,6613.21154731295,5236.2655273419
363,6416,6486.9144465526,5237.16570644506
367,6970,7015.7986180911,5521.3346899868
369,6078,6044.10522854173,5011.63608005297
371,6139,6207.66190123466,5159.92965626384
373,7239,7175.62978773658,5733.76732498297
377,7334,7278.7139905152,5797.17683885228
380,5847,5918.10697369823,4731.25231586897
385,5559,5801.20373832798,4446.12235545177
386,6823,6840.04066169002,5636.7572519409
388,7522,7649.22280210569,5876.44237895917
392,7239,7249.48653561142,6326.75106079453
393,6526,6456.73304112414,5267.17715275283
394,5754,5616.43735105486,4537.91702822566
396,6557,6395.004409388,4909.15687885127
397,5845,5918.28244795734,4923.97862308628
401,6870,7055.67802810728,5841.38155446162
403,6638,6715.81917557549,5120.12979605737
412,6514,6500.14134181336,5087.12595842283
434,6677,6721.57862841491,5269.48939821907
436,7399,7543.72254025518,5865.85937221076
442,6342,6381.91833334292,5114.57351400983
445,6761,6754.42724557869,5240.42934494437
446,6395,6439.64596912104,5017.37540765033
448,5470,5369.09777043497,4326.07606661089
449,9020,8971.09857651371,6956.81468860311
454,5974,5876.50895579078,4681.35738864818
455,5390,5378.79026627142,3935.33745891233
458,6755,6799.19469718693,5281.79493997543
461,6149,6187.33358690892,4819.72384422375
467,6554,6464.06560067716,4944.01702389186
470,6643,6629.26814972982,5679.65205107082
474,6306,6291.60967490786,4770.51808085152
480,6184,6147.9121193294,4879.7822048741
491,7469,7507.4683996522,6173.6674849801
495,6069,6127.77720375628,4979.91110647857
498,6150,6229.38949653351,4595.13418786868
500,5056,5054.96640084418,4001.05709346283
502,6920,6976.64054573185,5301.4153137442
505,6207,6167.27350098202,4919.22826848117
506,5967,5931.71518791692,4453.83687230139
509,6499,6452.47804085123,5169.63391661432
