"draw","C_sum","C_expected_sum","E_sum"
1,1219,1205.69897300027,562.430074524585
6,1123,1075.606196129,590.730502331927
9,746,753.253262856813,395.7426354973
11,890,887.018745562541,363.808980488859
12,2435,2362.68794804644,318.890167766789
14,378,384.71069464044,277.870029583811
17,1202,1196.10700379213,371.625046204454
18,539,534.835995512386,423.265312527102
21,2342,2327.38543934162,1077.51248109964
28,1775,1807.01934290922,888.163107785394
32,3862,3843.08861015796,934.383817525423
34,2616,2584.20883969944,465.562922245136
41,743,779.758815398204,655.203123115904
46,2564,2516.62187773907,944.938013732453
47,2008,1999.62790720244,648.249060909708
48,1116,1128.29129525575,516.766569307905
51,1690,1654.92203052258,666.642256873916
53,1619,1660.83197422881,760.326426956316
54,1109,1127.77325805095,339.867991559043
55,867,896.419262429477,404.886459337197
56,1220,1244.08301256038,389.990010295811
57,1259,1278.00257952886,681.765031103212
58,1137,1095.08933528638,668.066157126953
60,1083,1099.1263123164,423.159293660648
61,772,793.215641498549,392.361243159692
64,924,954.213528288975,438.13318919331
66,4869,4925.73462531962,375.737542522279
67,1257,1265.61042846635,536.004803268666
70,1961,2044.60237956012,706.382174829485
71,552,558.138611215782,310.717841712548
74,3334,3334.52466595006,977.90143465875
77,709,732.05160746919,628.485573883054
78,1118,1154.61216301825,465.698346560276
82,645,612.35791865152,239.441422527909
83,124,135.903454945966,114.442316124172
84,2940,2967.62459678302,402.851013263488
89,721,707.965802317843,354.642361276429
90,1816,1907.27933605253,912.926393132312
93,2084,2033.49595436851,1073.83921744326
97,3732,3709.01175374577,701.104587332217
102,421,448.224233691638,411.02987424916
103,1086,1037.86994369003,367.949812945123
106,1269,1297.37778451529,651.609824950184
107,3352,3304.57447549219,878.321234002697
108,1762,1732.18470200033,851.55182972534
109,939,915.838948467082,441.007179193579
110,1727,1729.75620431036,382.570892298326
112,477,484.064436416932,231.237700113307
113,1003,963.163268980113,522.496668864836
121,1698,1707.11374405078,374.911620281331
123,1697,1708.28013328484,647.257548458978
126,2669,2638.02678301539,651.795790753849
127,2518,2428.07772874559,893.488045926011
128,996,945.769876861012,437.428982990508
133,659,644.542011261595,421.234554871637
137,1012,1014.16731433632,504.208232575786
142,509,518.812823374115,379.161982545704
144,984,950.997936714112,576.700616778327
148,1151,1111.81453287039,496.41080476614
149,919,934.749567946637,414.5129032658
151,2798,2830.73588846609,1006.17015763117
155,470,456.147985881229,159.668780845378
159,588,606.386327339071,393.446550095929
162,817,814.883868945935,651.81398996377
163,985,959.634438764252,477.236988863429
164,1351,1328.22164996718,437.905023658817
170,1684,1577.19181144933,1071.14809913143
178,635,646.530245358115,409.733647874751
179,2360,2380.52381981706,997.698781954399
182,687,706.364819032553,313.424089198313
187,610,625.303368954384,420.939857209282
189,1012,1010.0787352391,378.422642615596
193,1544,1572.00648692302,610.241027687857
203,967,958.808818545115,396.309093958687
204,2438,2349.11101087721,580.15649379465
210,950,952.030663241984,569.56342117234
211,3377,3279.73374163878,665.610144029557
213,3167,3191.19121249453,1097.56993507769
215,3605,3660.02329846535,562.202510912998
224,842,850.048273270152,377.003941994506
235,6156,5957.8874358124,1438.37430914388
238,1873,1866.53029134753,279.891230440567
239,3573,3572.61003251718,1051.42480282278
242,1166,1182.01034150015,530.190521580021
243,1604,1662.61787665573,667.966188399479
255,1179,1161.51406477908,651.958624251791
262,1149,1135.5959869288,314.429692603989
264,1818,1767.17276903465,788.171719501323
269,1092,1074.08109996562,650.497415707325
272,979,1015.51997600921,391.581012201932
273,736,735.95363810255,249.455937909383
276,446,468.983798328459,239.616924848741
277,1764,1749.56197294212,458.368932724739
281,1547,1585.7286383094,833.737363876523
285,375,364.77722060877,366.328401134498
286,1793,1789.46656220154,557.963273056294
288,1458,1457.19330416936,541.633416421671
290,1017,986.630874997102,1047.18782802873
292,3709,3777.97811591196,448.942330573246
294,1068,1058.4788585186,421.81333428025
298,3037,2945.95603466013,812.743443356096
299,848,841.158233084275,620.939034722967
302,938,928.118714593844,422.168489835597
304,1627,1647.30516137343,581.799563203186
307,1183,1163.59389120736,355.487979757853
308,1898,1872.1841426829,1042.49603770455
310,3929,3872.65726535773,766.733904623532
318,685,688.220787312069,246.622207981489
319,963,936.544688092269,658.282067797829
320,1070,1009.11279349938,448.73910803299
322,4548,4668.19163413429,1643.81514694606
