"population","month_label","n_interviews","mean_cpue","sd_cpue","se_cpue","median_cpue","mean_dungeness","mean_hours"
"private_boat","2024-09",3,0.333,0.577,0.333,0,2,6
"private_boat","2024-10",15,0.895,1.006,0.26,0.75,4.5,4.4
"private_boat","2024-11",4,2.75,2.5,1.25,2.5,9,3.8
"private_boat","2024-12",42,1.371,1.716,0.265,0.5,15.4,42.5
"private_boat","2025-01",36,1.49,1.458,0.243,1.2,13.6,56.6
"private_boat","2025-02",4,0.983,1.415,0.707,0.467,5,7.9
"private_boat","2025-03",6,0.432,0.592,0.242,0.171,4.8,9.7
"private_boat","2025-04",15,1.06,1.281,0.331,0.533,3.7,4.9
"private_boat","2025-05",11,0.508,0.588,0.177,0.296,9.5,88.9
"private_boat","2025-06",7,0.398,0.72,0.272,0.115,4.6,37.9
"private_boat","2025-07",11,0.378,0.607,0.183,0,4,51.1
"private_boat","2025-08",19,0.535,0.739,0.17,0.179,6.6,34.5
"private_boat","2025-09",7,0.306,0.333,0.126,0.2,3.1,19.1
"shore","2024-09",151,0.651,1.728,0.141,0.333,3.1,7.4
"shore","2024-10",352,0.569,0.701,0.037,0.417,3.4,7.1
"shore","2024-11",368,0.645,0.738,0.038,0.458,3.4,6.2
"shore","2024-12",381,0.572,0.761,0.039,0.333,3.1,6.4
"shore","2025-01",326,0.239,0.412,0.023,0,1.5,6.8
"shore","2025-02",190,0.247,0.457,0.033,0,1.3,6.7
"shore","2025-03",268,0.27,0.523,0.032,0.059,1.4,6.4
"shore","2025-04",364,0.27,0.439,0.023,0.115,2.1,11
"shore","2025-05",300,0.421,0.638,0.037,0.168,2.3,7.8
"shore","2025-06",142,0.351,0.471,0.04,0.155,2.6,9.8
"shore","2025-07",228,0.282,0.429,0.028,0.044,2.1,8.8
"shore","2025-08",435,0.34,0.534,0.026,0.083,2.3,8
"shore","2025-09",226,0.45,0.629,0.042,0.195,3,8.1
