"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"catch",1,2,"2024-09-17",3,-2.2035,0.0561,0.046,-2.2067
"catch",2,2,"2024-09-17",0,-1.5585,0.1059,-0.141,-1.5697
"catch",3,2,"2024-09-17",1,-1.5564,0.0576,-0.02,-1.5597
"catch",4,3,"2024-09-18",0,-1.5585,0.1059,-0.141,-1.5697
"catch",5,3,"2024-09-18",3,-2.0627,0.0388,-0.082,-2.0643
"catch",6,3,"2024-09-18",12,-3.8869,0.1506,0.008,-3.9096
"catch",7,3,"2024-09-18",0,-1.5585,0.1059,-0.141,-1.5697
"catch",8,4,"2024-09-19",5,-2.7682,0.0876,-0.029,-2.7759
"catch",9,4,"2024-09-19",0,-1.5585,0.1059,-0.141,-1.5697
"catch",10,4,"2024-09-19",0,-1.5585,0.1059,-0.141,-1.5697
"catch",11,5,"2024-09-20",0,-1.9951,0.1331,-0.064,-2.0129
"catch",12,5,"2024-09-20",6,-2.7689,0.0661,-0.036,-2.7733
"catch",13,5,"2024-09-20",0,-1.5585,0.1059,-0.141,-1.5697
"catch",14,5,"2024-09-20",2,-1.7678,0.0377,0.008,-1.7693
"catch",15,5,"2024-09-20",1,-1.5564,0.0576,-0.02,-1.5597
"catch",16,5,"2024-09-20",6,-2.7689,0.0661,-0.036,-2.7733
"catch",17,5,"2024-09-20",11,-3.214,0.0524,-0.016,-3.2167
"catch",18,6,"2024-09-21",4,-2.3112,0.0438,-0.131,-2.3131
"catch",19,6,"2024-09-21",0,-0.8453,0.0626,0.027,-0.8492
"catch",20,6,"2024-09-21",3,-2.1282,0.0485,-0.109,-2.1305
"catch",21,6,"2024-09-21",0,-1.3982,0.096,0.033,-1.4074
"catch",22,6,"2024-09-21",11,-4.5305,0.244,0.02,-4.5901
"catch",23,6,"2024-09-21",0,-0.8453,0.0626,0.027,-0.8492
"catch",24,6,"2024-09-21",4,-2.2958,0.042,-0.095,-2.2976
"catch",25,6,"2024-09-21",3,-2.1282,0.0485,-0.109,-2.1305
"catch",26,6,"2024-09-21",2,-1.7411,0.0331,-0.096,-1.7422
"catch",27,6,"2024-09-21",0,-2.1382,0.1419,-0.014,-2.1584
"catch",28,6,"2024-09-21",0,-2.1382,0.1419,-0.014,-2.1584
"catch",29,6,"2024-09-21",6,-2.6464,0.0452,-0.089,-2.6484
"catch",30,6,"2024-09-21",4,-2.2958,0.042,-0.095,-2.2976
"catch",31,6,"2024-09-21",2,-2.0052,0.0623,0.002,-2.0091
"catch",32,6,"2024-09-21",3,-2.1027,0.0453,-0.119,-2.1048
"catch",33,6,"2024-09-21",0,-0.8453,0.0626,0.027,-0.8492
"catch",34,6,"2024-09-21",1,-1.4628,0.0494,-0.043,-1.4652
"catch",35,6,"2024-09-21",4,-2.5083,0.0744,-0.125,-2.5138
"catch",36,6,"2024-09-21",5,-2.5924,0.0614,-0.127,-2.5962
"catch",37,6,"2024-09-21",1,-1.2629,0.0233,-0.094,-1.2635
"catch",38,6,"2024-09-21",6,-2.8921,0.0856,-0.131,-2.8994
"catch",39,6,"2024-09-21",6,-3.3903,0.1496,-0.095,-3.4127
"catch",40,9,"2024-09-24",9,-3.0231,0.0499,-0.075,-3.0256
"catch",41,9,"2024-09-24",3,-2.2035,0.0561,0.046,-2.2067
"catch",42,9,"2024-09-24",7,-3.5262,0.1007,-0.098,-3.5363
"catch",43,9,"2024-09-24",0,-0.9595,0.0697,-0.087,-0.9643
"catch",44,9,"2024-09-24",5,-2.7682,0.0876,-0.029,-2.7759
"catch",45,9,"2024-09-24",6,-2.6842,0.0511,0.003,-2.6868
"catch",46,9,"2024-09-24",0,-0.9595,0.0697,-0.087,-0.9643
"catch",47,9,"2024-09-24",0,-0.9595,0.0697,-0.087,-0.9643
"catch",48,9,"2024-09-24",9,-3.5818,0.139,-0.003,-3.6012
"catch",49,9,"2024-09-24",6,-4.4865,0.25,0.032,-4.5491
"catch",50,9,"2024-09-24",6,-3.1524,0.1208,-0.007,-3.167
