"period","date_start","date_end","n_days","omega_E_median","omega_E_lo95","omega_E_hi95","omega_C_median","omega_C_lo95","omega_C_hi95"
1,"2024-12-01","2024-12-14",14,-0.240972644283843,-0.76335322754615,0.272970653376542,0.461780686364607,-0.0273688719340746,0.899946480801957
2,"2024-12-15","2024-12-28",14,-0.187949255355031,-0.705957446404457,0.345673243987632,0.162637483492599,-0.324655963914434,0.610422872816799
3,"2024-12-29","2025-01-11",14,-0.0102062680969917,-0.549575632887142,0.50473275538986,-0.0741292246738007,-0.578938615229648,0.34011257614027
4,"2025-01-12","2025-01-25",14,-0.30083129228615,-0.840391975211985,0.224332024221606,-0.376905939308147,-0.917609502443737,0.069809226196352
5,"2025-01-26","2025-02-08",14,-0.501563011992305,-1.07422369906139,0.0386713371032676,-0.523087328103864,-1.09006433592216,-0.0629230455439375
6,"2025-02-09","2025-02-22",14,-0.476434186437446,-1.04357012131122,0.0564033080969174,-0.605357898201528,-1.19644380109831,-0.106365864020641
7,"2025-02-23","2025-03-08",14,-0.570601913074926,-1.09602248801427,-0.0639293390233357,-0.454704627228824,-0.980930744182316,-0.0259077685422471
8,"2025-03-09","2025-03-22",14,-0.67857768007736,-1.1934691303018,-0.176096609935974,-0.390831897826005,-0.942364699772628,0.0747442858435215
9,"2025-03-23","2025-04-05",14,0.0988505923906259,-0.397628492952209,0.592538484061472,-0.352412349063504,-0.888014786725049,0.0856591589206701
10,"2025-04-06","2025-04-19",14,0.196943051788401,-0.313789966534683,0.737641473883631,-0.0232229923239154,-0.524587188462582,0.426088866557357
11,"2025-04-20","2025-05-03",14,0.149657266618261,-0.357479068837237,0.661096339675029,-0.0357395351630751,-0.530155138917812,0.403254032779994
12,"2025-05-04","2025-05-17",14,-0.0533575713859683,-0.548455267031725,0.449152201065784,0.241168072890839,-0.275493668380564,0.695726959234084
13,"2025-05-18","2025-05-31",14,0.0686670807321161,-0.456267274237464,0.588070434186881,0.068799230622752,-0.444034630897685,0.538186133431743
14,"2025-06-01","2025-06-14",14,-0.107380645330647,-0.627223998128013,0.430820611563437,-0.0703612440965184,-0.600176261957749,0.41310752246197
15,"2025-06-15","2025-06-28",14,0.241850768786387,-0.285085203287599,0.79612170947723,0.230807431150121,-0.323569880378559,0.752425643174342
16,"2025-06-29","2025-07-12",14,0.508018005572086,-0.0205696005174153,1.06947429107966,-0.0726102035102834,-0.627369301187362,0.48229396615764
17,"2025-07-13","2025-07-26",14,0.446558919172144,-0.0590660121154803,0.986587298009313,0.131810743901542,-0.393289002755691,0.614437912506682
18,"2025-07-27","2025-08-09",14,0.461187890682286,-0.0349944127202295,0.985015684653805,0.160474542600579,-0.335145997769501,0.605273938494294
19,"2025-08-10","2025-08-23",14,0.469125848202169,-0.0312793425897896,0.99189889847432,0.046826815828216,-0.472794328121842,0.49977384093529
20,"2025-08-24","2025-09-06",14,0.260425846580812,-0.240193693715212,0.771285465696479,-0.100045942592128,-0.589988004368694,0.331063085574693
21,"2025-09-07","2025-09-15",9,0.203175651039559,-0.293156273429105,0.726806830039808,0.405194176069413,-0.104783703932026,0.898438660608703
