"date","day_type","observed","source","commercial_tally","charter_tally","charter_trips","est_vessels","est_dung_char","est_dung"
2024-12-01,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-02,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-03,"weekday",TRUE,"tally (commercial census) + charter roster",5,1,1,6,70.2352941176471,265.518982060909
2024-12-04,"weekday",TRUE,"tally (commercial census)",5,0,0,5,0,195.283687943262
2024-12-05,"weekday",TRUE,"tally (commercial census) + charter roster",7,1,1,8,70.2352941176471,343.632457238214
2024-12-06,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2024-12-07,"weekend",TRUE,"tally (commercial census) + charter roster",4,0,1,5,70.2352941176471,226.462244472257
2024-12-08,"weekend",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-09,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-10,"weekday",TRUE,"tally (commercial census) + charter roster",3,1,1,4,64.3,181.470212765957
2024-12-11,"weekday",TRUE,"tally (commercial census) + charter roster",4,1,1,5,70.2352941176471,226.462244472257
2024-12-12,"weekday",TRUE,"tally (commercial census) + charter roster",5,1,1,6,64.3,259.583687943262
2024-12-13,"weekday",TRUE,"tally (commercial census) + charter roster",0,1,1,1,70.2352941176471,70.2352941176471
2024-12-14,"weekend",TRUE,"tally (commercial census)",0,0,0,0,0,0
2024-12-15,"weekend",TRUE,"tally (commercial census) + charter roster",10,1,1,11,70.2352941176471,460.802670004172
2024-12-16,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-17,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-18,"weekday",TRUE,"tally (commercial census)",10,0,0,10,0,390.567375886525
2024-12-19,"weekday",FALSE,"charter roster (no tally)",NA,NA,1,1,30.6666666666667,30.6666666666667
2024-12-20,"weekday",TRUE,"tally (commercial census)",4,0,0,4,0,156.22695035461
2024-12-21,"weekend",TRUE,"tally (commercial census)",3,0,0,3,0,117.170212765957
2024-12-22,"weekend",TRUE,"tally (commercial census) + charter roster",3,1,1,4,70.2352941176471,187.405506883605
2024-12-23,"weekday",TRUE,"tally (commercial census)",7,0,0,7,0,273.397163120567
2024-12-24,"weekday",TRUE,"tally (commercial census)",3,0,0,3,0,117.170212765957
2024-12-25,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-26,"weekday",TRUE,"tally (commercial census)",0,0,0,0,0,0
2024-12-27,"weekday",TRUE,"tally (commercial census)",2,0,0,2,0,78.113475177305
2024-12-28,"weekend",TRUE,"tally (commercial census) + charter roster",1,1,1,2,70.2352941176471,109.2920317063
2024-12-29,"weekend",FALSE,"charter roster (no tally)",NA,NA,1,1,30.6666666666667,30.6666666666667
2024-12-30,"weekday",FALSE,"no operation (unsampled day)",NA,NA,0,0,0,0
2024-12-31,"weekend",TRUE,"tally (commercial census) + charter roster",6,1,1,7,70.2352941176471,304.575719649562
2025-01-01,"weekend",TRUE,"tally (commercial census) + charter roster",1,1,1,2,70.2352941176471,109.2920317063
2025-01-02,"weekday",TRUE,"tally (commercial census) + charter roster",3,1,1,4,70.2352941176471,187.405506883605
