"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"trailer",1,2,"2024-12-02",1,-1.3968,0.0923,0.085,-1.4054
"trailer",2,3,"2024-12-03",2,-1.8971,0.1098,0.206,-1.9093
"trailer",3,4,"2024-12-04",5,-3.4456,0.5458,0.431,-3.7573
"trailer",4,5,"2024-12-05",3,-2.4151,0.2456,0.265,-2.4766
"trailer",5,6,"2024-12-06",2,-1.8971,0.1098,0.206,-1.9093
"trailer",6,7,"2024-12-07",2,-1.8818,0.092,0.07,-1.8903
"trailer",7,10,"2024-12-10",1,-1.3968,0.0923,0.085,-1.4054
"trailer",8,11,"2024-12-11",0,-0.9759,0.23,0.124,-1.0289
"trailer",9,12,"2024-12-12",1,-1.3968,0.0923,0.085,-1.4054
"trailer",10,13,"2024-12-13",0,-0.9759,0.23,0.124,-1.0289
"trailer",11,14,"2024-12-14",0,-1.3357,0.2949,0.111,-1.4229
"trailer",12,15,"2024-12-15",2,-1.8723,0.0831,0.227,-1.8792
"trailer",13,18,"2024-12-18",4,-2.9724,0.3804,0.246,-3.1196
"trailer",14,20,"2024-12-20",1,-1.3867,0.0849,0.15,-1.394
"trailer",15,21,"2024-12-21",1,-1.5473,0.1586,0.163,-1.5726
"trailer",16,22,"2024-12-22",1,-1.5473,0.1586,0.163,-1.5726
"trailer",17,23,"2024-12-23",2,-1.9022,0.1071,0.145,-1.9137
"trailer",18,24,"2024-12-24",1,-1.3867,0.0849,0.15,-1.394
"trailer",19,26,"2024-12-26",0,-0.9522,0.2185,0.065,-1.0001
"trailer",20,27,"2024-12-27",2,-1.9022,0.1071,0.145,-1.9137
"trailer",21,28,"2024-12-28",5,-2.9456,0.3129,0.289,-3.0457
"trailer",22,31,"2024-12-31",2,-1.9053,0.1209,0.164,-1.92
"trailer",23,32,"2025-01-01",3,-2.2322,0.1314,0.125,-2.2498
"trailer",24,33,"2025-01-02",0,-0.7428,0.1952,0.104,-0.781
"trailer",25,34,"2025-01-03",0,-0.7428,0.1952,0.104,-0.781
"trailer",26,35,"2025-01-04",0,-1.0474,0.256,0.094,-1.1131
"trailer",27,38,"2025-01-07",0,-0.7428,0.1952,0.104,-0.781
"trailer",28,39,"2025-01-08",4,-3.4033,0.5734,0.231,-3.7406
"trailer",29,40,"2025-01-09",1,-1.3552,0.0581,0.092,-1.3586
"trailer",30,41,"2025-01-10",1,-1.3552,0.0581,0.092,-1.3586
"trailer",31,42,"2025-01-11",1,-1.4259,0.1144,0.136,-1.4391
"trailer",32,45,"2025-01-14",5,-3.7122,0.6227,0.171,-4.1042
"trailer",33,47,"2025-01-16",0,-0.8624,0.216,0.072,-0.9092
"trailer",34,48,"2025-01-17",3,-2.5411,0.2968,0.018,-2.6298
"trailer",35,49,"2025-01-18",4,-2.6718,0.2734,0.184,-2.7478
"trailer",36,52,"2025-01-21",1,-1.3672,0.0696,0.08,-1.3721
"trailer",37,53,"2025-01-22",1,-1.3672,0.0696,0.08,-1.3721
"trailer",38,54,"2025-01-23",0,-0.8624,0.216,0.072,-0.9092
"trailer",39,55,"2025-01-24",1,-1.3672,0.0696,0.08,-1.3721
"trailer",40,56,"2025-01-25",1,-1.4916,0.1455,0.103,-1.5129
"trailer",41,60,"2025-01-29",3,-3.2206,0.638,0.412,-3.646
"trailer",42,61,"2025-01-30",0,-0.5324,0.1783,0.053,-0.5643
"trailer",43,62,"2025-01-31",0,-0.5324,0.1783,0.053,-0.5643
"trailer",44,63,"2025-02-01",0,-0.772,0.2424,0.017,-0.8309
"trailer",45,67,"2025-02-05",0,-0.5324,0.1783,0.053,-0.5643
"trailer",46,68,"2025-02-06",0,-0.5324,0.1783,0.053,-0.5643
"trailer",47,69,"2025-02-07",0,-0.5324,0.1783,0.053,-0.5643
"trailer",48,70,"2025-02-08",2,-1.9158,0.1512,0.25,-1.9392
"trailer",49,73,"2025-02-11",0,-0.4902,0.1689,0.184,-0.5188
"trailer",50,74,"2025-02-12",1,-1.4336,0.1346,0.153,-1.4519
"trailer",51,76,"2025-02-14",1,-1.4336,0.1346,0.153,-1.4519
"trailer",52,77,"2025-02-15",2,-2.0743,0.2731,0.29,-2.1511
"trailer",53,81,"2025-02-19",0,-0.4902,0.1689,0.184,-0.5188
"trailer",54,82,"2025-02-20",0,-0.4902,0.1689,0.184,-0.5188
"trailer",55,83,"2025-02-21",0,-0.4902,0.1689,0.184,-0.5188
"trailer",56,84,"2025-02-22",1,-1.3697,0.0789,0.247,-1.3759
"trailer",57,87,"2025-02-25",0,-0.5268,0.1596,-0.009,-0.5524
"trailer",58,88,"2025-02-26",2,-2.3325,0.3362,0.213,-2.4472
"trailer",59,89,"2025-02-27",0,-0.5268,0.1596,-0.009,-0.5524
"trailer",60,90,"2025-02-28",0,-0.5268,0.1596,-0.009,-0.5524
"trailer",61,91,"2025-03-01",2,-2.0207,0.2091,0.231,-2.0651
"trailer",62,94,"2025-03-04",0,-0.5268,0.1596,-0.009,-0.5524
"trailer",63,95,"2025-03-05",0,-0.5268,0.1596,-0.009,-0.5524
"trailer",64,96,"2025-03-06",1,-1.4051,0.1031,0.126,-1.4158
"trailer",65,98,"2025-03-08",0,-0.7666,0.215,0.03,-0.8129
"trailer",66,101,"2025-03-11",2,-2.0229,0.1433,0.076,-2.0435
"trailer",67,102,"2025-03-12",1,-1.3415,0.0447,0.114,-1.3435
"trailer",68,104,"2025-03-14",1,-1.3415,0.0447,0.114,-1.3435
"trailer",69,105,"2025-03-15",0,-1.0542,0.1942,0.053,-1.0919
"trailer",70,108,"2025-03-18",2,-2.0229,0.1433,0.076,-2.0435
"trailer",71,109,"2025-03-19",0,-0.7444,0.1447,0.062,-0.7653
"trailer",72,109,"2025-03-19",0,-0.7444,0.1447,0.062,-0.7653
"trailer",73,110,"2025-03-20",0,-0.7444,0.1447,0.062,-0.7653
"trailer",74,111,"2025-03-21",0,-0.7444,0.1447,0.062,-0.7653
"trailer",75,112,"2025-03-22",1,-1.4146,0.0876,0.089,-1.4223
"trailer",76,112,"2025-03-22",6,-3.7888,0.4995,0.318,-4.0424
"trailer",77,113,"2025-03-23",0,-1.8234,0.2643,0.148,-1.8934
"trailer",78,115,"2025-03-25",8,-3.9038,0.3788,0.13,-4.0482
"trailer",79,117,"2025-03-27",0,-1.3857,0.2042,0.063,-1.4275
"trailer",80,118,"2025-03-28",0,-1.3857,0.2042,0.063,-1.4275
"trailer",81,122,"2025-04-01",1,-1.5796,0.1107,0.111,-1.5918
"trailer",82,123,"2025-04-02",1,-1.5796,0.1107,0.111,-1.5918
"trailer",83,124,"2025-04-03",6,-3.2076,0.2454,0.066,-3.268
"trailer",84,125,"2025-04-04",13,-5.6219,0.7286,0.341,-6.1602
"trailer",85,125,"2025-04-04",9,-4.2512,0.4473,0.174,-4.4528
"trailer",86,126,"2025-04-05",16,-5.0959,0.6144,0.314,-5.4795
"trailer",87,131,"2025-04-10",0,-1.3772,0.2289,0.073,-1.4297
"trailer",88,132,"2025-04-11",2,-1.8713,0.0756,0.163,-1.877
"trailer",89,136,"2025-04-15",2,-1.8713,0.0756,0.163,-1.877
"trailer",90,140,"2025-04-19",2,-2.036,0.1426,0.056,-2.0564
"trailer",91,144,"2025-04-23",10,-3.2788,0.0911,-0.057,-3.2871
"trailer",92,145,"2025-04-24",3,-2.5382,0.1312,0.007,-2.5554
"trailer",93,145,"2025-04-24",3,-2.5382,0.1312,0.007,-2.5554
"trailer",94,146,"2025-04-25",7,-2.932,0.0718,0.021,-2.9372
"trailer",95,150,"2025-04-29",2,-2.4709,0.162,0.051,-2.4972
"trailer",96,150,"2025-04-29",3,-2.5382,0.1312,0.007,-2.5554
"trailer",97,151,"2025-04-30",7,-2.932,0.0718,0.021,-2.9372
"trailer",98,152,"2025-05-01",56,-8.859,1.2375,0.431,-10.4175
"trailer",99,152,"2025-05-01",56,-8.859,1.2375,0.431,-10.4175
"trailer",100,153,"2025-05-02",3,-2.5382,0.1312,0.007,-2.5554
"trailer",101,153,"2025-05-02",2,-2.4709,0.162,0.051,-2.4972
"trailer",102,154,"2025-05-03",4,-2.9566,0.183,0.114,-2.9902
