"parameter","estimate","median","lo95","hi95","mean","n_eff","Rhat","decoupled","decoupled_reason","fit_method"
"mu_mu_E[1]",3.05121139036803,3.05121139036803,2.71371180070869,3.43539057969116,3.0569786440694,1907,1.0019,FALSE,NA,"BSS"
"mu_mu_C[1]",0.318444839956493,0.318444839956493,0.130222863677333,0.535508183492808,0.321541053537149,2696,1.0003,FALSE,NA,"BSS"
"sigma_eps_E",0.15690712907347,0.15690712907347,0.00812094152405233,0.624928055943242,0.196589383292301,1790,1.0013,FALSE,NA,"BSS"
"sigma_eps_C",0.127861036380225,0.127861036380225,0.0212227607520795,0.406433849974621,0.150177071815587,2654,1.0002,FALSE,NA,"BSS"
"phi_E",0.118082536345525,0.118082536345525,-0.71799095373578,0.819813878878986,0.0977590609473026,5690,1.0003,FALSE,NA,"BSS"
"phi_C",-0.254320064767862,-0.254320064767862,-0.879452846897419,0.700833059356418,-0.205580280976444,5215,1.0012,FALSE,NA,"BSS"
"sigma_r_E",0.507810978122732,0.507810978122732,0.403134530839812,0.650756766909904,0.512878585734215,8993,0.9998,FALSE,NA,"BSS"
"sigma_r_C",0.780938947554918,0.780938947554918,0.70528286565658,0.859767200300482,0.781253734250612,9638,0.9997,FALSE,NA,"BSS"
"r_E",3.87789306620604,3.87789306620604,2.36136225978321,6.15318540064851,3.9757733784781,9387,0.9997,FALSE,NA,"BSS"
"r_C",1.63970542809171,1.63970542809171,1.3528145140083,2.01035768270464,1.65092038086037,8822,0.9997,FALSE,NA,"BSS"
"sigma_mu_E",2.00854820636813,2.00854820636813,0.0804847593629529,49.6060590376364,11.4575610524599,5355,1.0003,FALSE,NA,"BSS"
"sigma_mu_C",1.97399573771074,1.97399573771074,0.081258358197913,50.3660381591784,9.41703713803823,4113,1.0001,FALSE,NA,"BSS"
"sigma_IE",NA,0.14135866712096,0.00544092367982083,0.735504900116675,0.20417875383522,12601,0.9998,TRUE,"no I/E observations in this fit (IE_n = 0); sigma_IE is its prior","BSS"
"R_G",1.32189503457991,1.32189503457991,1.26177929581649,1.38399818837529,1.32197229813395,10540,0.9997,FALSE,NA,"BSS"
"R_G_boat",NA,3.99817064842475,1.51858536318425,10.6336968624003,4.55487053225811,7708,0.9998,TRUE,"no boat count stream in this fit; the boat gear ratio is its prior","BSS"
"B1",0.702943417671716,0.702943417671716,0.384803010050458,1.04539236997622,0.7040069932548,8917,0.9997,FALSE,NA,"BSS"
"B2",-0.09982119529768,-0.09982119529768,-1.04142437416834,1.00851392734586,-0.0773270356975582,9836,1.0001,FALSE,NA,"BSS"
"B1_C",-0.16645872397565,-0.16645872397565,-0.326680996495298,-0.00234727628490943,-0.16520146838067,10267,0.9998,FALSE,NA,"BSS"
"kappa_OSP",NA,2.99508399579395,1.64185248587674,5.47711470897568,3.13816669136302,9631,1.0001,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"sigma_r_OSP",NA,2.03136641697371,0.072150216494248,57.089763069251,13.4829397191591,6819,1,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"r_OSP",NA,0.242339173209068,0.000306820235650122,192.098876158913,1415.81947544794,7837,1.0003,TRUE,"no OSP observations in this fit (OSP_n = 0)","BSS"
"f_crab[1]",NA,1,1,1,1,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"f_lower[1]",NA,0,0,0,0,NA,NA,TRUE,"apply_crab_fraction = 0 (shore, or the feature is off): f is pinned at 1","BSS"
"sigma_f_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfi_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"combo_c_out[1]",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"sigma_c_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"cfc_kappa_out",NA,0,0,0,0,NA,NA,TRUE,"crab_fraction_dynamic = 0 (or f pinned/off): the dynamic f is not in the model","BSS"
"tau_bar[1]",2.47928532728536,2.47928532728536,2.03652745744064,3.00696380706447,2.48985385237935,12648,0.9996,FALSE,NA,"BSS"
