"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2082,1434,3185,1589,1157,2235
"2024-10",4337,3206,6192,3031,2339,3953
"2024-11",3990,2851,6259,2964,2188,4171
"2024-12",9710,8318,11811,3490,2744,4499
"2025-01",7138,6209,8575,3459,2686,4486
"2025-02",2072,1596,2827,2123,1636,2790
"2025-03",2353,1738,3235,2562,2081,3170
"2025-04",5748,4196,7735,4636,3758,5820
"2025-05",7291,5135,10362,4767,3774,6001
"2025-06",10206,6412,16059,6110,4564,8200
"2025-07",23094,13838,37243,11225,8199,15197
"2025-08",17558,11147,27684,9660,7414,12688
"2025-09",5185,3005,9191,3116,2261,4308
