"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2085,1438,3197,1586,1158,2248
"2024-10",4341,3228,6192,3030,2345,3935
"2024-11",3980,2862,6376,2965,2179,4189
"2024-12",9881,8532,11771,3484,2795,4340
"2025-01",7700,6688,9303,3853,3044,4966
"2025-02",2292,1731,3205,2249,1730,2984
"2025-03",2621,1940,3547,2993,2346,3911
"2025-04",5447,4147,7144,4811,3746,6346
"2025-05",7377,5311,10270,4870,3759,6500
"2025-06",10011,6540,14975,5944,4331,8441
"2025-07",23841,14746,35799,10956,7976,14495
"2025-08",19283,12452,28987,9542,7135,12563
"2025-09",5632,3284,9124,3115,2249,4257
