"data_type","obs_index","day_index","event_date","observed","lpd","loglik_sd","pareto_k","elpd_loo"
"gear",1,1,"2024-12-01",76,-4.6368,0.3368,0.531,-4.7675
"gear",2,3,"2024-12-03",27,-3.6248,0.1916,0.113,-3.6623
"gear",3,4,"2024-12-04",30,-3.8406,0.2813,0.165,-3.9217
"gear",4,5,"2024-12-05",20,-3.2844,0.1126,0.052,-3.2972
"gear",5,6,"2024-12-06",25,-3.501,0.1387,0.121,-3.5205
"gear",6,7,"2024-12-07",31,-4.4537,0.4258,0.158,-4.6364
"gear",7,10,"2024-12-10",23,-3.4011,0.108,0.197,-3.4129
"gear",8,11,"2024-12-11",20,-3.2725,0.1017,0.127,-3.283
"gear",9,12,"2024-12-12",39,-4.7316,0.5909,0.438,-5.0952
"gear",10,13,"2024-12-13",22,-3.3517,0.0955,0.207,-3.3609
"gear",11,14,"2024-12-14",37,-4.2282,0.321,0.129,-4.3324
"gear",12,15,"2024-12-15",33,-4.3221,0.3769,0.136,-4.4658
"gear",13,18,"2024-12-18",32,-4.1717,0.5171,0.34,-4.4569
"gear",14,20,"2024-12-20",22,-3.3855,0.1457,0.163,-3.4072
"gear",15,21,"2024-12-21",20,-4.8687,0.6272,0.186,-5.2648
"gear",16,22,"2024-12-22",19,-4.9613,0.6463,0.191,-5.3818
"gear",17,23,"2024-12-23",29,-3.6099,0.1025,0.075,-3.6205
"gear",18,24,"2024-12-24",31,-3.6744,0.1087,0.17,-3.6863
"gear",19,26,"2024-12-26",33,-3.752,0.1358,0.239,-3.7707
"gear",20,27,"2024-12-27",50,-4.764,0.5405,0.395,-5.0681
"gear",21,28,"2024-12-28",58,-4.4929,0.2712,0.019,-4.5672
"gear",22,31,"2024-12-31",96,-4.8527,0.2895,0.488,-4.945
"gear",23,32,"2025-01-01",55,-4.6264,0.4519,0.206,-4.8355
"gear",24,33,"2025-01-02",28,-3.5957,0.1305,0.205,-3.6129
"gear",25,34,"2025-01-03",55,-5.1359,0.7646,0.396,-5.7603
