"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",2114,1479,3253,1590,1167,2261
"2024-10",4285,3203,6036,3043,2358,3961
"2024-11",3942,2811,6279,2967,2174,4120
"2024-12",9561,8179,11519,3496,2750,4461
"2025-01",7138,6225,8515,3454,2694,4495
"2025-02",2060,1583,2811,2117,1632,2768
"2025-03",2353,1724,3224,2564,2084,3153
"2025-04",5691,4196,7667,4651,3746,5814
"2025-05",7223,5082,10290,4767,3767,6001
"2025-06",10254,6493,16091,6124,4574,8187
"2025-07",23242,13864,37290,11229,8213,15155
"2025-08",17685,11397,27844,9662,7479,12615
"2025-09",5174,2983,9145,3112,2256,4350
