"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C_sum",50061.77575,121.301025748673,3261.38086883584,43993,47816.5,49911,52143.5,56747.075,722.893120714942,1.00269375202882
"E_sum",144781.84549129,349.547126625441,6454.48514526644,132668.203530165,140304.049726084,144688.8197817,149044.670412068,157736.455538367,340.966520991499,1.00772903962443
"C_sum_gear[1]",15749.66475,41.6174282095251,1567.26466037868,13008.925,14633.75,15642,16739.75,19134.025,1418.18929831258,1.00144714654463
"C_sum_gear[2]",7817.90525,23.2253347723058,1045.6166648436,5996,7086,7736,8466,10108.05,2026.84728395406,1.00196448508297
"C_sum_gear[3]",4005.897125,14.7749720671054,787.623966421029,2706,3452,3929.5,4466.25,5775,2841.741099459,1.00257276445773
"C_sum_gear[4]",22488.308625,59.6527184806587,2280.11584473438,18345,20882.75,22351,23985.25,27228.075,1461.01052657936,1.00058866804992
"B1",0.758034602201069,0.003671760075748,0.0680943454790418,0.618729903185792,0.715263437119172,0.760103464449083,0.80264320323423,0.889315216474365,343.932731621581,1.01258616268121
"B2",0.403450136654683,0.0101945083282692,0.198927756418564,0.025490621895201,0.266374741620864,0.398638124785396,0.533033500961398,0.808222571543128,380.766032760415,1.00966477747102
"r_C_gear_out[1]",0.736745517580585,0.00153861045333159,0.0876130479609678,0.582025043588356,0.675185299200587,0.729996308204234,0.790835015039541,0.926386326107876,3242.50176396994,1.00037976760716
"r_C_gear_out[2]",0.961223743144087,0.00358703442994706,0.18953305886221,0.655773552831275,0.825829609534042,0.937414600640682,1.0734492809735,1.38474798368208,2791.89353427666,1.00113370148412
"r_C_gear_out[3]",2.20023546091431,0.0374461913192872,1.55282786669612,0.833660290438472,1.36501312660972,1.82496312409024,2.54399427072251,5.65152383355169,1719.61541148798,1.002510420903
"r_C_gear_out[4]",1.5173025923393,0.00458297588078542,0.259488643382755,1.0777188591133,1.33341358777487,1.49274836936234,1.67357316533386,2.08879308313062,3205.83796547879,1.00086325085634
