"event_date","day_type","day_length","population","subseason","pe_crabber_hours","pe_cpue","pe_catch","bss_effort_median","bss_effort_lo95","bss_effort_hi95","bss_catch_median","bss_catch_lo95","bss_catch_hi95","combined_effort","combined_catch","method"
2024-09-16,"weekday",13.5,"private_boat","ring_net_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
2024-09-16,"weekday",13.5,"shore","ring_net_only",NA,NA,NA,307.2,226.9,456.3,178,121,273,307.2,178,"BSS"
2024-09-17,"weekday",13.5,"private_boat","ring_net_only",53.3,0,0,NA,NA,NA,NA,NA,NA,53.3,0,"PE"
2024-09-17,"weekday",13.5,"shore","ring_net_only",306.3,0.6,196.3,305.9,226,454.3,177,120,269,305.9,177,"BSS"
2024-09-18,"weekday",13.4,"private_boat","ring_net_only",95.5,NA,NA,NA,NA,NA,NA,NA,NA,95.5,NA,"PE"
2024-09-18,"weekday",13.4,"shore","ring_net_only",294.8,0.6,173.4,304.6,225,452.4,176,121,266,304.6,176,"BSS"
2024-09-19,"weekday",13.3,"private_boat","ring_net_only",31.7,NA,NA,NA,NA,NA,NA,NA,NA,31.7,NA,"PE"
2024-09-19,"weekday",13.3,"shore","ring_net_only",556.8,0.6,352,303.4,224.1,450.5,176,118,266,303.4,176,"BSS"
2024-09-20,"weekend",13.3,"private_boat","ring_net_only",5.3,NA,NA,NA,NA,NA,NA,NA,NA,5.3,NA,"PE"
2024-09-20,"weekend",13.3,"shore","ring_net_only",292.4,0.4,126.3,485.1,350.6,751.5,282,189,438,485.1,282,"BSS"
2024-09-21,"weekend",13.2,"private_boat","ring_net_only",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
2024-09-21,"weekend",13.2,"shore","ring_net_only",481.9,0.2,116.7,483,349.2,748.4,282,191,438.1,483,282,"BSS"
2024-09-22,"weekend",13.2,"private_boat","ring_net_only",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PE"
