"event_date","median","lo95","hi95"
2024-09-16,174,114,273.025
2024-09-17,173,113,274
2024-09-18,172,114,270.025
2024-09-19,172,113,271
2024-09-20,276,185,450
2024-09-21,275,185,451
2024-09-22,274,183,445
2024-09-23,169,111,266
2024-09-24,168,111.975,264.05
2024-09-25,166,110,265.025
2024-09-26,166.5,110,262.025
2024-09-27,268,178,436.025
2024-09-28,267,178,437
2024-09-29,267,177.975,434
2024-09-30,164,108,258.025
2024-10-01,146,104,202
2024-10-02,146,104,202
2024-10-03,146,103,200
2024-10-04,235,165,334
2024-10-05,234,166,329
2024-10-06,232,164,328
2024-10-07,143,102,196.025
2024-10-08,142.5,100,196
2024-10-09,142,99,196
2024-10-10,141,100,195
2024-10-11,228,159,323
2024-10-12,226,160,319.025
2024-10-13,225,158,320
2024-10-14,138,98.975,192
2024-10-15,138,97,191
2024-10-16,137,97,188
2024-10-17,136,97,189
2024-10-18,220,155,312.025
2024-10-19,218,156,309
2024-10-20,219,154.975,309
2024-10-21,134,95,187
2024-10-22,133,96,185
2024-10-23,133,94,184.025
2024-10-24,132,93.975,183
2024-10-25,214,151.975,304
2024-10-26,213,150,303
2024-10-27,212,151,298.025
2024-10-28,130,91,180
2024-10-29,130,92,179
2024-10-30,129,91.975,179
2024-10-31,129,90,178
2024-11-01,218,154,305.025
2024-11-02,217,155,305
2024-11-03,216,153,304
2024-11-04,133,89,189
2024-11-05,132,90,189
2024-11-06,132,88,188
2024-11-07,131.5,88,186
2024-11-08,211.5,150,296
2024-11-09,210,148,297
2024-11-10,210,149,292
2024-11-11,129,87,184
2024-11-12,128,86,182.025
2024-11-13,129,85,182
2024-11-14,128,85,182
2024-11-15,206,145,290
2024-11-16,205,145,288
2024-11-17,204,144,288
2024-11-18,127,84,178.025
2024-11-19,126,84,179
2024-11-20,125,84,178
2024-11-21,125,83.975,177
2024-11-22,201,142,285
2024-11-23,201,140,283
2024-11-24,200,140,281
2024-11-25,123,83,176
2024-11-26,123,82,174
2024-11-27,122,81,175
2024-11-28,123,82,173
2024-11-29,242,95,695
2024-11-30,196,138,276.025
