"draw","C_sum","C_expected_sum","E_sum"
9,67283,67356.2352898919,102053.296446082
16,53938,53943.5436520673,101932.641831042
17,74196,74263.1053244579,86128.4953617534
24,51451,51627.3944654276,112475.151550727
27,63366,63352.7073368161,73126.2978213392
34,52861,52929.2174306664,84041.1829982136
43,50511,50833.7771317258,77223.8642724449
45,42687,42936.6595348392,87485.7933964884
52,64795,65106.7812020268,92150.2671721415
57,59629,59796.0288934848,88579.9051020054
64,38362,38373.2087891447,81325.6883534741
66,47553,47503.9859714776,75256.907909518
67,54928,55090.469173622,83867.3301167051
79,58974,59206.886365797,77957.7728639034
84,35347,35364.0449460181,74714.6089596867
85,60021,60202.5658803367,88901.3061359382
87,51575,51060.8429956542,84535.0233344374
90,44091,44097.7619084287,97856.7445198011
91,49174,49201.0081427635,91030.2602363975
101,63020,62558.0313913629,103573.407067383
102,38286,38273.2830038878,68294.2729559837
103,60552,60211.7982776186,89553.1887307403
106,49502,49328.1555626913,80230.3976397268
108,89617,89955.8986748008,106608.191042552
111,57615,57409.4887476602,82211.0359511771
112,70658,70711.4822809946,100432.81778115
125,50384,50773.8260052812,68688.3211697149
135,101431,101766.271364073,98258.3878116891
144,58698,58526.8582358849,99359.4527577807
154,100338,100281.329568798,90780.1638339345
164,32570,32600.117855999,75151.7865226618
169,47265,47037.8179696647,83923.6502272063
170,72626,72303.3422166553,95559.7339593316
177,50306,50569.7275791888,89583.9182278348
181,56384,56583.0984189425,102255.671129234
187,67366,67266.352262824,73781.758867729
194,51253,51633.657040245,89069.0955253302
198,32039,32313.6958050391,90501.901942763
212,83409,83246.7353900558,84863.5487447532
213,41311,41262.8799469128,113479.167264801
220,47591,47640.5215026775,79612.192561106
223,59184,59268.8015168696,82444.2014893009
226,73628,73652.1807396769,101346.571316333
227,44224,43935.8849711463,90183.7293360847
230,36518,36763.6831755902,75003.3108311666
233,37359,37428.9759957677,82048.6938455353
237,69849,69972.9259771239,85988.4760017293
248,45223,45101.7368017675,81302.5335571171
269,32136,32017.88693947,79566.1291702134
270,82702,82189.399430106,90583.6093327548
273,48593,48676.1303544994,79585.5412993322
278,40518,40550.3351860396,74632.6734125087
280,50564,50553.2232984858,86983.6993846365
282,48310,47965.4274177458,76810.2281418281
285,52543,52464.7422928229,90498.776097336
286,50629,50915.4182772454,83375.7071823407
287,67166,67051.1047451867,98587.2471021106
290,46872,46650.5360854052,77008.2762128409
302,59303,58934.4915370379,84031.7090544857
306,51576,51490.9733795464,71461.5664330307
315,55210,55290.152583697,94583.7266172665
316,48563,48161.8018741769,84230.1710629106
317,67733,67409.9372920633,90522.5973271674
319,44006,43966.7294710561,93871.5826068454
320,60574,60684.0788169438,109901.180885384
321,71084,70811.7389785838,91030.5323913293
331,54784,55094.7410956888,84481.5506135519
337,75924,75705.0576930607,99096.5115492558
340,39443,39387.3521010801,82374.634140689
359,42176,42381.4009966752,82156.2246604636
365,72707,72678.533047435,113561.329959675
367,45368,45330.7596802215,83574.0658569572
374,74106,74227.0474119652,117564.756323517
379,107678,107563.396513082,111229.99858275
389,38142,37946.6068838919,101731.342023772
390,64533,64004.7065700056,87888.8129464307
391,45558,45608.0381764113,90229.4562284305
392,59612,59204.3878578086,62946.4159586708
394,45164,45164.2301218875,85015.7558726994
404,81532,80837.9401699879,82880.4218921651
405,77515,77309.606830838,102142.400065961
413,43400,43471.6763386269,86353.8790309318
415,52335,52434.8120259134,93607.0746623776
424,74593,74934.7645793391,88954.8326804655
426,55169,54827.2150601036,89525.9187851653
435,58150,58291.5428278496,89791.2351368036
437,63208,63206.7000041568,114474.347957179
438,76750,77148.7420312744,77624.5673331368
443,42357,42084.5128312828,84672.9373728324
449,49350,49180.3984186464,84151.395511359
452,67535,67118.8109326508,89208.2983679188
454,63708,63748.206103245,80995.1074584149
461,74145,74137.6750146072,89674.6861272939
464,73579,73947.9275714306,83533.9314497768
467,35963,35792.4751332562,85028.8780244437
474,54577,54776.8481792625,87124.7704696035
476,36893,36947.0618325824,85719.1088978805
487,42764,42675.9987032613,86170.3279572107
498,53583,53543.7665504247,102563.411942631
499,41895,41941.0939696385,88949.2342937502
506,45558,45352.648300674,71690.6904765033
508,49772,49661.3142525938,85160.1753636031
515,58015,57377.2949760914,74266.4895508143
517,62370,62079.249400163,81772.0004884744
520,70279,70699.1559211413,91371.8483634324
523,59872,59846.6974905873,100229.769065539
524,81165,81457.3522593904,101593.875517576
525,71688,71693.2944777078,89260.0587514322
526,65347,65345.1101285903,89415.8732448789
536,57206,57450.0661467698,86742.7095260217
541,64210,64142.1006282325,81863.8430134646
546,42532,42636.2050141013,77366.7511132331
557,65494,65671.3117853884,81629.8597685674
558,45889,45838.7934015956,89312.3657810591
569,47132,47243.800196994,88996.0775314048
583,60093,59674.7616398615,83270.4822660105
587,56556,56499.0753672757,98113.2272744587
588,82326,82313.4208516379,100301.600794702
589,57412,57493.9502740157,89542.7425851366
597,61870,61512.2777296895,75000.7639418677
598,77426,77580.0128538225,112610.795861932
604,48309,48508.0540126559,87672.4045663799
606,41703,41954.8742998628,86937.952527757
610,78781,78518.7657261345,105792.244508478
617,42259,41901.7742871931,85251.212175585
632,68270,67806.5471245454,112350.905918874
640,49864,49729.8121083967,83116.0198877182
642,55323,55214.2538770063,89200.6314382693
643,65147,65493.5005647679,95728.7953060914
657,44207,44296.1222515866,65721.6201851176
658,79584,79412.1061919761,123545.290308569
660,45045,45146.7909300452,87818.5096306867
662,65522,65606.3491289173,83764.6970931583
663,64030,63983.0065736905,96810.0647168096
668,74141,73994.9930528198,79478.9165053142
670,57271,57579.2957587045,90692.4859599629
678,48132,47911.4787690324,103793.742433643
680,48568,48424.6634612087,80441.2198706027
687,65396,65448.2600861543,101371.463436289
690,55174,54950.6430029671,73343.2801114677
699,52789,52495.0493796185,69591.9732560345
704,45037,44946.1586450355,61258.0426504035
713,40160,39964.7320385181,97734.1442792179
721,44474,44496.4023166398,84076.0077554716
723,56329,56577.1536057055,87409.5092167811
730,58237,58696.6322447547,117538.175184769
731,35995,35952.7391678092,80723.6794165731
746,60685,61019.8979686252,96580.8614897502
747,45875,46060.4806956987,85573.8679760088
750,44101,44345.4268895215,74503.0628219874
754,49450,49476.5738986659,94447.9122653236
755,44393,44288.5397287834,81005.6123040549
762,51909,52065.6374063502,93231.6561809457
767,45208,45053.476470724,90553.2587850432
768,40761,40733.7449405611,86114.547515092
773,65358,65792.4760015386,84529.0699837505
776,61237,61472.8638459945,100116.545761545
792,39362,39188.500567374,74254.1105555003
794,44523,44347.3453242452,94402.782502249
800,50044,50210.6038673375,75886.9203267457
801,72306,72757.4468051511,78740.3355106505
803,47159,47311.3195308533,90488.5336098692
808,60178,60409.8573977377,105938.11158828
810,42790,43223.0705021923,95945.9843181855
825,113545,113092.774551694,116708.887532548
835,72662,72413.7100527717,93461.3931269561
839,36325,36110.2351935952,82569.6308782865
841,35097,35067.9449448595,72856.9653536321
846,64940,64903.5580235872,103138.117096005
847,39886,39899.44776829,80985.2631040739
866,55472,55436.8237926594,89118.0542401683
887,61357,61445.3979272123,83181.4078794064
900,45747,45662.0329193866,77511.8596373855
902,89785,90085.3493786064,127839.34827363
908,55047,55256.6733592142,95018.3426841674
930,77243,77502.0137427569,84026.4881147885
940,58084,58126.5172504052,81495.8465073304
941,57258,57477.9819996177,83348.9237902555
945,81155,81089.9255842367,81537.3765276533
950,41517,41586.1636228581,90055.9169128953
952,40833,40450.3928764249,78373.1380717506
954,70181,70022.1590062698,101479.612210616
956,50749,50768.8136318383,104195.051253174
961,64206,64185.2513725391,67260.1241755602
970,72745,73048.5730446739,84541.6333392994
971,72124,71904.3027083024,97307.0758292822
973,47437,47861.1424724757,95166.961640914
977,53222,52947.1588886836,90870.7379952683
979,49871,49933.625306094,73959.7777673137
990,34126,34199.0450112805,79935.6945482492
996,57567,57391.4292989185,88551.2169170817
998,71675,72081.899546554,89517.1954875415
1007,59113,59295.7390949125,82617.9087382514
1009,41805,42005.9903361379,80925.9174555931
1010,48868,48257.1337157828,72625.2473022516
1011,53425,53638.5123110739,80728.4355777002
1013,75701,75714.890854945,105336.243847474
1019,66024,66044.3732749785,93675.0285174763
1022,54562,54559.1039286395,96467.4488658089
1029,44709,44660.9416967636,96174.6020591269
1032,58909,58503.5108556861,84958.7930386574
1050,39587,39547.2849721681,82382.6781620207
1062,54204,54367.386001621,84172.6658941959
1065,49154,49133.6815171867,85580.8878537281
1066,66180,66276.4096499461,86133.8146700621
1086,36393,36300.5238281461,79934.3432707376
1094,47768,47878.7827117345,99066.5092685732
1099,49715,49774.4535684413,71485.1437184508
1101,50613,50512.2755259054,109701.213540741
1102,39206,39374.9254454066,81323.9336837165
1107,73598,74011.8385698979,105913.35384254
1121,73351,73458.2802591368,96073.3811538894
1126,64311,64372.464141809,86047.5701882371
1132,60241,59908.5907172903,100242.380503214
1144,53741,53680.7166936407,91552.5245927955
1148,82871,82648.4356489232,110034.005394218
1149,49642,49739.2417119636,67991.4872442273
1154,36980,36771.1907609945,80821.5094131733
1158,62477,62433.4576058344,74300.219863681
1159,38981,39113.6554089964,82109.3876494598
1163,57284,57173.767671103,91488.2024889566
1172,68402,68517.105284945,87185.9417513991
1173,70613,70401.9962063834,88659.2641265123
1185,39830,39651.4840975062,84317.2650488653
1192,49563,49591.4214939521,84556.0194639708
1202,65764,65539.4794003424,83214.2276144411
1204,74258,74409.1095076497,110705.178810074
1206,63499,63341.1765517107,94875.8314868442
1207,42702,42745.2179579577,82233.7087009113
1212,52866,53220.8322847096,77589.1880715475
1217,40468,40384.9929891234,105198.962041639
1218,47455,47296.493480673,78006.0885212924
1220,45909,45616.6259495886,86587.7159554523
1222,53754,53649.3009857998,73353.8703472887
1223,49102,48768.9893129313,99125.8376325919
1235,47198,47017.9300237303,89511.9067522347
1237,56647,56865.6272079191,81749.9198309885
1239,70638,70663.9625293535,91430.6639786341
1243,53157,53294.4680277895,95699.1273139863
1251,57424,57234.1107305042,97076.2654321064
1269,46910,46708.6169812402,82170.3884989101
