"data_type","day_index","event_date","observed","fitted_mean","pit","in_50","in_95"
"gear",1,"2024-12-01",76,73.63,0.5944,TRUE,TRUE
"gear",3,"2024-12-03",27,29.416,0.484,TRUE,TRUE
"gear",4,"2024-12-04",30,29.591,0.5762,TRUE,TRUE
"gear",5,"2024-12-05",20,21.634,0.4887,TRUE,TRUE
"gear",6,"2024-12-06",25,28.627,0.4186,TRUE,TRUE
"gear",7,"2024-12-07",31,33.37,0.4914,TRUE,TRUE
"gear",10,"2024-12-10",23,24.514,0.5035,TRUE,TRUE
"gear",11,"2024-12-11",20,22.876,0.4404,TRUE,TRUE
"gear",12,"2024-12-12",39,35.173,0.6641,TRUE,TRUE
"gear",13,"2024-12-13",22,28.159,0.3385,TRUE,TRUE
"gear",14,"2024-12-14",37,37.609,0.5417,TRUE,TRUE
"gear",15,"2024-12-15",33,36.273,0.469,TRUE,TRUE
"gear",18,"2024-12-18",32,31.621,0.5735,TRUE,TRUE
"gear",20,"2024-12-20",22,25.344,0.4341,TRUE,TRUE
"gear",21,"2024-12-21",20,22.458,0.4548,TRUE,TRUE
"gear",22,"2024-12-22",19,23.815,0.3608,TRUE,TRUE
"gear",23,"2024-12-23",29,27.935,0.5978,TRUE,TRUE
"gear",24,"2024-12-24",31,31.664,0.5409,TRUE,TRUE
"gear",26,"2024-12-26",33,33.826,0.5366,TRUE,TRUE
"gear",27,"2024-12-27",50,52.798,0.5059,TRUE,TRUE
"gear",28,"2024-12-28",58,59.141,0.5395,TRUE,TRUE
"gear",31,"2024-12-31",96,95.834,0.564,TRUE,TRUE
"gear",32,"2025-01-01",55,62.679,0.4251,TRUE,TRUE
"gear",33,"2025-01-02",28,28.969,0.5289,TRUE,TRUE
"gear",34,"2025-01-03",55,54.756,0.5643,TRUE,TRUE
"gear",35,"2025-01-04",39,42.493,0.4812,TRUE,TRUE
"gear",38,"2025-01-07",19,21.921,0.4353,TRUE,TRUE
"gear",39,"2025-01-08",29,29.138,0.5584,TRUE,TRUE
"gear",40,"2025-01-09",35,33.715,0.5983,TRUE,TRUE
"gear",41,"2025-01-10",34,43.364,0.3234,TRUE,TRUE
"gear",42,"2025-01-11",149,129.505,0.7158,TRUE,TRUE
"gear",45,"2025-01-14",50,47.535,0.6137,TRUE,TRUE
"gear",47,"2025-01-16",16,20.002,0.376,TRUE,TRUE
"gear",48,"2025-01-17",47,48.627,0.5245,TRUE,TRUE
"gear",49,"2025-01-18",62,61.979,0.5638,TRUE,TRUE
"gear",52,"2025-01-21",16,16.881,0.5153,TRUE,TRUE
"gear",53,"2025-01-22",8,9.654,0.4128,TRUE,TRUE
"gear",54,"2025-01-23",16,15.13,0.6113,TRUE,TRUE
"gear",55,"2025-01-24",9,16.32,0.1672,FALSE,TRUE
"gear",56,"2025-01-25",68,61.125,0.6754,TRUE,TRUE
"gear",60,"2025-01-29",32,31.942,0.5627,TRUE,TRUE
"gear",61,"2025-01-30",24,23.927,0.5622,TRUE,TRUE
"gear",62,"2025-01-31",14,20.529,0.2544,TRUE,TRUE
"gear",63,"2025-02-01",48,45.612,0.6156,TRUE,TRUE
"gear",67,"2025-02-05",2,5.797,0.1308,FALSE,TRUE
"gear",68,"2025-02-06",4,6.495,0.2915,TRUE,TRUE
"gear",69,"2025-02-07",13,16.722,0.3582,TRUE,TRUE
"gear",70,"2025-02-08",65,63.704,0.583,TRUE,TRUE
"gear",73,"2025-02-11",20,20.552,0.5384,TRUE,TRUE
"gear",74,"2025-02-12",11,14.199,0.3686,TRUE,TRUE
"gear",76,"2025-02-14",23,28.166,0.3769,TRUE,TRUE
"gear",77,"2025-02-15",65,61.371,0.6238,TRUE,TRUE
"gear",81,"2025-02-19",12,15.746,0.3521,TRUE,TRUE
"gear",82,"2025-02-20",30,26.629,0.6753,TRUE,TRUE
"gear",83,"2025-02-21",18,23.197,0.3362,TRUE,TRUE
"gear",84,"2025-02-22",28,29.744,0.5069,TRUE,TRUE
"gear",87,"2025-02-25",11,15.393,0.3118,TRUE,TRUE
"gear",88,"2025-02-26",32,30.538,0.6071,TRUE,TRUE
"gear",89,"2025-02-27",32,31.415,0.5751,TRUE,TRUE
"gear",90,"2025-02-28",16,32.979,0.0782,FALSE,TRUE
