"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",1.68096828260227,-0.177799313059367,1.51874872492739,4.40777096932865,6802,1.0009
"mu_mu_C[1]",-0.81333429552855,-3.84369207424608,-0.534191483858474,0.974089487497819,5645,1.0001
"sigma_eps_E",0.863680955988708,0.676400462033889,0.858085177605125,1.07910648355978,2370,1.0019
"sigma_eps_C",0.337983681877467,0.0249526703707568,0.32703395808194,0.738502508585341,2078,1.0009
"phi_E",0.872162598306981,0.788439896583719,0.874787986339094,0.942325182617546,3455,1.001
"phi_C",0.18749579625562,-0.693389610710133,0.223198771895429,0.90205963011115,2806,1.0006
"sigma_r_E",0.303674504916329,0.204042860745533,0.299074700469371,0.431889943733289,2883,1.0012
"sigma_r_C",1.12001291222345,0.962722939242488,1.11848129752931,1.28737830789856,5087,0.9999
"r_E",12.0933671755652,5.36109889805431,11.1799702841721,24.01912555451,3674,1.0006
"r_C",0.81050052909768,0.603375439409727,0.799360247810809,1.07894016319248,5058,0.9999
"sigma_mu_E",1.31009097525608,0.0290548098116759,0.782394875526638,6.04918707356537,7058,1.0015
"sigma_mu_C",1.43465008434583,0.0347318550489747,0.795070101770482,6.53697141843203,5757,1.0003
"sigma_IE",0.202133474629227,0.00404477389379197,0.136747486202245,0.759579774604928,14749,0.9998
"R_G",1.27504216029898,0.690545552881119,1.22078850137517,2.16387085269224,16942,1.0001
"R_T",0.993401217567578,0.975925343103185,0.995394256929066,0.999808618416087,17907,0.9999
"B1",0.0224328537293263,-0.390086482401184,0.0215404706888997,0.410110001523411,7436,1.0001
"B2",0.744716408749837,-0.196441158524362,0.741449480581187,1.70068449240692,10817,0.9996
"B1_C",-0.127894001348433,-0.614083497687473,-0.125325503013458,0.334280099441518,12077,0.9998
